Dry natural gas production Argentina Annual
https://www.eia.gov/opendata/qb.php?sdid=INTL.26-1-ARG-BCF.A
12:25:54 GMT-0300 (hora estándar de Argentina)
Source: U.S. Energy Information Administration
Year,Series ID: INTL.26-1-ARG-BCF.A billion cubic feet
2017,1444.8765558
2016,1386.6779302
2015,1285.466
2014,1253.6825
2013,1255.8014
2012,1329.2566
2011,1369.16255
2010,1416.1315
2009,1460.69903
2008,1555.9789
2007,1583.17145
2006,1628.0215
2005,1611.42345
2004,1584.9372
2003,1449.3276
2002,1275.22465
2001,1311.5991
2000,1321.13415
1999,1220.83955
1998,1044.97085
1997,966.9247
1996,938.31955
1995,883.23
1994,786.46
1993,759.983
1992,709.48
1991,703.83
1990,630.02
1989,720
1988,632
1987,527
1986,547
1985,500
1984,494
1983,445
1982,399
1981,346
1980,280
