indice_tiempo,produccion_gas_natural,total,residencial,comercial,entes_oficiales,industria,centrales_electricas,sdb,gnc,metrogas,gas_natural_fenosa,distrib_gas_del_centro_ecogas,distrib_gas_cuyana_ecogas,litoral_gas,gasnea,redengas,gasnor,camuzzi_gas_pampeana,camuzzi_gas_del_sur
1996-01-01,2402.7898688000005,1887.181,211.996,42.534,8.783,722.624,803.185,12.203,85.856,496.604,150.44,90.166,99.731,180.638,0.0,1.343,135.642,387.077,345.54
1996-02-01,2218.2499178,1731.663,216.713,43.851,9.499,714.512,656.703,14.482,75.903,398.279,168.594,84.35,95.175,168.693,0.0,1.439,137.112,350.583,327.438
1996-03-01,2618.4655350000003,2018.787,225.193,56.13,16.476,791.862,832.398,15.871,80.857,503.75,177.37,92.186,111.341,184.743,0.0,1.587,140.103,424.864,382.843
1996-04-01,2478.166102199999,1935.116,351.159,73.16,17.779,773.839,612.963,18.109,88.107,458.635,200.311,98.59,93.188,192.93,0.0,1.591,125.108,350.836,413.927
1996-05-01,2906.6127700000025,2304.545,572.829,75.569,23.653,769.583,748.281,22.857,91.773,562.713,259.457,112.201,115.219,237.872,0.0,2.073,141.535,438.766,434.709
1996-06-01,3184.5352624000006,2601.3,933.705,124.869,37.607,756.43,623.267,33.621,91.801,628.611,353.237,133.14,131.945,223.846,0.0,3.293,168.572,464.426,494.23
1996-07-01,3329.741786299998,2812.418,1116.077,138.57,37.284,788.462,597.608,39.507,94.91,705.811,398.55,141.131,134.632,223.061,0.0,4.514,195.621,481.558,527.54
1996-08-01,3055.8477049999988,2522.663,726.739,112.26,32.853,810.03,719.79,27.494,93.497,595.657,293.511,120.751,109.522,251.081,0.0,2.609,188.515,447.323,513.694
1996-09-01,3066.0765472999997,2466.953,607.052,96.687,25.776,842.01,781.06,22.992,91.376,629.643,286.863,123.854,109.556,248.684,0.0,2.534,189.153,441.145,435.521
1996-10-01,2682.842870900001,2152.581,377.468,59.7,17.904,836.331,748.962,15.108,97.108,500.026,218.384,103.674,103.487,246.789,0.0,2.052,197.764,375.116,405.289
1996-11-01,2632.552541600001,1955.893,265.339,51.197,13.081,777.141,741.77,11.216,96.149,397.117,196.643,96.736,93.703,243.71,0.0,1.862,180.853,376.735,368.534
1996-12-01,2792.1823068,2030.946,238.832,49.807,11.503,768.437,846.839,11.019,104.509,433.947,185.394,113.937,94.244,249.701,0.0,1.814,196.88,371.375,383.654
1997-01-01,2969.2547366999997,2093.626,198.317,40.469,8.961,740.831,1000.455,11.06,93.533,489.032,165.352,111.146,116.415,248.161,0.0,1.55,192.283,407.469,362.218
1997-02-01,2755.304943500001,1881.045,201.257,46.286,11.537,716.437,807.345,12.719,85.464,387.317,162.71,100.212,106.636,225.461,0.0,1.561,170.437,379.787,346.924
1997-03-01,3000.3040632999987,2018.355,252.665,57.053,11.776,728.017,856.176,13.722,98.946,409.354,191.824,107.96,121.582,254.25,0.0,1.84,174.601,355.254,401.69
1997-04-01,3101.482865899999,2295.219,326.813,67.712,15.12,817.889,949.555,16.129,102.001,526.37,218.936,118.581,121.888,260.793,0.0,1.99,192.253,432.326,422.082
1997-05-01,3385.9462290599995,2622.098,575.732,90.524,22.648,851.391,952.38,23.609,105.814,624.269,275.413,146.042,124.358,258.061,0.0,2.527,225.375,462.013,504.04
1997-06-01,3409.3661750000006,2800.234,911.897,120.214,37.385,857.247,731.737,36.902,104.852,634.711,371.617,154.91,141.726,243.062,0.0,3.524,238.294,484.8,527.59
1997-07-01,3428.6746325499985,2782.459,941.901,130.013,33.161,876.988,652.785,38.58,109.031,591.03,376.997,137.155,145.684,280.997,0.0,3.884,257.762,470.104,518.846
1997-08-01,3275.9857386499984,2494.021,827.223,110.513,31.704,839.851,539.029,33.424,112.277,489.537,336.589,133.561,139.846,287.731,0.0,3.36,246.969,464.604,391.824
1997-09-01,3035.5514649999986,2179.809,618.26,108.237,23.494,837.519,456.058,26.177,110.064,426.514,295.096,122.241,121.744,264.135,0.0,2.538,219.02,436.536,291.985
1997-10-01,3011.6714429999997,2083.794,423.574,83.319,19.008,906.162,515.107,19.774,116.85,386.777,252.457,120.29,117.41,271.052,0.0,2.277,215.524,439.861,278.146
1997-11-01,2872.461952,1893.664,293.743,64.791,14.179,785.258,608.863,14.768,112.062,367.254,200.267,111.647,112.11,264.599,0.0,2.078,174.351,378.033,283.324
1997-12-01,2790.0856115500005,1785.662,231.743,75.851,14.422,784.972,547.176,14.456,117.042,345.899,188.406,101.02,107.203,241.643,0.0,2.058,168.39,375.213,255.83
1998-01-01,2799.9519319999995,1735.64,199.383,60.142,9.688,774.896,565.369,14.967,111.195,303.11,172.32,102.518,113.595,240.215,0.0,2.163,157.727,385.287,258.705
1998-02-01,2666.6470882000026,1690.383,225.227,46.999,10.039,721.503,574.795,15.78,96.04,249.033,183.043,95.053,114.96,212.697,0.0,2.111,189.333,326.075,318.079
1998-03-01,2997.3148986400006,1943.254,274.951,64.157,11.996,836.458,626.176,15.658,113.858,308.697,208.416,111.953,128.505,248.953,0.0,2.496,192.805,386.547,354.882
1998-04-01,3023.360963100001,2045.132,365.574,76.146,16.816,843.292,604.87,20.579,117.855,312.145,232.039,126.081,134.996,242.086,0.0,2.417,196.313,386.14,412.915
1998-05-01,3425.8455480000016,2456.322,603.308,91.882,23.322,913.951,681.056,27.559,115.244,406.584,293.713,158.753,149.402,275.958,0.0,3.03,227.16,459.484,482.238
1998-06-01,3575.796241999998,2826.483,939.826,116.303,36.834,905.998,669.773,40.183,117.565,535.712,378.348,170.569,174.362,279.78,0.0,4.272,256.954,490.312,536.173
1998-07-01,3632.547869,2837.742,900.008,104.944,29.088,903.831,740.727,38.79,120.354,542.311,362.639,166.007,180.483,284.91,0.0,4.332,261.904,503.349,531.807
1998-08-01,3568.2953897000007,2765.251,826.834,110.755,43.792,890.481,732.303,37.231,123.856,535.645,342.154,158.314,171.266,289.919,0.0,4.4,261.089,464.032,538.433
1998-09-01,3342.9567759000006,2460.012,714.72,92.743,33.472,801.186,664.458,30.939,122.494,450.47,305.35,140.738,169.282,273.396,0.0,3.639,255.862,398.378,462.897
1998-10-01,3256.2284339999997,2189.06,345.619,62.24,22.576,814.229,799.971,16.781,127.644,388.308,222.774,119.326,147.776,251.801,0.0,2.815,253.467,391.091,411.701
1998-11-01,3130.204427749999,2179.641,270.797,60.247,19.091,773.609,917.991,14.958,122.948,456.502,192.854,134.412,148.164,240.703,0.0,2.647,240.695,397.736,365.928
1998-12-01,3159.956447999999,2131.355,211.155,62.343,20.446,730.185,970.831,13.594,122.801,431.424,173.271,140.216,142.396,258.062,0.0,2.259,215.775,404.371,363.58
1999-01-01,3081.627192,2067.21,213.18,51.902,12.908,692.048,968.681,14.036,114.455,411.053,160.046,116.926,137.681,245.473,0.007,2.065,219.127,408.763,366.069
1999-02-01,2911.2259290000015,1980.801,196.735,49.953,13.75,672.614,926.196,13.448,108.105,425.198,162.474,103.819,129.637,217.097,0.092,1.901,195.227,385.855,359.501
