"","unidad","anio","precio_expo_gas_indec","precio_expo_crudo_indec"
"1","usd/bbl",2002,NA,5003.34009868934
"2","usd/bbl",2003,NA,104.668864097004
"3","usd/bbl",2004,NA,92.3794585458713
"4","usd/bbl",2005,NA,84.0645533822932
"5","usd/bbl",2006,NA,84.5945826180016
"6","usd/bbl",2007,NA,86.0176579160987
"7","usd/bbl",2008,NA,376.88792998181
"8","usd/bbl",2009,NA,51.769504382582
"9","usd/bbl",2010,NA,79.7003792019791
"10","usd/bbl",2011,NA,105.54613079881
"11","usd/bbl",2012,NA,110.456698928692
"12","usd/bbl",2013,NA,102.078467163387
"13","usd/bbl",2014,NA,95.3680867126362
"14","usd/bbl",2015,NA,55.1276868833631
"15","usd/bbl",2016,NA,42.0239577496121
"16","usd/bbl",2017,NA,56.5552734164387
"17","usd/bbl",2018,NA,68.1442076550015
"18","usd/bbl",2019,NA,61.021027297289
"19","usd/Mm3",2002,195.124938256549,NA
"20","usd/Mm3",2003,56.8086559058791,NA
"21","usd/Mm3",2004,0.203154658384652,NA
"22","usd/Mm3",2005,1.92082261816616,NA
"23","usd/Mm3",2006,0.137985405593154,NA
"24","usd/Mm3",2007,0.196561433213233,NA
"25","usd/Mm3",2008,0.457897537635686,NA
"26","usd/Mm3",2009,0.511863769282232,NA
"27","usd/Mm3",2010,0.504101984755294,NA
"28","usd/Mm3",2011,0.707065647076189,NA
"29","usd/Mm3",2012,0.867631740682828,NA
"30","usd/Mm3",2013,0.978494346508081,NA
"31","usd/Mm3",2014,0.948899325604224,NA
"32","usd/Mm3",2015,1.04460555872188,NA
"33","usd/Mm3",2016,0.796116660202889,NA
"34","usd/Mm3",2017,0.406979172012557,NA
"35","usd/Mm3",2018,0.346126545416,NA
"36","usd/Mm3",2019,0.268177672271681,NA
