AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
1993;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1994;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1995;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1996;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1997;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1998;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1999;1; 27.24 ; 33.26 ; 46.54 ; 37.08 ; 45.56 ; 39.80 ; 41.50 
;2; 27.14 ; 33.12 ; 46.54 ; 34.62 ; 45.49 ; 39.49 ; 41.52 
;3; 28.74 ; 34.60 ; 46.54 ; 33.97 ; 45.50 ; 39.63 ; 41.84 
;4; 27.01 ; 33.42 ; 46.54 ; 33.88 ; 45.65 ; 40.39 ; 42.04 
;5; 29.18 ; 34.38 ; 49.12 ; 34.83 ; 48.53 ; 42.51 ; 44.33 
;6; 34.45 ; 34.33 ; 49.12 ; 34.98 ; 48.75 ; 42.84 ; 44.79 
;7; 31.20 ; 34.16 ; 49.12 ; 36.54 ; 49.02 ; 42.95 ; 44.92 
;8; 26.07 ; 32.01 ; 49.12 ; 37.96 ; 48.71 ; 42.52 ; 44.04 
;9; 30.81 ; 34.36 ; 49.12 ; 40.59 ; 48.03 ; 41.60 ; 43.51 
;10; 28.71 ; 33.86 ; 46.67 ; 36.11 ; 45.37 ; 39.83 ; 40.93 
;11; 22.99 ; 33.88 ; 47.09 ; 34.26 ; 45.11 ; 39.61 ; 40.13 
;12; 26.96 ; 30.26 ; 47.09 ; 36.99 ; 44.70 ; 39.31 ; 39.98 
2000;1; 25.31 ; 33.75 ; 47.09 ; 36.85 ; 44.55 ; 39.59 ; 40.05 
;2; 25.82 ; 33.73 ; 47.09 ; 40.05 ; 44.55 ; 39.93 ; 40.19 
;3; 26.33 ; 33.61 ; 47.09 ; 41.17 ; 44.66 ; 39.68 ; 41.11 
;4; 26.78 ; 33.93 ; 47.09 ; 38.34 ; 45.12 ; 39.76 ; 41.19 
;5; 27.23 ; 35.04 ; 55.91 ; 41.90 ; 53.04 ; 44.12 ; 47.04 
;6; 27.42 ; 35.41 ; 55.91 ; 44.26 ; 53.39 ; 44.35 ; 47.75 
;7; 28.17 ; 35.43 ; 55.91 ; 44.80 ; 54.71 ; 44.21 ; 48.81 
;8; 43.24 ; 35.65 ; 55.91 ; 43.59 ; 53.18 ; 44.15 ; 48.56 
;9; 43.31 ; 34.61 ; 55.91 ; 42.52 ; 52.76 ; 43.07 ; 47.98 
;10; 44.00 ; 35.38 ; 53.40 ; 42.57 ; 49.71 ; 42.03 ; 45.58 
;11; 44.43 ; 35.05 ; 53.40 ; 41.56 ; 48.01 ; 41.50 ; 44.33 
;12; 44.16 ; 35.07 ; 53.40 ; 40.15 ; 48.50 ; 41.23 ; 44.94 
2001;1; 41.36 ; 37.39 ; 53.40 ; 39.72 ; 48.89 ; 42.03 ; 43.98 
;2; 41.60 ; 37.35 ; 53.40 ; 40.53 ; 48.94 ; 42.33 ; 44.19 
;3; 41.34 ; 37.33 ; 53.40 ; 39.57 ; 50.80 ; 42.57 ; 45.47 
;4; 43.07 ; 37.34 ; 53.40 ; 40.99 ; 51.06 ; 42.17 ; 45.81 
;5; 45.12 ; 36.95 ; 58.94 ; 43.58 ; 56.55 ; 44.26 ; 49.21 
;6; 45.01 ; 38.38 ; 58.94 ; 41.87 ; 57.15 ; 45.00 ; 50.13 
;7; 44.73 ; 37.90 ; 58.94 ; 40.55 ; 58.82 ; 45.40 ; 50.96 
;8; 46.04 ; 38.91 ; 58.94 ; 40.72 ; 57.57 ; 45.09 ; 49.82 
;9; 44.63 ; 38.97 ; 58.94 ; 40.11 ; 56.69 ; 44.47 ; 49.35 
;10; 44.09 ; 37.81 ; 53.29 ; 37.66 ; 54.47 ; 42.68 ; 45.85 
;11; 43.85 ; 37.08 ; 53.29 ; 37.73 ; 51.71 ; 42.51 ; 45.51 
;12; 48.93 ; 32.42 ; 53.29 ; 39.63 ; 53.48 ; 43.43 ; 47.62 
