AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
1991;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1992;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1993;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1994;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;5;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;8;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00
;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00
