AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
1993;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1994;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1995;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1996;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1997;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1998;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1999;1; 200,051.83 ; 337,999.24 ; 569.00 ; 58,545.00 ; 1,439,938.00 ; 390,138.00 ; 2,427,241.07 
;2; 200,256.00 ; 291,767.73 ; 544.00 ; 61,157.00 ; 1,436,332.11 ; 324,103.00 ; 2,314,159.84 
;3; 175,967.60 ; 385,406.00 ; 565.00 ; 77,735.00 ; 1,828,115.00 ; 349,500.00 ; 2,817,288.60 
;4; 166,465.00 ; 359,816.00 ; 534.00 ; 74,247.00 ; 1,738,101.00 ; 402,178.00 ; 2,741,341.00 
;5; 195,186.00 ; 432,306.00 ; 597.00 ; 84,610.00 ; 2,117,915.45 ; 464,695.00 ; 3,295,309.45 
;6; 228,933.00 ; 423,036.00 ; 563.00 ; 68,726.00 ; 2,200,142.00 ; 462,455.00 ; 3,383,855.00 
;7; 245,626.00 ; 438,581.28 ; 632.00 ; 100,351.00 ; 2,327,078.26 ; 489,042.00 ; 3,601,310.54 
;8; 255,716.83 ; 419,349.00 ; 590.00 ; 87,865.00 ; 2,135,285.00 ; 511,904.00 ; 3,410,709.83 
;9; 221,047.00 ; 396,348.00 ; 543.00 ; 73,425.10 ; 1,752,733.00 ; 550,685.00 ; 2,994,781.10 
;10; 274,857.00 ; 374,291.00 ; 766.00 ; 74,899.00 ; 1,541,457.00 ; 567,104.00 ; 2,833,374.00 
;11; 254,945.00 ; 303,683.00 ; 528.40 ; 79,982.00 ; 1,392,274.00 ; 503,964.00 ; 2,535,376.40 
;12; 274,159.00 ; 347,464.00 ; 549.00 ; 72,768.00 ; 1,435,932.19 ; 511,720.00 ; 2,642,592.19 
2000;1; 119,617.16 ; 495,912.10 ; 1,336.62 ; 69,751.52 ; 1,578,784.18 ; 503,020.56 ; 2,768,422.14 
;2; 108,263.82 ; 524,904.93 ; 1,278.67 ; 71,607.52 ; 1,589,858.22 ; 490,733.00 ; 2,786,646.16 
;3; 111,246.43 ; 437,893.79 ; 1,138.60 ; 86,501.40 ; 1,876,690.41 ; 437,619.92 ; 2,951,090.55 
;4; 114,466.87 ; 446,674.56 ; 4,501.35 ; 103,621.82 ; 1,708,079.35 ; 438,537.21 ; 2,815,881.16 
;5; 125,585.21 ; 555,327.49 ; 5,504.55 ; 123,864.00 ; 2,213,724.40 ; 641,023.86 ; 3,665,029.51 
;6; 122,905.81 ; 564,039.95 ; 5,194.84 ; 123,845.89 ; 2,196,485.42 ; 618,929.40 ; 3,631,401.31 
;7; 115,402.17 ; 565,037.53 ; 3,952.95 ; 117,102.44 ; 2,329,950.41 ; 638,681.11 ; 3,770,126.61 
;8; 121,922.56 ; 590,629.20 ; 4,409.73 ; 122,649.10 ; 2,228,233.45 ; 653,622.98 ; 3,721,467.02 
;9; 115,046.66 ; 555,459.45 ; 4,686.18 ; 115,951.99 ; 1,940,187.47 ; 584,408.99 ; 3,315,740.74 
;10; 116,094.29 ; 520,476.19 ; 4,849.92 ; 121,534.51 ; 1,488,418.85 ; 592,799.47 ; 2,844,173.23 
;11; 103,902.08 ; 482,084.21 ; 4,859.03 ; 120,061.99 ; 1,267,992.84 ; 549,392.72 ; 2,528,292.87 
;12; 113,584.20 ; 459,043.93 ; 5,060.71 ; 117,641.40 ; 1,612,200.68 ; 585,857.31 ; 2,893,388.23 
2001;1; 110,988.99 ; 480,910.20 ; 5,122.21 ; 113,174.45 ; 1,401,342.61 ; 551,982.56 ; 2,663,521.01 
;2; 102,542.30 ; 401,863.79 ; 4,099.80 ; 97,405.18 ; 1,376,985.04 ; 536,244.71 ; 2,519,140.83 
;3; 116,209.62 ; 502,877.13 ; 4,208.66 ; 100,237.54 ; 1,833,749.99 ; 594,084.34 ; 3,151,367.28 
