Suma de ARS;;CUENCA/PROVINCIA;;;;;;;
AÑO;MES;ESTADO NACIONAL;MENDOZA;NEUQUEN;RIO NEGRO;SALTA;SANTA CRUZ;TIERRA DEL FUEGO;TOTAL PROVINCIA
1999;1;0;16196;95884;1126;44194;14168;30586;202154
1999;2;0;16598;86324;1907;35678;11093;23887;175487
1999;3;0;16302;93072;2284;33310;13259.56;25139;183366.56
1999;4;0;17126;89495;1578;47309.86;19659.9;18004.29;193173.05
1999;5;0;18993;98525;3174;49275;13991;21676;205634
1999;6;0;20289;94335;1795;51888.47;15717.36;20268;204292.83
1999;7;0;18646;102854;2514;54425;17067;24576;220082
1999;8;0;19310.48;95803;2944;54866;41434;23748;238105.48
1999;9;0;18617.19;86518;1858;52804.09;23063.02;21774;204634.3
1999;10;0;18078;101746.17;1567;54353;22256.43;29210;227210.6
1999;11;0;17850;99527;0;39044;17136.38;19478;193035.38
1999;12;0;18517.06;92572.17;0;42810;6189;25894.36;185982.59
2000;1;0;17606.75;92656.34;1475;47453.07;6071.1;14220.33;179482.59
2000;2;0;12651.7;112838.07;1488;46456.64;6518.98;8853.35;188806.74
2000;3;0;14305.47;107650.6;9034.407;40445.855;16897.87;26291.31;214625.512
2000;4;0;0;99626.276;8414.005;48440.47;7544.09;48123.004;212147.845
2000;5;0;0;117230.96;10153.21;64460.13;20618.77;79086.65;291549.72
2000;6;0;0;109508.91;8832.696;0;12110.052;87066.576;217518.234
2000;7;0;0;118895.4;9833.894;0;13025.544;93393.92;235148.758
2000;8;0;0;24613;1537;0;16593.23;164213.207;206956.437
2000;9;0;0;116607;10827.55;0;15743.82;157440.93;300619.3
2000;10;0;0;110535;11513.808;0;11156.72;165597.168;298802.696
2000;11;0;0;107616;10601.999;0;11413.788;95846.889;225478.676
2000;12;0;0;66059;10739.27;0;8887.55;171078.39;256764.21
2001;1;0;0;14772.12457;10387.74857;0;9695.864862;171401.8145;206257.5525
2001;2;0;0;71113.14168;9641.884753;0;16913.41675;156856.133;254524.5762
2001;3;0;0;70355.42356;11955.1271;0;12609.11563;155515.2528;250434.9191
2001;4;0;0;20820.37768;7118.489426;0;15124.75147;157869.522;200933.1405
2001;5;0;0;39566.7889;15076.17756;0;23623.76673;170090.3167;248357.0499
2001;6;0;0;16437.70599;16085.99195;0;23191.66013;167806.0858;223521.4439
2001;7;0;0;33776.45242;16766.52852;0;23828.95403;183062.9105;257434.8455
2001;8;0;0;16378.32398;13929.28154;0;24757.34228;191581.7753;246646.7231
2001;9;0;0;22376.4616;11980.53434;0;20153.10851;193978.3922;248488.4966
