Año;Mes;Producto;Datos;Total
1994;1;AEROKEROSENE;Suma de M3;3669
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;538151
;;AGUARRAS;Suma de M3;656.5999756
;;;Suma de Toneladas;482.4299927
;;;Suma de ValorFOB;0
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;794
;;;Suma de ValorFOB;63688
;;BASES LUBRICANTES;Suma de M3;647
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;280174
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;43954
;;;Suma de ValorFOB;1867942
;;DILUYENTES;Suma de M3;2562
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;244088
;;GAS OIL;Suma de M3;143627
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;14049704
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;48729.75
;;;Suma de ValorFOB;6745059
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;205
;;;Suma de ValorFOB;139400
;;NAFTA VIRGEN;Suma de M3;38542.74023
;;;Suma de Toneladas;17656
;;;Suma de ValorFOB;1942437
;;PETROLEO;Suma de M3;525003
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;40846893
;2;AEROKEROSENE;Suma de M3;6906
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1177077
;;AGUARRAS;Suma de M3;761.2999878
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;0
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;932
;;;Suma de ValorFOB;92958
;;BASES LUBRICANTES;Suma de M3;652.9599915
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;226358
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;49685
;;;Suma de ValorFOB;2300866
;;DILUYENTES;Suma de M3;3931
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;387517
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;98279
;;;Suma de ValorFOB;8099258
;;GAS OIL;Suma de M3;127997
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;12847237
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;49736
;;;Suma de ValorFOB;6629649
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;12
;;;Suma de ValorFOB;11000
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;815
;;;Suma de ValorFOB;552564
;;NAFTA VIRGEN;Suma de M3;23496.49023
;;;Suma de Toneladas;3506
;;;Suma de ValorFOB;1874561
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;7689
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;760000
;;PETROLEO;Suma de M3;466704
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;35145309
;3;AEROKEROSENE;Suma de M3;3661
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;494507.1484
;;AGUARRAS;Suma de M3;73.19999695
;;;Suma de Toneladas;53.77999878
;;;Suma de ValorFOB;0
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;467
;;;Suma de ValorFOB;66506
;;BASES LUBRICANTES;Suma de M3;828
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;295665.8867
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;34000
;;;Suma de ValorFOB;1500608
;;DILUYENTES;Suma de M3;2553
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;195158
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;49374
;;;Suma de ValorFOB;2858816.75
;;GAS OIL;Suma de M3;66976
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6368747
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;62786
;;;Suma de ValorFOB;8014323
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;21
;;;Suma de ValorFOB;15934
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;660
;;;Suma de ValorFOB;445273
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;15819
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1500739
;;PETROLEO;Suma de M3;666131
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;53304055
;4;AEROKEROSENE;Suma de M3;5325
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;687233.5586
;;AGUARRAS;Suma de M3;236.8999939
;;;Suma de Toneladas;174.0599976
;;;Suma de ValorFOB;0
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;779
;;;Suma de ValorFOB;75619
;;BASES LUBRICANTES;Suma de M3;5730
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1630139
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;19099
;;;Suma de ValorFOB;980186
;;DILUYENTES;Suma de M3;2582
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;218696
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;8689.899902
;;;Suma de ValorFOB;175898
;;GAS OIL;Suma de M3;61788
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;5760237
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;35725
;;;Suma de ValorFOB;4785685
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;738
;;;Suma de ValorFOB;499973
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;10243
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1114015
;;PETROLEO;Suma de M3;675099
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;56894764
;5;AEROKEROSENE;Suma de M3;1003
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;140663.4102
;;AGUARRAS;Suma de M3;159.5
;;;Suma de Toneladas;117.1900024
;;;Suma de ValorFOB;0
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;191
;;;Suma de ValorFOB;40331.2002
;;BASES LUBRICANTES;Suma de M3;613
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;209476.2891
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;29742
;;;Suma de ValorFOB;1122541
;;GAS OIL;Suma de M3;96006
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;9809552
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;31240
;;;Suma de ValorFOB;4997701
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;25
;;;Suma de ValorFOB;21292
;;NAFTA SUPER CON PLOMO;Suma de M3;31
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;4596
;;PETROLEO;Suma de M3;730113
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;68431315.78
;6;AEROKEROSENE;Suma de M3;4635
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;616148.2578
;;AGUARRAS;Suma de M3;219.3000031
;;;Suma de Toneladas;161.1300049
;;;Suma de ValorFOB;0
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;750
;;;Suma de ValorFOB;121564.6719
;;BASES LUBRICANTES;Suma de M3;644
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;224710.207
;;COQUE;Suma de M3;0
;;;Suma de Toneladas;54961
;;;Suma de ValorFOB;2520699
;;DILUYENTES;Suma de M3;2115
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;209109
;;GAS OIL;Suma de M3;100072
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;9571863
;;GLP A GRANEL;Suma de M3;0
;;;Suma de Toneladas;29762
;;;Suma de ValorFOB;4600997
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;5
;;;Suma de ValorFOB;3331
;;LINEAL ALQUIL BENCENO;Suma de M3;0
;;;Suma de Toneladas;203
;;;Suma de ValorFOB;126473
;;NAFTA SUPER CON PLOMO;Suma de M3;31
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;4857
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;2000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;274866
;;PETROLEO;Suma de M3;303030
