Fecha cotizacion;Compra;Venta;
3/5/2021;92,7500;98,7500;
4/5/2021;92,7500;98,7500;
5/5/2021;92,7500;98,7500;
6/5/2021;92,7500;98,7500;
7/5/2021;93,0000;99,0000;
10/5/2021;93,0000;99,0000;
11/5/2021;93,0000;99,0000;
12/5/2021;93,0000;99,0000;
13/5/2021;93,0000;99,0000;
14/5/2021;93,0000;99,0000;
17/5/2021;93,2500;99,2500;
18/5/2021;93,2500;99,2500;
19/5/2021;93,2500;99,2500;
20/5/2021;93,2500;99,2500;
21/5/2021;93,5000;99,5000;
26/5/2021;93,5000;99,5000;
27/5/2021;93,7500;99,7500;
28/5/2021;93,7500;99,7500;
31/5/2021;93,7500;99,7500;
1/6/2021;94,0000;100,0000;
2/6/2021;94,0000;100,0000;
3/6/2021;94,0000;100,0000;
4/6/2021;94,0000;100,0000;
7/6/2021;94,0000;100,0000;
8/6/2021;94,0000;100,0000;
9/6/2021;94,0000;100,0000;
10/6/2021;94,0000;100,0000;
11/6/2021;94,0000;100,0000;
14/6/2021;94,2500;100,2500;
15/6/2021;94,2500;100,2500;
16/6/2021;94,2500;100,2500;
17/6/2021;94,2500;100,2500;
18/6/2021;94,2500;100,2500;
22/6/2021;94,2500;100,2500;
23/6/2021;94,5000;100,5000;
24/6/2021;94,5000;100,5000;
25/6/2021;94,5000;100,5000;
28/6/2021;94,5000;100,5000;
29/6/2021;94,7500;100,7500;
30/6/2021;94,7500;100,7500;
1/7/2021;94,7500;100,7500;
2/7/2021;94,7500;100,7500;
5/7/2021;95,0000;101,0000;
6/7/2021;95,0000;101,0000;
