"","fecha","tcc_bcra","anio","mes"
"1",2002-03-04,2.0083,2002,3
"2",2002-03-05,1.9917,2002,3
"3",2002-03-06,2.0508,2002,3
"4",2002-03-07,2.1375,2002,3
"5",2002-03-08,2.2033,2002,3
"6",2002-03-11,2.2525,2002,3
"7",2002-03-12,2.365,2002,3
"8",2002-03-13,2.3317,2002,3
"9",2002-03-14,2.365,2002,3
"10",2002-03-15,2.3408,2002,3
"11",2002-03-18,2.3175,2002,3
"12",2002-03-19,2.3783,2002,3
"13",2002-03-20,2.432,2002,3
"14",2002-03-21,2.3883,2002,3
"15",2002-03-22,2.5683,2002,3
"16",2002-03-25,3.205,2002,3
"17",2002-03-26,2.9917,2002,3
"18",2002-03-27,2.8517,2002,3
"19",2002-04-02,2.8875,2002,4
"20",2002-04-03,2.9033,2002,4
"21",2002-04-04,2.8,2002,4
"22",2002-04-05,2.6733,2002,4
"23",2002-04-08,2.7042,2002,4
"24",2002-04-09,2.7467,2002,4
"25",2002-04-10,2.7708,2002,4
"26",2002-04-11,2.7883,2002,4
"27",2002-04-12,2.8592,2002,4
"28",2002-04-15,2.9233,2002,4
"29",2002-04-16,2.8533,2002,4
"30",2002-04-17,2.805,2002,4
"31",2002-04-18,2.9117,2002,4
"32",2002-04-19,3.1167,2002,4
"33",2002-04-29,3.0217,2002,4
"34",2002-04-30,2.9167,2002,4
"35",2002-05-02,3.0358,2002,5
"36",2002-05-03,3.16,2002,5
"37",2002-05-06,3.1633,2002,5
"38",2002-05-07,3.1717,2002,5
"39",2002-05-08,3.1863,2002,5
"40",2002-05-09,3.18,2002,5
"41",2002-05-10,3.1767,2002,5
"42",2002-05-13,3.2667,2002,5
"43",2002-05-14,3.2557,2002,5
"44",2002-05-15,3.225,2002,5
"45",2002-05-16,3.2228,2002,5
"46",2002-05-17,3.33,2002,5
"47",2002-05-20,3.5167,2002,5
"48",2002-05-21,3.4933,2002,5
"49",2002-05-22,3.4208,2002,5
"50",2002-05-23,3.3883,2002,5
"51",2002-05-24,3.4283,2002,5
"52",2002-05-27,3.4483,2002,5
"53",2002-05-28,3.4517,2002,5
"54",2002-05-29,3.5433,2002,5
"55",2002-05-30,3.5917,2002,5
"56",2002-05-31,3.575,2002,5
"57",2002-06-03,3.5942,2002,6
"58",2002-06-04,3.6083,2002,6
"59",2002-06-05,3.6267,2002,6
"60",2002-06-06,3.6367,2002,6
"61",2002-06-07,3.63,2002,6
"62",2002-06-10,3.5325,2002,6
"63",2002-06-11,3.4558,2002,6
"64",2002-06-12,3.445,2002,6
"65",2002-06-13,3.4717,2002,6
"66",2002-06-14,3.5043,2002,6
"67",2002-06-18,3.5078,2002,6
"68",2002-06-19,3.5362,2002,6
"69",2002-06-20,3.5833,2002,6
"70",2002-06-21,3.636,2002,6
"71",2002-06-24,3.7058,2002,6
"72",2002-06-25,3.85,2002,6
"73",2002-06-26,3.8675,2002,6
"74",2002-06-27,3.8092,2002,6
"75",2002-06-28,3.8037,2002,6
"76",2002-07-01,3.7912,2002,7
"77",2002-07-02,3.69,2002,7
"78",2002-07-03,3.5767,2002,7
"79",2002-07-04,3.5558,2002,7
"80",2002-07-05,3.5667,2002,7
"81",2002-07-08,3.5317,2002,7
"82",2002-07-10,3.5303,2002,7
"83",2002-07-11,3.555,2002,7
"84",2002-07-12,3.5875,2002,7
"85",2002-07-15,3.5933,2002,7
"86",2002-07-16,3.5907,2002,7
"87",2002-07-17,3.4967,2002,7
"88",2002-07-18,3.5417,2002,7
"89",2002-07-19,3.5845,2002,7
"90",2002-07-22,3.5978,2002,7
"91",2002-07-23,3.6383,2002,7
"92",2002-07-24,3.645,2002,7
"93",2002-07-25,3.6267,2002,7
"94",2002-07-26,3.6558,2002,7
"95",2002-07-29,3.65,2002,7
"96",2002-07-30,3.6508,2002,7
"97",2002-07-31,3.7008,2002,7
"98",2002-08-01,3.6333,2002,8
"99",2002-08-02,3.615,2002,8
"100",2002-08-05,3.6163,2002,8
"101",2002-08-06,3.6208,2002,8
"102",2002-08-07,3.6278,2002,8
"103",2002-08-08,3.6408,2002,8
"104",2002-08-09,3.6367,2002,8
"105",2002-08-12,3.62,2002,8
"106",2002-08-13,3.6108,2002,8
"107",2002-08-14,3.6325,2002,8
"108",2002-08-15,3.6417,2002,8
"109",2002-08-16,3.6392,2002,8
"110",2002-08-20,3.63,2002,8
"111",2002-08-21,3.5983,2002,8
"112",2002-08-22,3.5817,2002,8
"113",2002-08-23,3.6042,2002,8
"114",2002-08-26,3.6183,2002,8
"115",2002-08-27,3.6258,2002,8
"116",2002-08-28,3.605,2002,8
"117",2002-08-29,3.6117,2002,8
"118",2002-08-30,3.625,2002,8
"119",2002-09-02,3.628,2002,9
"120",2002-09-03,3.633,2002,9
"121",2002-09-04,3.6368,2002,9
"122",2002-09-05,3.6247,2002,9
"123",2002-09-06,3.6092,2002,9
"124",2002-09-09,3.6092,2002,9
"125",2002-09-10,3.6183,2002,9
"126",2002-09-11,3.61,2002,9
"127",2002-09-12,3.6237,2002,9
"128",2002-09-13,3.6297,2002,9
"129",2002-09-16,3.6393,2002,9
"130",2002-09-17,3.6342,2002,9
"131",2002-09-18,3.6317,2002,9
"132",2002-09-19,3.6508,2002,9
"133",2002-09-20,3.658,2002,9
"134",2002-09-23,3.6492,2002,9
"135",2002-09-24,3.6583,2002,9
"136",2002-09-25,3.665,2002,9
"137",2002-09-26,3.6678,2002,9
"138",2002-09-27,3.701,2002,9
"139",2002-09-30,3.7267,2002,9
"140",2002-10-01,3.7417,2002,10
"141",2002-10-02,3.7608,2002,10
"142",2002-10-03,3.7508,2002,10
"143",2002-10-04,3.7397,2002,10
"144",2002-10-07,3.756,2002,10
"145",2002-10-08,3.7422,2002,10
"146",2002-10-09,3.715,2002,10
"147",2002-10-10,3.6907,2002,10
"148",2002-10-11,3.7052,2002,10
"149",2002-10-15,3.6792,2002,10
"150",2002-10-16,3.612,2002,10
"151",2002-10-17,3.5742,2002,10
"152",2002-10-18,3.5938,2002,10
"153",2002-10-21,3.61,2002,10
"154",2002-10-22,3.615,2002,10
"155",2002-10-23,3.6002,2002,10
"156",2002-10-24,3.6033,2002,10
"157",2002-10-25,3.606,2002,10
"158",2002-10-28,3.59,2002,10
"159",2002-10-29,3.5792,2002,10
"160",2002-10-30,3.5532,2002,10
"161",2002-10-31,3.5232,2002,10
"162",2002-11-01,3.5182,2002,11
"163",2002-11-04,3.541,2002,11
"164",2002-11-05,3.5367,2002,11
"165",2002-11-07,3.5395,2002,11
"166",2002-11-08,3.5343,2002,11
"167",2002-11-11,3.5422,2002,11
"168",2002-11-12,3.5292,2002,11
"169",2002-11-13,3.5303,2002,11
"170",2002-11-14,3.5358,2002,11
"171",2002-11-15,3.5317,2002,11
"172",2002-11-18,3.527,2002,11
"173",2002-11-19,3.5127,2002,11
"174",2002-11-20,3.5123,2002,11
"175",2002-11-21,3.5067,2002,11
"176",2002-11-22,3.5023,2002,11
"177",2002-11-25,3.5047,2002,11
"178",2002-11-26,3.4795,2002,11
"179",2002-11-27,3.4882,2002,11
"180",2002-11-28,3.5425,2002,11
"181",2002-11-29,3.5962,2002,11
"182",2002-12-02,3.5875,2002,12
"183",2002-12-03,3.5372,2002,12
"184",2002-12-04,3.5285,2002,12
"185",2002-12-05,3.5188,2002,12
"186",2002-12-06,3.5307,2002,12
"187",2002-12-09,3.5333,2002,12
"188",2002-12-10,3.5268,2002,12
"189",2002-12-11,3.5065,2002,12
"190",2002-12-12,3.4975,2002,12
"191",2002-12-13,3.5088,2002,12
"192",2002-12-16,3.5365,2002,12
"193",2002-12-17,3.538,2002,12
"194",2002-12-18,3.5118,2002,12
"195",2002-12-19,3.4792,2002,12
"196",2002-12-20,3.4748,2002,12
"197",2002-12-23,3.47,2002,12
"198",2002-12-24,3.4467,2002,12
"199",2002-12-26,3.4128,2002,12
"200",2002-12-27,3.3967,2002,12
"201",2002-12-30,3.3885,2002,12
"202",2002-12-31,3.363,2002,12
"203",2003-01-02,3.3625,2003,1
"204",2003-01-03,3.3328,2003,1
"205",2003-01-06,3.329,2003,1
"206",2003-01-07,3.2888,2003,1
"207",2003-01-08,3.2935,2003,1
"208",2003-01-09,3.3143,2003,1
"209",2003-01-10,3.3533,2003,1
"210",2003-01-13,3.345,2003,1
"211",2003-01-14,3.3037,2003,1
"212",2003-01-15,3.2275,2003,1
"213",2003-01-16,3.2438,2003,1
"214",2003-01-17,3.244,2003,1
"215",2003-01-20,3.1933,2003,1
"216",2003-01-21,3.1328,2003,1
"217",2003-01-22,3.0633,2003,1
"218",2003-01-23,3.12,2003,1
"219",2003-01-24,3.1733,2003,1
"220",2003-01-27,3.2592,2003,1
"221",2003-01-28,3.3433,2003,1
"222",2003-01-29,3.335,2003,1
"223",2003-01-30,3.24,2003,1
"224",2003-01-31,3.1817,2003,1
"225",2003-02-03,3.1983,2003,2
"226",2003-02-04,3.1567,2003,2
"227",2003-02-05,3.1533,2003,2
"228",2003-02-06,3.1458,2003,2
"229",2003-02-07,3.1517,2003,2
"230",2003-02-10,3.1458,2003,2
"231",2003-02-11,3.1017,2003,2
"232",2003-02-12,3.0848,2003,2
"233",2003-02-13,3.1167,2003,2
"234",2003-02-14,3.1908,2003,2
"235",2003-02-17,3.1617,2003,2
"236",2003-02-18,3.1585,2003,2
"237",2003-02-19,3.1843,2003,2
"238",2003-02-20,3.2317,2003,2
"239",2003-02-21,3.2025,2003,2
"240",2003-02-24,3.1838,2003,2
"241",2003-02-25,3.15,2003,2
"242",2003-02-26,3.1622,2003,2
"243",2003-02-27,3.1817,2003,2
"244",2003-02-28,3.2013,2003,2
"245",2003-03-03,3.2187,2003,3
"246",2003-03-04,3.1962,2003,3
"247",2003-03-05,3.174,2003,3
"248",2003-03-06,3.1808,2003,3
"249",2003-03-07,3.1715,2003,3
"250",2003-03-10,3.1493,2003,3
"251",2003-03-11,3.137,2003,3
"252",2003-03-12,3.1133,2003,3
"253",2003-03-13,3.1078,2003,3
"254",2003-03-14,3.1208,2003,3
"255",2003-03-17,3.1,2003,3
"256",2003-03-18,3.0655,2003,3
"257",2003-03-19,3.0192,2003,3
"258",2003-03-20,3.0195,2003,3
"259",2003-03-21,3.0357,2003,3
"260",2003-03-24,3.0088,2003,3
"261",2003-03-25,2.9417,2003,3
"262",2003-03-26,2.9012,2003,3
"263",2003-03-27,2.871,2003,3
"264",2003-03-28,2.9625,2003,3
"265",2003-04-01,2.9792,2003,4
"266",2003-04-02,2.9243,2003,4
"267",2003-04-03,2.9,2003,4
"268",2003-04-04,2.9022,2003,4
"269",2003-04-07,2.8932,2003,4
"270",2003-04-08,2.9092,2003,4
"271",2003-04-09,2.9187,2003,4
"272",2003-04-10,2.895,2003,4
"273",2003-04-11,2.8897,2003,4
"274",2003-04-14,2.924,2003,4
"275",2003-04-15,2.959,2003,4
"276",2003-04-16,2.9377,2003,4
"277",2003-04-21,2.8953,2003,4
"278",2003-04-22,2.8552,2003,4
"279",2003-04-23,2.8378,2003,4
"280",2003-04-24,2.852,2003,4
"281",2003-04-25,2.8752,2003,4
"282",2003-04-28,2.8602,2003,4
"283",2003-04-29,2.8547,2003,4
"284",2003-04-30,2.8295,2003,4
"285",2003-05-02,2.7947,2003,5
"286",2003-05-05,2.7975,2003,5
"287",2003-05-06,2.7965,2003,5
"288",2003-05-07,2.8055,2003,5
"289",2003-05-08,2.7683,2003,5
"290",2003-05-09,2.7602,2003,5
"291",2003-05-12,2.774,2003,5
"292",2003-05-13,2.7485,2003,5
"293",2003-05-14,2.7678,2003,5
"294",2003-05-15,2.8395,2003,5
"295",2003-05-16,2.9083,2003,5
"296",2003-05-19,2.95,2003,5
"297",2003-05-20,2.8832,2003,5
"298",2003-05-21,2.853,2003,5
"299",2003-05-22,2.839,2003,5
"300",2003-05-23,2.8913,2003,5
"301",2003-05-26,2.8825,2003,5
"302",2003-05-27,2.8683,2003,5
"303",2003-05-28,2.8753,2003,5
"304",2003-05-29,2.8825,2003,5
"305",2003-05-30,2.8632,2003,5
"306",2003-06-02,2.8468,2003,6
"307",2003-06-03,2.838,2003,6
"308",2003-06-04,2.8255,2003,6
"309",2003-06-05,2.8225,2003,6
"310",2003-06-06,2.8243,2003,6
"311",2003-06-09,2.815,2003,6
"312",2003-06-10,2.811,2003,6
"313",2003-06-11,2.8112,2003,6
"314",2003-06-12,2.8383,2003,6
"315",2003-06-13,2.8265,2003,6
"316",2003-06-17,2.8043,2003,6
"317",2003-06-18,2.795,2003,6
"318",2003-06-19,2.7987,2003,6
"319",2003-06-20,2.8027,2003,6
"320",2003-06-23,2.7957,2003,6
"321",2003-06-24,2.7728,2003,6
"322",2003-06-25,2.7615,2003,6
"323",2003-06-26,2.7857,2003,6
"324",2003-06-27,2.794,2003,6
"325",2003-06-30,2.8075,2003,6
"326",2003-07-01,2.8003,2003,7
"327",2003-07-02,2.8012,2003,7
"328",2003-07-03,2.7967,2003,7
"329",2003-07-04,2.7953,2003,7
"330",2003-07-07,2.7902,2003,7
"331",2003-07-08,2.776,2003,7
"332",2003-07-10,2.7673,2003,7
"333",2003-07-11,2.7582,2003,7
"334",2003-07-14,2.7647,2003,7
"335",2003-07-15,2.7815,2003,7
"336",2003-07-16,2.7715,2003,7
"337",2003-07-17,2.7873,2003,7
"338",2003-07-18,2.799,2003,7
"339",2003-07-21,2.7973,2003,7
"340",2003-07-22,2.7863,2003,7
"341",2003-07-23,2.7757,2003,7
"342",2003-07-24,2.79,2003,7
"343",2003-07-25,2.8183,2003,7
"344",2003-07-28,2.8182,2003,7
"345",2003-07-29,2.8423,2003,7
"346",2003-07-30,2.8797,2003,7
"347",2003-07-31,2.9313,2003,7
"348",2003-08-01,2.93,2003,8
"349",2003-08-04,2.9618,2003,8
"350",2003-08-05,2.9385,2003,8
"351",2003-08-06,2.931,2003,8
"352",2003-08-07,2.9288,2003,8
"353",2003-08-08,2.9248,2003,8
"354",2003-08-11,2.9207,2003,8
"355",2003-08-12,2.9073,2003,8
"356",2003-08-13,2.8842,2003,8
"357",2003-08-14,2.896,2003,8
"358",2003-08-15,2.9,2003,8
"359",2003-08-19,2.902,2003,8
"360",2003-08-20,2.906,2003,8
"361",2003-08-21,2.9352,2003,8
"362",2003-08-22,2.97,2003,8
"363",2003-08-25,2.9298,2003,8
"364",2003-08-26,2.9217,2003,8
"365",2003-08-27,2.9572,2003,8
"366",2003-08-28,2.972,2003,8
"367",2003-08-29,2.9528,2003,8
"368",2003-09-01,2.963,2003,9
"369",2003-09-02,2.9658,2003,9
"370",2003-09-03,2.9773,2003,9
"371",2003-09-04,2.9607,2003,9
"372",2003-09-05,2.937,2003,9
"373",2003-09-08,2.9428,2003,9
"374",2003-09-09,2.9567,2003,9
"375",2003-09-10,2.9353,2003,9
"376",2003-09-11,2.9028,2003,9
"377",2003-09-12,2.8942,2003,9
"378",2003-09-15,2.8898,2003,9
"379",2003-09-16,2.8917,2003,9
"380",2003-09-17,2.9067,2003,9
"381",2003-09-18,2.9178,2003,9
"382",2003-09-19,2.9117,2003,9
"383",2003-09-22,2.9107,2003,9
"384",2003-09-23,2.8963,2003,9
"385",2003-09-24,2.8933,2003,9
"386",2003-09-25,2.89,2003,9
"387",2003-09-26,2.9007,2003,9
"388",2003-09-29,2.9055,2003,9
"389",2003-09-30,2.911,2003,9
"390",2003-10-01,2.9127,2003,10
"391",2003-10-02,2.9012,2003,10
"392",2003-10-03,2.8952,2003,10
"393",2003-10-06,2.8782,2003,10
"394",2003-10-07,2.8685,2003,10
"395",2003-10-08,2.8628,2003,10
"396",2003-10-09,2.8497,2003,10
