Fecha cotizacion;Compra;Venta;
2/1/2003;3,3300;3,3900;
3/1/2003;3,3000;3,3600;
6/1/2003;3,2700;3,3500;
7/1/2003;3,2300;3,3100;
8/1/2003;3,2300;3,3100;
9/1/2003;3,2800;3,3500;
10/1/2003;3,3100;3,3800;
13/1/2003;3,2900;3,3700;
14/1/2003;3,2400;3,3200;
15/1/2003;3,1900;3,2700;
16/1/2003;3,2100;3,2900;
17/1/2003;3,1900;3,2700;
20/1/2003;3,1400;3,2200;
21/1/2003;3,0600;3,1400;
22/1/2003;3,0500;3,1300;
23/1/2003;3,0900;3,1700;
24/1/2003;3,1600;3,2400;
27/1/2003;3,2400;3,3200;
28/1/2003;3,2700;3,3500;
29/1/2003;3,2500;3,3300;
30/1/2003;3,2000;3,2800;
31/1/2003;3,1500;3,2300;
3/2/2003;3,1500;3,2300;
4/2/2003;3,1100;3,1900;
5/2/2003;3,1100;3,1900;
6/2/2003;3,1000;3,1800;
7/2/2003;3,0600;3,1600;
10/2/2003;3,0600;3,1600;
11/2/2003;3,0400;3,1400;
12/2/2003;3,0200;3,1200;
13/2/2003;3,0600;3,1600;
14/2/2003;3,1000;3,2000;
17/2/2003;3,0800;3,1800;
18/2/2003;3,0800;3,1800;
19/2/2003;3,1000;3,2000;
20/2/2003;3,1400;3,2400;
21/2/2003;3,1100;3,2100;
24/2/2003;3,0900;3,1900;
25/2/2003;3,0700;3,1700;
26/2/2003;3,0900;3,1900;
27/2/2003;3,0900;3,1900;
28/2/2003;3,1100;3,2100;
3/3/2003;3,1300;3,2300;
4/3/2003;3,1100;3,2100;
5/3/2003;3,0900;3,1900;
6/3/2003;3,1100;3,2100;
7/3/2003;3,0800;3,1800;
10/3/2003;3,0800;3,1800;
11/3/2003;3,0600;3,1600;
12/3/2003;3,0400;3,1400;
13/3/2003;3,0400;3,1400;
14/3/2003;3,0400;3,1400;
17/3/2003;3,0400;3,1400;
18/3/2003;3,0000;3,1000;
19/3/2003;2,9500;3,0500;
20/3/2003;2,9500;3,0500;
21/3/2003;2,9500;3,0500;
24/3/2003;2,9200;3,0200;
25/3/2003;2,8600;2,9600;
26/3/2003;2,8200;2,9200;
27/3/2003;2,7900;2,8900;
28/3/2003;2,8900;2,9900;
1/4/2003;2,8900;2,9900;
2/4/2003;2,8200;2,9200;
3/4/2003;2,8200;2,9200;
4/4/2003;2,8200;2,9200;
7/4/2003;2,8200;2,9200;
8/4/2003;2,8200;2,9200;
9/4/2003;2,8400;2,9400;
10/4/2003;2,8200;2,9200;
11/4/2003;2,8200;2,9200;
14/4/2003;2,8400;2,9400;
15/4/2003;2,8700;2,9700;
16/4/2003;2,8500;2,9500;
21/4/2003;2,8200;2,9200;
22/4/2003;2,7800;2,8800;
23/4/2003;2,7800;2,8800;
24/4/2003;2,7800;2,8800;
25/4/2003;2,8000;2,9000;
28/4/2003;2,7800;2,8800;
29/4/2003;2,7800;2,8800;
30/4/2003;2,7500;2,8500;
2/5/2003;2,7000;2,8000;
5/5/2003;2,7200;2,8200;
6/5/2003;2,7200;2,8200;
7/5/2003;2,7100;2,8100;
8/5/2003;2,6900;2,7900;
9/5/2003;2,6900;2,7900;
12/5/2003;2,6900;2,7900;
13/5/2003;2,6900;2,7900;
14/5/2003;2,7100;2,8100;
15/5/2003;2,7700;2,8700;
16/5/2003;2,8700;2,9700;
19/5/2003;2,8600;2,9600;
20/5/2003;2,8000;2,9000;
21/5/2003;2,7700;2,8700;
22/5/2003;2,8000;2,9000;
23/5/2003;2,8300;2,9300;
26/5/2003;2,8000;2,9000;
27/5/2003;2,8000;2,9000;
28/5/2003;2,8000;2,9000;
29/5/2003;2,8000;2,9000;
30/5/2003;2,8000;2,9000;
2/6/2003;2,7700;2,8700;
3/6/2003;2,7400;2,8400;
4/6/2003;2,7400;2,8400;
5/6/2003;2,7400;2,8400;
6/6/2003;2,7200;2,8200;
9/6/2003;2,7400;2,8400;
10/6/2003;2,7400;2,8400;
11/6/2003;2,7400;2,8400;
12/6/2003;2,7700;2,8700;
13/6/2003;2,7400;2,8400;
17/6/2003;2,7200;2,8200;
18/6/2003;2,7200;2,8200;
19/6/2003;2,7200;2,8200;
20/6/2003;2,7200;2,8200;
23/6/2003;2,7200;2,8200;
24/6/2003;2,7000;2,8000;
25/6/2003;2,7000;2,8000;
26/6/2003;2,7000;2,8000;
27/6/2003;2,7200;2,8200;
30/6/2003;2,7000;2,8000;
1/7/2003;2,7200;2,8200;
2/7/2003;2,7200;2,8200;
3/7/2003;2,7200;2,8200;
4/7/2003;2,7200;2,8200;
7/7/2003;2,7200;2,8200;
8/7/2003;2,7000;2,8000;
10/7/2003;2,7000;2,8000;
11/7/2003;2,6800;2,7800;
14/7/2003;2,6800;2,7800;
15/7/2003;2,7000;2,8000;
16/7/2003;2,7000;2,8000;
17/7/2003;2,7000;2,8000;
18/7/2003;2,7200;2,8200;
21/7/2003;2,7200;2,8200;
22/7/2003;2,7200;2,8200;
23/7/2003;2,7000;2,8000;
24/7/2003;2,7200;2,8200;
