Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S1,1962,1962,1962,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1115432960,,,,1115432960,,23799996,,,0
S1,1962,1962,1962,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,254405872,,,,254405872,,3700997,,,0
S1,1963,1963,1963,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,868507008,,,,868507008,,20085598,,,0
S1,1963,1963,1963,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,101869376,,,,101869376,,1399500,,,0
S1,1964,1964,1964,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1477549952,,,,1477549952,,28696596,,,0
S1,1964,1964,1964,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,16216100,,,,16216100,,200998,,,0
S1,1965,1965,1965,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3551976960,,,,3551976960,,62386340,,,0
S1,1966,1966,1966,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3704911360,,,,3704911360,,64165696,,,0
S1,1966,1966,1966,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3087750,,,,3087750,,107048,,,0
S1,1967,1967,1967,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2287808512,,,,2287808512,,46154840,,,0
S1,1967,1967,1967,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,9239007,,,,9239007,,103279,,,0
S1,1968,1968,1968,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1781826944,,,,1781826944,,37137556,,,0
S1,1968,1968,1968,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,187969872,,,,187969872,,1536857,,,0
S1,1969,1969,1969,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2250388224,,,,2250388224,,42543496,,,0
S1,1969,1969,1969,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,60642500,,,,60642500,,895100,,,0
S1,1970,1970,1970,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1402711552,,,,1402711552,,30825596,,,0
S1,1971,1971,1971,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2248345088,,,,2248345088,,52336056,,,0
S1,1972,1972,1972,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1375179008,,,,1375179008,,31639008,,,0
S1,1973,1973,1973,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2358239488,,,,2358239488,,82509112,,,0
S1,1974,1974,1974,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3079237632,,,,3079237632,,327586816,,,0
S1,1974,1974,1974,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,35057728,,,,35057728,,3351720,,,0
S1,1975,1975,1975,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2117074944,,,,2117074944,,225430992,,,0
S1,1975,1975,1975,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,14379796,,,,14379796,,1259558,,,0
S1,1976,1976,1976,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2979459328,,,,2979459328,,289050656,,,0
S1,1977,1977,1977,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,3306800896,,,,3306800896,,337863040,,,0
S1,1978,1978,1978,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1970002048,,,,1970002048,,196734624,,,0
S1,1979,1979,1979,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1773290368,,,,1773290368,,350992352,,,0
S1,1979,1979,1979,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,191,,,,191,,39,,,0
S1,1980,1980,1980,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,2219365888,,,,2219365888,,533515392,,,0
S1,1981,1981,1981,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1169439744,,,,1169439744,,301560512,,,0
S1,1982,1982,1982,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,666557312,,,,666557312,,162414800,,,0
S1,1983,1983,1983,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,50,,,,50,,69,,,0
S1,1985,1985,1985,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,566,,,,566,,3613,,,0
S1,1985,1985,1985,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,406661280,,,,406661280,,68948888,,,0
S1,1986,1986,1986,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1374,,,,1374,,6594,,,0
S1,1986,1986,1986,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,131729832,,,,131729832,,18805804,,,0
S1,1987,1987,1987,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,109,,,,109,,959,,,0
S1,1987,1987,1987,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,83200376,,,,83200376,,10343388,,,0
S1,1988,1988,1988,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,129,,,,129,,3153,,,0
S1,1988,1988,1988,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,200983680,,,,200983680,,17428304,,,0
S1,1989,1989,1989,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1000,,,,1000,,2211,,,0
S1,1989,1989,1989,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,315928160,,,,315928160,,34547936,,,0
S1,1990,1990,1990,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,50848464,,,,50848464,,8257962,,,0
S1,1990,1990,1990,5,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,1038185024,,,,1038185024,,146791712,,,0
S1,1991,1991,1991,5,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,33101,Crude petroleum,8,Weight in kilograms,212999999,,,,212999999,,37799370,,,0
