"","Period","Trade Flow","Reporter","Partner","Commodity Code","Trade Value (US$)","Netweight (kg)","Qty Unit","Qty","Flag","6.2898099999999998E-3","Precio por barril","revision_cantidad","expo_bbl","expo_precio_bbl"
"1",1962,"Export","Argentina","World",33101,3700997,254405872,"Weight in kilograms",254405872,0,1600164.59776432,2.31288519016786,1,1600164.59776432,2.31288519016786
"2",1963,"Export","Argentina","World",33101,1399500,101869376,"Weight in kilograms",101869376,0,640739.01985856,2.18419661769457,1,640739.01985856,2.18419661769457
"3",1964,"Export","Argentina","World",33101,200998,16216100,"Weight in kilograms",16216100,0,101996.187941,1.97064227651594,1,101996.187941,1.97064227651594
"4",1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1966,"Export","Argentina","World",33101,107048,3087750,"Weight in kilograms",3087750,0,19421.3608275,5.51186917079588,1,19421.3608275,5.51186917079588
"6",1967,"Export","Argentina","World",33101,103279,9239007,"Weight in kilograms",9239007,0,58111.59861867,1.77725277663965,1,58111.59861867,1.77725277663965
"7",1968,"Export","Argentina","World",33101,1536857,187969872,"Weight in kilograms",187969872,0,1182294.78060432,1.29989324592505,1,1182294.78060432,1.29989324592505
"8",1969,"Export","Argentina","World",33101,895100,60642500,"Weight in kilograms",60642500,0,381429.802925,2.34669654320641,1,381429.802925,2.34669654320641
"9",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1974,"Export","Argentina","World",33101,3351720,35057728,"Weight in kilograms",35057728,0,220506.44815168,15.2000997163332,1,220506.44815168,15.2000997163332
"14",1975,"Export","Argentina","World",33101,1259558,14379796,"Weight in kilograms",14379796,0,90446.18467876,13.9260490033229,1,90446.18467876,13.9260490033229
"15",1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1979,"Export","Argentina","World",33101,39,191,"Weight in kilograms",191,0,1.20135371,32.4633783334302,1,1.20135371,32.4633783334302
"19",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1985,"Export","Argentina","World",33101,68948888,406661280,"Weight in kilograms",406661280,0,2557822.1855568,26.9560911580689,1,2557822.1855568,26.9560911580689
"25",1986,"Export","Argentina","World",33101,18805804,131729832,"Weight in kilograms",131729832,0,828555.61461192,22.6970931924809,1,828555.61461192,22.6970931924809
"26",1987,"Export","Argentina","World",33101,10343388,83200376,"Weight in kilograms",83200376,0,523314.55696856,19.7651448106409,1,523314.55696856,19.7651448106409
"27",1988,"Export","Argentina","World",33101,17428304,200983680,"Weight in kilograms",200983680,0,1264149.1603008,13.7865882819184,1,1264149.1603008,13.7865882819184
"28",1989,"Export","Argentina","World",33101,34547936,315928160,"Weight in kilograms",315928160,0,1987128.1000496,17.3858625415934,1,1987128.1000496,17.3858625415934
"29",1990,"Export","Argentina","World",33101,146791712,1038185024,"Weight in kilograms",1038185024,0,6529986.54580544,22.4796346776996,1,6529986.54580544,22.4796346776996
"30",1991,"Export","Argentina","World",33101,147616852,881398298,"Weight in kilograms",881398298,0,5543827.82874338,26.6272432261772,1,5543827.82874338,26.6272432261772
"31",1992,"Export","Argentina","World",33101,348814560,2697115136,"Weight in kilograms",2697115136,0,16964341.7535642,20.5616324563088,1,16964341.7535642,20.5616324563088
