Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S1,1964,1964,1964,4,1,1,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,5541500,,,,5541500,,29000,,,0
S1,1965,1965,1965,4,1,1,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,3461500,,,,3461500,,14887,,,0
S1,1965,1965,1965,4,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,11062,,,,11062,,1231,,,0
S1,1966,1966,1966,4,1,1,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,11467535,,,,11467535,,69305,,,0
S1,1966,1966,1966,4,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,15625,,,,15625,,1827,,,0
S1,1967,1967,1967,4,1,1,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,6636714,,,,6636714,,39886,,,0
S1,1967,1967,1967,4,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,10000,,,,10000,,1055,,,0
S1,1968,1968,1968,4,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,18343,,,,18343,,2229,,,0
S1,1972,1972,1972,4,1,1,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,498987360,,,,498987360,,6105007,,,0
S1,1973,1973,1973,4,1,1,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,3411,"Gas, natural",8,Weight in kilograms,933427904,,,,933427904,,12484548,,,0
