"","Classification","Year","Period","Period Desc.","Aggregate Level","Is Leaf Code","Trade Flow Code","Trade Flow","Reporter Code","Reporter","Reporter ISO","Partner Code","Partner","Partner ISO","2nd Partner Code","2nd Partner","2nd Partner ISO","Customs Proc. Code","Customs","Mode of Transport Code","Mode of Transport","Commodity Code","Commodity","Qty Unit Code","Qty Unit","Qty","Alt Qty Unit Code","Alt Qty Unit","Alt Qty","Netweight (kg)","Gross weight (kg)","trade_value_usd","CIF Trade Value (US$)","FOB Trade Value (US$)","Flag","precio_impo_gas_bolivia","unidad_precio","unidad_valor","unidad_cantidad"
"1","S1",1964,1964,1964,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",7518995.92944369,NA,NA,NA,5541500,NA,29000,NA,NA,0,0.0038568979518181,"usd/Mm3","usd","Mm3"
"2","S1",1965,1965,1965,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",4696743.55495251,NA,NA,NA,3461500,NA,14887,NA,NA,0,0.00316964292936588,"usd/Mm3","usd","Mm3"
"3","S1",1966,1966,1966,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",15559748.9823609,NA,NA,NA,11467535,NA,69305,NA,NA,0,0.00445412069812737,"usd/Mm3","usd","Mm3"
"4","S1",1967,1967,1967,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",9005039.34871099,NA,NA,NA,6636714,NA,39886,NA,NA,0,0.00442929769159858,"usd/Mm3","usd","Mm3"
"5","S1",1972,1972,1972,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",677052048.846676,NA,NA,NA,498987360,NA,6105007,NA,NA,0,0.00901704235353777,"usd/Mm3","usd","Mm3"
"6","S1",1973,1973,1973,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",1266523614.654,NA,NA,NA,933427904,NA,12484548,NA,NA,0,0.00985733535131172,"usd/Mm3","usd","Mm3"
"7","S1",1974,1974,1974,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",2091209986.43148,NA,NA,NA,1541221760,NA,29862624,NA,NA,0,0.0142800695261401,"usd/Mm3","usd","Mm3"
"8","S1",1975,1975,1975,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",1701084569.87788,NA,NA,NA,1253699328,NA,39209376,NA,NA,0,0.0230496335657284,"usd/Mm3","usd","Mm3"
"9","S1",1976,1976,1976,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",1359082811.39756,NA,NA,NA,1001644032,NA,46708584,NA,NA,0,0.034367724768713,"usd/Mm3","usd","Mm3"
"10","S1",1977,1977,1977,4,1,1,"Import",32,"Argentina","ARG",68,"Bolivia (Plurinational State of)","BOL",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",1941768857.53053,NA,NA,NA,1431083648,NA,76835584,NA,NA,0,0.039569892009555,"usd/Mm3","usd","Mm3"
