"anio","empresa","sector","unidad","variable","valor"
2018,"YPF","upstream","Millones de pesos corrientes","activo",480263
2018,"YPF","gas_y_energia","Millones de pesos corrientes","activo",129885
2018,"YPF","downstream","Millones de pesos corrientes","activo",307312
2018,"YPF","adm_central","Millones de pesos corrientes","activo",82762
2017,"YPF","upstream","Millones de pesos corrientes","activo",251525
2017,"YPF","gas_y_energia","Millones de pesos corrientes","activo",45395
2017,"YPF","downstream","Millones de pesos corrientes","activo",158800
2017,"YPF","adm_central","Millones de pesos corrientes","activo",53934
2016,"YPF","upstream","Millones de pesos corrientes","activo",236173
2016,"YPF","gas_y_energia","Millones de pesos corrientes","activo",25866
2016,"YPF","downstream","Millones de pesos corrientes","activo",125536
2016,"YPF","adm_central","Millones de pesos corrientes","activo",34739
2015,"YPF","upstream","Millones de pesos corrientes","activo",223035
2015,"YPF","downstream","Millones de pesos corrientes","activo",113805
2015,"YPF","adm_central","Millones de pesos corrientes","activo",26708
2014,"YPF","upstream","Millones de pesos corrientes","activo",126228
2014,"YPF","downstream","Millones de pesos corrientes","activo",68509
2014,"YPF","adm_central","Millones de pesos corrientes","activo",16356
2013,"YPF","upstream","Millones de pesos corrientes","activo",70775
2013,"YPF","downstream","Millones de pesos corrientes","activo",51336
2013,"YPF","adm_central","Millones de pesos corrientes","activo",15161
2012,"YPF","upstream","Millones de pesos corrientes","activo",43038
2012,"YPF","petroquimica","Millones de pesos corrientes","activo",4639
2012,"YPF","downstream","Millones de pesos corrientes","activo",25204
2012,"YPF","adm_central","Millones de pesos corrientes","activo",8031
2011,"YPF","upstream","Millones de pesos corrientes","activo",30357
2011,"YPF","petroquimica","Millones de pesos corrientes","activo",3974
2011,"YPF","downstream","Millones de pesos corrientes","activo",20119
2011,"YPF","adm_central","Millones de pesos corrientes","activo",2452
2010,"YPF","upstream","Millones de pesos corrientes","activo",26245
2010,"YPF","petroquimica","Millones de pesos corrientes","activo",2779
2010,"YPF","downstream","Millones de pesos corrientes","activo",14043
2010,"YPF","adm_central","Millones de pesos corrientes","activo",4624
2009,"YPF","upstream","Millones de pesos corrientes","activo",24133
2009,"YPF","petroquimica","Millones de pesos corrientes","activo",2066
2009,"YPF","downstream","Millones de pesos corrientes","activo",11393
2009,"YPF","adm_central","Millones de pesos corrientes","activo",3439
2008,"YPF","upstream","Millones de pesos corrientes","activo",21755
2008,"YPF","petroquimica","Millones de pesos corrientes","activo",2295
2008,"YPF","downstream","Millones de pesos corrientes","activo",10286
2008,"YPF","adm_central","Millones de pesos corrientes","activo",5224
2007,"YPF","upstream","Millones de pesos corrientes","activo",19893
2007,"YPF","petroquimica","Millones de pesos corrientes","activo",2220
2007,"YPF","downstream","Millones de pesos corrientes","activo",11199
2007,"YPF","adm_central","Millones de pesos corrientes","activo",5421
2006,"YPF","upstream","Millones de pesos corrientes","activo",18987
2006,"YPF","petroquimica","Millones de pesos corrientes","activo",1876
2006,"YPF","downstream","Millones de pesos corrientes","activo",9349
2006,"YPF","adm_central","Millones de pesos corrientes","activo",6049
2005,"YPF","upstream","Millones de pesos corrientes","activo",17911
2005,"YPF","petroquimica","Millones de pesos corrientes","activo",1658
2005,"YPF","downstream","Millones de pesos corrientes","activo",8807
2005,"YPF","adm_central","Millones de pesos corrientes","activo",4818
2004,"YPF","upstream","Millones de pesos corrientes","activo",15778
2004,"YPF","petroquimica","Millones de pesos corrientes","activo",2143
2004,"YPF","downstream","Millones de pesos corrientes","activo",8244
