anio,unidad,tipo_de_renta,valor,autor
2010,Millones de USD,regalias,1762.5,Ramon
2010,Millones de USD,renta_consumidores,61.3,Ramon
2010,Millones de USD,renta_empresas,6874,Ramon
2010,Millones de USD,renta_estado_total,3888,Ramon
2010,Millones de USD,renta_refinadoras,4007,Ramon
2010,Millones de USD,renta_sobrevaluacion,113,Ramon
2010,Millones de USD,renta_total,14830,Ramon
2010,Millones de USD,retenciones,2724,Ramon
2011,Millones de USD,regalias,1919.5,Ramon
2011,Millones de USD,renta_consumidores,1810.8,Ramon
2011,Millones de USD,renta_empresas,2977,Ramon
2011,Millones de USD,renta_estado_total,6099,Ramon
2011,Millones de USD,renta_refinadoras,5610,Ramon
2011,Millones de USD,renta_sobrevaluacion,47,Ramon
2011,Millones de USD,renta_total,16497,Ramon
2011,Millones de USD,retenciones,4255,Ramon
2012,Millones de USD,regalias,2117,Ramon
2012,Millones de USD,renta_consumidores,248.2,Ramon
2012,Millones de USD,renta_empresas,2616,Ramon
2012,Millones de USD,renta_estado_total,6930,Ramon
2012,Millones de USD,renta_refinadoras,5976,Ramon
2012,Millones de USD,renta_sobrevaluacion,179,Ramon
2012,Millones de USD,renta_total,15769,Ramon
2012,Millones de USD,retenciones,4635,Ramon
2013,Millones de USD,regalias,2022.7,Ramon
2013,Millones de USD,renta_consumidores,86.7,Ramon
2013,Millones de USD,renta_empresas,8029,Ramon
2013,Millones de USD,renta_estado_total,1194,Ramon
2013,Millones de USD,renta_refinadoras,5712,Ramon
2013,Millones de USD,renta_sobrevaluacion,112,Ramon
2013,Millones de USD,renta_total,15932,Ramon
2013,Millones de USD,retenciones,1923,Ramon
2014,Millones de USD,regalias,2127.7,Ramon
2014,Millones de USD,renta_consumidores,55,Ramon
2014,Millones de USD,renta_empresas,8635,Ramon
2014,Millones de USD,renta_estado_total,463,Ramon
2014,Millones de USD,renta_refinadoras,3163,Ramon
2014,Millones de USD,renta_sobrevaluacion,226,Ramon
2014,Millones de USD,renta_total,14830,Ramon
2014,Millones de USD,retenciones,1306,Ramon
