"anio","unidad","expo_crudo","expo_sesco_crudo","expo_mecon_crudo","...1","expo_indec_crudo","expo_comtrade_crudo"
1962,"barriles",1600164.59776432,NA,NA,NA,NA,1600164.59776432
1963,"barriles",640739.01985856,NA,NA,NA,NA,640739.01985856
1964,"barriles",101996.187941,NA,NA,NA,NA,101996.187941
1965,"barriles",NA,NA,NA,NA,NA,NA
1966,"barriles",19421.3608275,NA,NA,NA,NA,19421.3608275
1967,"barriles",58111.59861867,NA,NA,NA,NA,58111.59861867
1968,"barriles",1182294.78060432,NA,NA,NA,NA,1182294.78060432
1969,"barriles",381429.802925,NA,NA,NA,NA,381429.802925
1970,"barriles",NA,NA,NA,NA,NA,NA
1971,"barriles",NA,NA,NA,NA,NA,NA
1972,"barriles",NA,NA,NA,NA,NA,NA
1973,"barriles",NA,NA,NA,NA,NA,NA
1974,"barriles",220506.44815168,NA,NA,NA,NA,220506.44815168
1975,"barriles",90446.18467876,NA,NA,NA,NA,90446.18467876
1976,"barriles",NA,NA,NA,NA,NA,NA
1977,"barriles",NA,NA,NA,NA,NA,NA
1978,"barriles",NA,NA,NA,NA,NA,NA
1979,"barriles",1.20135371,NA,NA,NA,NA,1.20135371
1980,"barriles",NA,NA,NA,NA,NA,NA
1981,"barriles",NA,NA,NA,NA,NA,NA
1982,"barriles",NA,NA,NA,NA,NA,NA
1983,"barriles",NA,NA,NA,NA,NA,NA
1984,"barriles",NA,NA,NA,NA,NA,NA
1985,"barriles",2557822.1855568,NA,NA,NA,NA,2557822.1855568
1986,"barriles",828555.61461192,NA,NA,NA,NA,828555.61461192
1987,"barriles",523314.55696856,NA,NA,NA,NA,523314.55696856
1988,"barriles",1264149.1603008,NA,NA,NA,NA,1264149.1603008
1989,"barriles",1987128.1000496,NA,NA,NA,NA,1987128.1000496
1990,"barriles",6529986.54580544,NA,NA,NA,NA,6529986.54580544
1991,"barriles",5543827.82874338,NA,NA,NA,NA,5543827.82874338
1992,"barriles",16964341.7535642,NA,NA,NA,NA,16964341.7535642
1993,"barriles",28450838.2634701,NA,NA,NA,NA,28450838.2634701
1994,"barriles",66209162.2566298,39566652.3671298,NA,NA,NA,66209162.2566298
1995,"barriles",88121303.2415846,72848661.8588989,NA,NA,NA,88121303.2415846
1996,"barriles",103610629.199821,118623835.570535,NA,NA,NA,103610629.199821
1997,"barriles",104005003.708477,122350382.825378,NA,NA,NA,104005003.708477
1998,"barriles",107523445.730744,120668555.279012,NA,NA,NA,107523445.730744
1999,"barriles",NA,NA,NA,NA,NA,89549617.0844461
2000,"barriles",5608444.8354,5608444.8354,100532351.5812,NA,NA,90318071.7719121
2001,"barriles",104949187.5168,104949187.5168,102888101.8242,NA,NA,94763594.5713732
2002,"barriles",97245641.7504,97245641.7504,98662117.29,NA,NA,89291122.4545158
2003,"barriles",83878726.09908,83878726.09908,77338072.5216,NA,NA,76252674.9922475
2004,"barriles",64388883.8736,64388883.8736,63833821.6032,NA,NA,59317222.0089433
2005,"barriles",54636926.3616,54636926.3616,53232728.5116,NA,NA,48407839.5495829
2006,"barriles",31949152.3164,31949152.3164,35480919.045,NA,NA,36465965.1796745
2007,"barriles",20763719.82234,20763719.82234,25449386.2128,NA,NA,19138022.8066687
2008,"barriles",20686397.4114204,20686397.4114204,20688951.0828,NA,NA,18954798.3267186
2009,"barriles",38281780.3005066,38281780.3005066,41565809.9406,NA,NA,40457531.6853811
2010,"barriles",33429069.6217896,33429069.6217896,33501091.2786,NA,NA,30858720.511431
2011,"barriles",21725042.0421738,21725042.0421738,21436204.482,NA,NA,19018511.8188176
2012,"barriles",24058816.8083353,24058816.8083353,21742926.579,NA,NA,22078096.955085
2013,"barriles",15931837.9377161,15931837.9377161,14362921.8348,NA,NA,15300263.5659753
2014,"barriles",16825688.3885884,16825688.3885884,14632898.9202,NA,NA,15255803.8930349
2015,"barriles",14726080.9467163,14726080.9467163,NA,NA,NA,13347046.2343432
2016,"barriles",18683541.3286236,18683541.3286236,NA,NA,NA,16961691.001197
2017,"barriles",10845928.399746,10845928.399746,NA,NA,NA,9618977.499874
2018,"barriles",22591805.2422843,22591805.2422843,NA,NA,NA,19522010.36712
2019,"barriles",23950112.1422574,23950112.1422574,NA,NA,NA,16452910.15724
2020,"barriles",11961897.6554286,11961897.6554286,NA,NA,NA,NA
