"anio","unidad","expo_crudo","expo_crudo_sesco","expo_crudo_mecon","expo_indec_crudo","expo_comtrade_crudo"
1962,"USD",3.700997,NA,NA,NA,3.700997
1963,"USD",1.3995,NA,NA,NA,1.3995
1964,"USD",0.200998,NA,NA,NA,0.200998
1965,"USD",NA,NA,NA,NA,NA
1966,"USD",0.107048,NA,NA,NA,0.107048
1967,"USD",0.103279,NA,NA,NA,0.103279
1968,"USD",1.536857,NA,NA,NA,1.536857
1969,"USD",0.8951,NA,NA,NA,0.8951
1970,"USD",NA,NA,NA,NA,NA
1971,"USD",NA,NA,NA,NA,NA
1972,"USD",NA,NA,NA,NA,NA
1973,"USD",NA,NA,NA,NA,NA
1974,"USD",3.35172,NA,NA,NA,3.35172
1975,"USD",1.259558,NA,NA,NA,1.259558
1976,"USD",NA,NA,NA,NA,NA
1977,"USD",NA,NA,NA,NA,NA
1978,"USD",NA,NA,NA,NA,NA
1979,"USD",0.000039,NA,NA,NA,0.000039
1980,"USD",NA,NA,NA,NA,NA
1981,"USD",NA,NA,NA,NA,NA
1982,"USD",NA,NA,NA,NA,NA
1983,"USD",NA,NA,NA,NA,NA
1984,"USD",NA,NA,NA,NA,NA
1985,"USD",68.948888,NA,NA,NA,68.948888
1986,"USD",18.805804,NA,NA,NA,18.805804
1987,"USD",10.343388,NA,NA,NA,10.343388
1988,"USD",17.428304,NA,NA,NA,17.428304
1989,"USD",34.547936,NA,NA,NA,34.547936
1990,"USD",146.791712,NA,NA,NA,146.791712
1991,"USD",147.616852,NA,NA,NA,147.616852
1992,"USD",348.81456,NA,NA,NA,348.81456
1993,"USD",527.361344,NA,NA,NA,527.361344
1994,"USD",542.89997339,542.89997339,1125.573128,NA,1125.57312
1995,"USD",1147.4253,1147.4253,1591.855009,NA,1591.854976
1996,"USD",2314.267381,2314.267381,2319.96366,NA,2319.963648
1997,"USD",2193.56101189766,2193.56101189766,2191.356522,NA,2191.356416
1998,"USD",1391.19438551,1391.19438551,1462.650831,NA,1462.65088
1999,"USD",NA,NA,NA,NA,1599.392752
2000,"USD",147.516701,147.516701,2808.667093,NA,2808.667093
2001,"USD",2329.049596,2329.049596,2363.316519,NA,2394.117965
2002,"USD",2156.072411,2156.072411,2231.088204,2231.08768,2223.884389
2003,"USD",2235.435424,2235.435424,2296.395886,2296.395886,2298.635334
2004,"USD",2108.952134,2108.952134,2263.087744,2263.087744,2255.856362
2005,"USD",2141.997828,2141.997828,2508.982817,2508.98281439,2508.982815
2006,"USD",1868.457777,1868.457777,2406.092878,2406.09287921,2406.092876
2007,"USD",1287.002081,1287.002081,1296.0026827,1296.0026827,1296.002689
2008,"USD",1556.72303918,1556.72303918,1618.15613092,1618.15609592,1618.156132
2009,"USD",2114.5580826,2114.5580826,2466.3567983,2466.3567983,2466.356802
2010,"USD",2520.39466246,2520.39466246,2583.53366129,2583.53366129,2583.534304
2011,"USD",2182.2230565,2182.2230565,2182.22359514,2182.22359514,2182.223595
2012,"USD",2483.81259962,2483.81259962,2611.22372082,2611.22372082,2611.223721
2013,"USD",1567.22645534,1567.22645534,1736.77515427,1736.77515427,1736.775154
2014,"USD",1480.18469985,1480.18469985,1623.40369177,1619.63266931,1619.632669
2015,"USD",670.63491318,670.63491318,NA,670.92975082,670.92975
2016,"USD",736.1739958,736.1739958,NA,748.54364278,748.543642
2017,"USD",585.05078067,585.05078067,NA,585.04172342,575.226736
2018,"USD",1510.92172189,1510.92172189,NA,646.11009386,1474.856038
2019,"USD",1439.523576018,1439.523576018,NA,734.65048664,1119.911767
2020,"USD",326.563130968,326.563130968,NA,NA,NA
