"anio","unidad","expo_gas","expo_sesco_gas","expo_gas_mecon","expo_gas_indec","expo_gas_comtrade"
1962,"USD",3969199,NA,NA,NA,3969199
1963,"USD",811097,NA,NA,NA,811097
1964,"USD",54600,NA,NA,NA,54600
1965,"USD",52488,NA,NA,NA,52488
1966,"USD",48468,NA,NA,NA,48468
1967,"USD",117757,NA,NA,NA,117757
1968,"USD",68848,NA,NA,NA,68848
1969,"USD",10199,NA,NA,NA,10199
1970,"USD",99,NA,NA,NA,99
1971,"USD",245565,NA,NA,NA,245565
1972,"USD",47884,NA,NA,NA,47884
1974,"USD",140798,NA,NA,NA,140798
1975,"USD",1166521,NA,NA,NA,1166521
1976,"USD",1514413,NA,NA,NA,1514413
1977,"USD",1853100,NA,NA,NA,1853100
1978,"USD",1078143,NA,NA,NA,1078143
1979,"USD",1823,NA,NA,NA,1823
1984,"USD",9965951,NA,NA,NA,9965951
1985,"USD",5391962,NA,NA,NA,5391962
1986,"USD",3565667,NA,NA,NA,3565667
1987,"USD",78108,NA,NA,NA,78108
1988,"USD",5268936,NA,NA,NA,5268936
1989,"USD",12967062,NA,NA,NA,12967062
1990,"USD",13949844,NA,NA,NA,13949844
1991,"USD",28695303,NA,NA,NA,28695303
1992,"USD",44299872,NA,NA,NA,44299872
1993,"USD",65852292,NA,NA,NA,65852292
1994,"USD",71806056,NA,NA,NA,71806056
1995,"USD",75757904,NA,NA,NA,75757904
1996,"USD",109614432,NA,NA,NA,109614432
1997,"USD",24951113,24951113,128907767,NA,128907760
1998,"USD",84733205.438,84733205.438,162134647,NA,162134624
1999,"USD",NA,NA,NA,NA,278534835
2000,"USD",NA,NA,NA,NA,451836804
2001,"USD",315606000,315606000,609828251,NA,621742002
2002,"USD",264328690,264328690,629628746,308993548,624929052
2003,"USD",320289800,320289800,872050808,354209883,872050808
2004,"USD",392413300,392413300,1163861034,426885568,1106767589
2005,"USD",432968664,432968664,1253547610,491912718.64,1253393003
2006,"USD",293471326.2,293471326.2,1511646428,634810608.27,1511646427
2007,"USD",218367547,218367547,1297180104.28,454771414.64,1296295197
2008,"USD",309496677.86,309496677.86,1442475439.3,349067356.47,1442475437
2009,"USD",275142247.8,275142247.8,1085919689.23,456059167.29,1085919699
2010,"USD",170923990.4,170923990.4,1046069369.3,215825026.64,1046146881
2011,"USD",90425573.81,90425573.81,1129151037.85,130650372.32,1129151038
2012,"USD",48267576.2,48267576.2,809964688.56,76492515.17,809964689
2013,"USD",49764420.31,49764420.31,707678647.54,74631733.36,707678648
2014,"USD",20850719.92,20850719.92,603369118.83,53112416.46,600996087
2015,"USD",17556889.55,17556889.55,NA,44485580.52,312696407
2016,"USD",17490393.31,17490393.31,NA,39151295.14,302946917
2017,"USD",26405174.218,26405174.218,NA,27262269.01,405170242
2018,"USD",71995265.194,71995265.194,NA,26181210.74,203383903
2019,"USD",191542080.322,191542080.322,NA,326416836.63,562675147
2020,"USD",63827950.5,63827950.5,NA,NA,NA
