"anio","unidad","precio_me_crudo","precio_expo_regalias_crudo","precio_expo_mecon_crudo","...1","precio_expo_crudo_indec","precio_expo_comtrade_hs_crudo","precio_expo_comtrade_sitc_crudo","brent_historic","brent_iea","wti_eia","wti_spot_price_fred"
1946,"USD/barriles",1.63,NA,NA,NA,NA,NA,NA,1.63,NA,NA,1.3575
1947,"USD/barriles",2.16,NA,NA,NA,NA,NA,NA,2.16,NA,NA,1.84083333333333
1948,"USD/barriles",2.77,NA,NA,NA,NA,NA,NA,2.77,NA,NA,2.57
1949,"USD/barriles",2.77,NA,NA,NA,NA,NA,NA,2.77,NA,NA,2.57
1950,"USD/barriles",2.77,NA,NA,NA,NA,NA,NA,2.77,NA,NA,2.57
1951,"USD/barriles",2.77,NA,NA,NA,NA,NA,NA,2.77,NA,NA,2.57
1952,"USD/barriles",2.77,NA,NA,NA,NA,NA,NA,2.77,NA,NA,2.57
1953,"USD/barriles",2.92,NA,NA,NA,NA,NA,NA,2.92,NA,NA,2.71583333333333
1954,"USD/barriles",2.99,NA,NA,NA,NA,NA,NA,2.99,NA,NA,2.82
1955,"USD/barriles",2.93,NA,NA,NA,NA,NA,NA,2.93,NA,NA,2.82
1956,"USD/barriles",2.94,NA,NA,NA,NA,NA,NA,2.94,NA,NA,2.82
1957,"USD/barriles",3.14,NA,NA,NA,NA,NA,NA,3.14,NA,NA,3.04333333333333
1958,"USD/barriles",3,NA,NA,NA,NA,NA,NA,3,NA,NA,3.05833333333333
1959,"USD/barriles",3,NA,NA,NA,NA,NA,NA,3,NA,NA,2.975
1960,"USD/barriles",2.91,NA,NA,NA,NA,NA,NA,2.91,NA,NA,2.97
1961,"USD/barriles",2.85,NA,NA,NA,NA,NA,NA,2.85,NA,NA,2.97
1962,"USD/barriles",2.31288519016786,NA,NA,NA,NA,NA,2.31288519016786,2.85,NA,NA,2.97
1963,"USD/barriles",2.18419661769457,NA,NA,NA,NA,NA,2.18419661769457,2.91,NA,NA,2.97
1964,"USD/barriles",1.97064227651594,NA,NA,NA,NA,NA,1.97064227651594,3,NA,NA,2.945
1965,"USD/barriles",3.01,NA,NA,NA,NA,NA,NA,3.01,NA,NA,2.92
1966,"USD/barriles",5.51186917079588,NA,NA,NA,NA,NA,5.51186917079588,3.1,NA,NA,2.93666666666667
1967,"USD/barriles",1.77725277663965,NA,NA,NA,NA,NA,1.77725277663965,3.12,NA,NA,3.02666666666667
1968,"USD/barriles",1.29989324592505,NA,NA,NA,NA,NA,1.29989324592505,3.18,NA,NA,3.07
1969,"USD/barriles",2.34669654320641,NA,NA,NA,NA,NA,2.34669654320641,3.32,NA,NA,3.295
1970,"USD/barriles",3.39,NA,NA,NA,NA,NA,NA,3.39,NA,NA,3.35083333333333
1971,"USD/barriles",3.6,NA,NA,NA,NA,NA,NA,3.6,NA,NA,3.56
1972,"USD/barriles",3.6,NA,NA,NA,NA,NA,NA,3.6,NA,NA,3.56
1973,"USD/barriles",4.75,NA,NA,NA,NA,NA,NA,4.75,NA,NA,3.8725
1974,"USD/barriles",15.2000997163332,NA,NA,NA,NA,NA,15.2000997163332,9.35,NA,NA,10.3725
1975,"USD/barriles",13.9260490033229,NA,NA,NA,NA,NA,13.9260490033229,12.21,NA,NA,11.16
1976,"USD/barriles",13.1,NA,NA,NA,NA,NA,NA,13.1,NA,NA,12.645
1977,"USD/barriles",14.4,NA,NA,NA,NA,NA,NA,14.4,NA,NA,14.2958333333333
1978,"USD/barriles",14.95,NA,NA,NA,NA,NA,NA,14.95,NA,NA,14.85
1979,"USD/barriles",32.4633783334302,NA,NA,NA,NA,NA,32.4633783334302,25.1,NA,NA,22.4041666666667
1980,"USD/barriles",37.42,NA,NA,NA,NA,NA,NA,37.42,NA,NA,37.375
1981,"USD/barriles",35.75,NA,NA,NA,NA,NA,NA,35.75,NA,NA,36.6666666666667
1982,"USD/barriles",31.83,NA,NA,NA,NA,NA,NA,31.83,NA,NA,33.6358333333333
1983,"USD/barriles",29.08,NA,NA,NA,NA,NA,NA,29.08,NA,NA,30.395
1984,"USD/barriles",28.75,NA,NA,NA,NA,NA,NA,28.75,NA,NA,29.2755
1985,"USD/barriles",26.9560911580689,NA,NA,NA,NA,NA,26.9560911580689,26.92,NA,NA,27.97275
1986,"USD/barriles",22.6970931924809,NA,NA,NA,NA,NA,22.6970931924809,14.44,NA,15.0476892430279,15.04
1987,"USD/barriles",19.7651448106409,NA,NA,NA,NA,NA,19.7651448106409,17.75,18.5258125,19.2005118110236,19.1619166666667
1988,"USD/barriles",13.7865882819184,NA,NA,NA,NA,NA,13.7865882819184,14.87,14.9054117647059,15.9654085603113,15.9595833333333
