"anio","unidad","precio_externo_gas","us_wellhead_gas_price","us_import_gas_price","us_pipeline_import_price","us_lng_import_price","us_export_gas_price","us_export_gas_pipeline_price","us_export_lng_price","eia_henry_hub_spot","bp_lng_japan_cif","bp_lng_jkm","bp_gas_german_import_price","bp_gas_nbp","bp_gas_netherlands_ttf","bp_gas_henry_hub","bp_gas_canada","bp_oil_mix_mean_oecd","fmi_lng_asia","fmi_natural_gas_eu","fmi_henry_hub","precio_expo_bolivia_arg_ypfb","precio_expo_bolivia_bzl_ypfb","precio_impo_gas_arg_bolivia_comtrade","precio_expo_gas_bolivia_arg_comtrade","precio_expo_gas_comtrade","precio_expo_gas_regalias","precio_expo_gas_indec","precio_expo_gas_mecon","precio_impo_gas_bolivia_idee","precio_exportacion_gas_ar"
1922,"USD/MMBTU",NA,0.107003891050584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,"USD/MMBTU",NA,0.0972762645914397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,"USD/MMBTU",NA,0.0875486381322957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,"USD/MMBTU",NA,0.0875486381322957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,"USD/MMBTU",NA,0.0972762645914397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,"USD/MMBTU",NA,0.0875486381322957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,"USD/MMBTU",NA,0.0875486381322957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,"USD/MMBTU",NA,0.0778210116731518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"USD/MMBTU",NA,0.0778210116731518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,"USD/MMBTU",NA,0.0680933852140078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,"USD/MMBTU",NA,0.0583657587548638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,"USD/MMBTU",NA,0.0583657587548638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,"USD/MMBTU",NA,0.0583657587548638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,"USD/MMBTU",NA,0.0583657587548638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,"USD/MMBTU",NA,0.0583657587548638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
