"anio","unidad","anuario","idee","mecon","mecon_ccnn","precio_gas_mdoint","regalias","ypf"
1963,"USD/MMBTU",NA,NA,NA,NA,0.000000100100324939001,NA,0.000000100100324939001
1964,"USD/MMBTU",NA,NA,NA,NA,0.000000154472533176125,NA,0.000000154472533176125
1965,"USD/MMBTU",NA,NA,NA,NA,0.00000015392508393236,NA,0.00000015392508393236
1966,"USD/MMBTU",NA,NA,NA,NA,0.00000014742621250303,NA,0.00000014742621250303
1967,"USD/MMBTU",NA,NA,NA,NA,0.000000108490388242159,NA,0.000000108490388242159
1968,"USD/MMBTU",NA,NA,NA,NA,0.000000111218545283243,NA,0.000000111218545283243
1969,"USD/MMBTU",NA,NA,NA,NA,0.000000123306344906042,NA,0.000000123306344906042
1970,"USD/MMBTU",NA,0.108956199607758,NA,NA,0.108956199607758,NA,0.000000097899741557249
1971,"USD/MMBTU",NA,0.116407814384503,NA,NA,0.116407814384503,NA,0.0000000867696726403476
1972,"USD/MMBTU",NA,0.0733253456301664,NA,NA,0.0733253456301664,NA,0.0000000645397195945246
1973,"USD/MMBTU",NA,0.0815301164155526,NA,NA,0.0815301164155526,NA,0.000000068286687765463
1974,"USD/MMBTU",NA,0.087400660326086,NA,NA,0.087400660326086,NA,0.0000000804258813731712
1975,"USD/MMBTU",NA,0.0371011447990529,NA,NA,0.0371011447990529,NA,0.0000000307370083779517
1976,"USD/MMBTU",NA,0.0526408855514583,NA,NA,0.0526408855514583,NA,0.0000000450637639905217
1977,"USD/MMBTU",NA,0.281565714828153,NA,NA,0.281565714828153,NA,0.000000252155204185249
1978,"USD/MMBTU",NA,0.663408900859929,NA,NA,0.663408900859929,NA,0.000000643723106562106
1979,"USD/MMBTU",NA,0.826117303000903,NA,NA,0.826117303000903,NA,0.000000808031763551154
1980,"USD/MMBTU",NA,1.05891324994343,NA,NA,1.05891324994343,NA,0.00000100891708498313
1981,"USD/MMBTU",NA,1.02442550410696,NA,NA,1.02442550410696,NA,0.000000967333249090391
1982,"USD/MMBTU",NA,0.471000855148181,NA,NA,0.471000855148181,NA,0.000000483688580944751
1983,"USD/MMBTU",NA,0.664943059903082,NA,NA,0.664943059903082,NA,0.000000777477380788121
1984,"USD/MMBTU",NA,0.74594207576856,NA,NA,0.74594207576856,NA,0.000000825388287247094
1985,"USD/MMBTU",NA,0.730751557354058,NA,NA,0.730751557354058,NA,0.000000777694136189714
1986,"USD/MMBTU",NA,0.754949585377873,NA,NA,0.754949585377873,NA,0.000000743145020892584
1987,"USD/MMBTU",NA,0.620302650160183,NA,NA,0.620302650160183,NA,0.000000597588906997065
1988,"USD/MMBTU",0.00000288634549342342,1.0203729904494,NA,NA,1.0203729904494,NA,NA
1989,"USD/MMBTU",0.00000295848081399051,NA,NA,NA,0.000000803220556792881,NA,0.000000803220556792881
1990,"USD/MMBTU",0.00000224620444971619,NA,NA,NA,0.000000885115477000571,NA,0.000000885115477000571
1991,"USD/MMBTU",NA,NA,NA,NA,0.00000101960401858942,NA,0.00000101960401858942
1992,"USD/MMBTU",NA,NA,NA,NA,0.0000102440838984748,NA,0.0000102440838984748
1993,"USD/MMBTU",NA,NA,NA,NA,1.01587248346528,1.01587248346528,NA
1994,"USD/MMBTU",NA,NA,NA,NA,1.10974928689884,1.10974928689884,NA
1995,"USD/MMBTU",NA,NA,NA,NA,1.1903242104613,1.1903242104613,NA
1996,"USD/MMBTU",NA,NA,NA,NA,1.2213861593777,1.2213861593777,NA
1997,"USD/MMBTU",NA,NA,NA,NA,1.2188698091062,1.2188698091062,NA
1998,"USD/MMBTU",NA,NA,NA,NA,1.21902910861727,1.21902910861727,NA
1999,"USD/MMBTU",NA,NA,1.2028482384797,NA,1.20285646836638,1.20285646836638,NA
2000,"USD/MMBTU",NA,NA,1.26890660441454,NA,1.26895656279509,1.26895656279509,NA
2001,"USD/MMBTU",NA,NA,1.34061210238432,1.34061210237234,1.34065155807365,1.34065155807365,NA
2002,"USD/MMBTU",NA,NA,0.492973190254296,0.492973190266872,0.492968970847392,0.492968970847392,NA
2003,"USD/MMBTU",NA,NA,0.542250994740353,0.542250994764388,0.542256040375523,0.542256040375523,NA
2004,"USD/MMBTU",NA,NA,0.772510976934258,0.772510976928494,0.77251866820073,0.77251866820073,NA
2005,"USD/MMBTU",NA,NA,1.043701952571,1.03889487579807,1.04370309718687,1.04370309718687,NA
2006,"USD/MMBTU",NA,NA,1.28891367033283,1.28891367031052,1.28892000973511,1.28892000973511,NA
2007,"USD/MMBTU",NA,NA,1.49929952107011,1.49929952111338,1.49930484023435,1.49930484023435,NA
2008,"USD/MMBTU",NA,NA,1.74388423262598,1.7438842326429,1.74388051404142,1.74388051404142,NA
2009,"USD/MMBTU",NA,NA,1.79983087434687,1.79983087445075,1.79982373308152,1.79982373308152,NA
2010,"USD/MMBTU",NA,NA,2.03601451349796,1.94796978951235,2.03600670953584,2.03600670953584,NA
2011,"USD/MMBTU",NA,NA,2.11450622815905,1.9742559911999,2.1145080172499,2.1145080172499,NA
2012,"USD/MMBTU",NA,NA,1.89234933025356,1.89188260724471,1.89235187380306,1.89235187380306,NA
2013,"USD/MMBTU",NA,NA,1.87113946320118,1.87034164437159,1.87113319607631,1.87113319607631,NA
2014,"USD/MMBTU",NA,NA,2.28747071051941,2.28747071051278,2.28747194373836,2.28747194373836,NA
2015,"USD/MMBTU",NA,NA,2.15010743373218,NA,2.15010809733667,2.15010809733667,NA
2016,"USD/MMBTU",NA,NA,3.37170009678422,NA,3.37170018416823,3.37170018416823,NA
2017,"USD/MMBTU",NA,NA,3.94889475934944,NA,3.9488958117588,3.9488958117588,NA
2018,"USD/MMBTU",NA,NA,3.26601821711339,NA,3.26601898259122,3.26601898259122,NA
2019,"USD/MMBTU",NA,NA,NA,NA,NA,NA,NA
2020,"USD/MMBTU",NA,NA,NA,NA,NA,NA,NA
