"anio","variable","unidad","prod_crudo","regalias","mecon","sesco","anuario_combustibles","crudo_sec_energia","eia"
1911,"Producción de crudo según distintas fuentes","barriles",12579.6,NA,NA,NA,12579.6,NA,NA
1912,"Producción de crudo según distintas fuentes","barriles",44028.6,NA,NA,NA,44028.6,NA,NA
1913,"Producción de crudo según distintas fuentes","barriles",132085.8,NA,NA,NA,132085.8,NA,NA
1914,"Producción de crudo según distintas fuentes","barriles",276751.2,NA,NA,NA,276751.2,NA,NA
1915,"Producción de crudo según distintas fuentes","barriles",515763.6,NA,NA,NA,515763.6,NA,NA
1916,"Producción de crudo según distintas fuentes","barriles",867992.4,NA,NA,NA,867992.4,NA,NA
1917,"Producción de crudo según distintas fuentes","barriles",1207641.6,NA,NA,NA,1207641.6,NA,NA
1918,"Producción de crudo según distintas fuentes","barriles",1352307,NA,NA,NA,1352307,NA,NA
1919,"Producción de crudo según distintas fuentes","barriles",1327147.8,NA,NA,NA,1327147.8,NA,NA
1920,"Producción de crudo según distintas fuentes","barriles",1647927.6,NA,NA,NA,1647927.6,NA,NA
1921,"Producción de crudo según distintas fuentes","barriles",2056764.6,NA,NA,NA,2056764.6,NA,NA
1922,"Producción de crudo según distintas fuentes","barriles",2861859,NA,NA,NA,2861859,NA,NA
1923,"Producción de crudo según distintas fuentes","barriles",3333594,NA,NA,NA,3333594,NA,NA
1924,"Producción de crudo según distintas fuentes","barriles",4660741.8,NA,NA,NA,4660741.8,NA,NA
1925,"Producción de crudo según distintas fuentes","barriles",5987889.6,NA,NA,NA,5987889.6,NA,NA
1926,"Producción de crudo según distintas fuentes","barriles",7849670.4,NA,NA,NA,7849670.4,NA,NA
1927,"Producción de crudo según distintas fuentes","barriles",8629605.6,NA,NA,NA,8629605.6,NA,NA
1928,"Producción de crudo según distintas fuentes","barriles",9069891.6,NA,NA,NA,9069891.6,NA,NA
1929,"Producción de crudo según distintas fuentes","barriles",9390671.4,NA,NA,NA,9390671.4,NA,NA
1930,"Producción de crudo según distintas fuentes","barriles",9000703.8,NA,NA,NA,9000703.8,NA,NA
1931,"Producción de crudo según distintas fuentes","barriles",11705317.8,NA,NA,NA,11705317.8,NA,NA
1932,"Producción de crudo según distintas fuentes","barriles",13139392.2,NA,NA,NA,13139392.2,NA,NA
1933,"Producción de crudo según distintas fuentes","barriles",13692894.6,NA,NA,NA,13692894.6,NA,NA
1934,"Producción de crudo según distintas fuentes","barriles",14026254,NA,NA,NA,14026254,NA,NA
1935,"Producción de crudo según distintas fuentes","barriles",14296715.4,NA,NA,NA,14296715.4,NA,NA
1936,"Producción de crudo según distintas fuentes","barriles",15460328.4,NA,NA,NA,15460328.4,NA,NA
1937,"Producción de crudo según distintas fuentes","barriles",16353480,NA,NA,NA,16353480,NA,NA
1938,"Producción de crudo según distintas fuentes","barriles",17076807,NA,NA,NA,17076807,NA,NA
1939,"Producción de crudo según distintas fuentes","barriles",18611518.2,NA,NA,NA,18611518.2,NA,NA
1940,"Producción de crudo según distintas fuentes","barriles",20605384.8,NA,NA,NA,20605384.8,NA,NA
1941,"Producción de crudo según distintas fuentes","barriles",22014300,NA,NA,NA,22014300,NA,NA
1942,"Producción de crudo según distintas fuentes","barriles",23706256.2,NA,NA,NA,23706256.2,NA,NA
1943,"Producción de crudo según distintas fuentes","barriles",24832130.4,NA,NA,NA,24832130.4,NA,NA
1944,"Producción de crudo según distintas fuentes","barriles",24228309.6,NA,NA,NA,24228309.6,NA,NA
1945,"Producción de crudo según distintas fuentes","barriles",22882292.4,NA,NA,NA,22882292.4,NA,NA
1946,"Producción de crudo según distintas fuentes","barriles",20800368.6,NA,NA,NA,20800368.6,NA,NA
1947,"Producción de crudo según distintas fuentes","barriles",21844475.4,NA,NA,NA,21844475.4,NA,NA
1948,"Producción de crudo según distintas fuentes","barriles",23221941.6,NA,NA,NA,23221941.6,NA,NA
1949,"Producción de crudo según distintas fuentes","barriles",22586671.8,NA,NA,NA,22586671.8,NA,NA
1950,"Producción de crudo según distintas fuentes","barriles",23460954,NA,NA,NA,23460954,23460954,NA
1951,"Producción de crudo según distintas fuentes","barriles",24464806.08,NA,NA,NA,24467322,24464806.08,NA
1952,"Producción de crudo según distintas fuentes","barriles",24819550.8,NA,NA,NA,24819550.8,24819550.8,NA
1953,"Producción de crudo según distintas fuentes","barriles",28501599.72,NA,NA,NA,28499083.8,28501599.72,NA
1954,"Producción de crudo según distintas fuentes","barriles",29572123.68,NA,NA,NA,29574639.6,29572123.68,NA
1955,"Producción de crudo según distintas fuentes","barriles",30504272.04,NA,NA,NA,30505530,30504272.04,NA
1956,"Producción de crudo según distintas fuentes","barriles",31011858.9,NA,NA,NA,31015003.8,31011858.9,NA
1957,"Producción de crudo según distintas fuentes","barriles",33951711.42,NA,NA,NA,33952340.4,33951711.42,NA
1958,"Producción de crudo según distintas fuentes","barriles",35656247.22,NA,NA,NA,35656876.2,35656247.22,NA
1959,"Producción de crudo según distintas fuentes","barriles",44578328.52,NA,NA,NA,44575812.6,44578328.52,NA
1960,"Producción de crudo según distintas fuentes","barriles",63859811.0568,NA,NA,NA,63860339.4,63859811.0568,NA
1961,"Producción de crudo según distintas fuentes","barriles",84461610.6708,NA,NA,NA,84459434.4,84461610.6708,NA
1962,"Producción de crudo según distintas fuentes","barriles",98205911.8062,NA,NA,NA,98208937.2,98205911.8062,NA
1963,"Producción de crudo según distintas fuentes","barriles",97140620.9598,NA,NA,NA,97139671.2,97140620.9598,NA
1964,"Producción de crudo según distintas fuentes","barriles",100275727.7412,NA,NA,NA,100278281.4,100275727.7412,NA
1965,"Producción de crudo según distintas fuentes","barriles",98276326.1172,NA,NA,NA,99536085,98276326.1172,NA
