"anio","unidad","variable","prod_gas","regalias","mecon","sesco","anuario_combustibles","sec_energia_prod","eia"
1913,"MMBTU","Producción de gas según distintas fuentes",35300,NA,NA,NA,35300,NA,NA
1914,"MMBTU","Producción de gas según distintas fuentes",105900,NA,NA,NA,105900,NA,NA
1915,"MMBTU","Producción de gas según distintas fuentes",247100,NA,NA,NA,247100,NA,NA
1916,"MMBTU","Producción de gas según distintas fuentes",317700,NA,NA,NA,317700,NA,NA
1917,"MMBTU","Producción de gas según distintas fuentes",529500,NA,NA,NA,529500,NA,NA
1918,"MMBTU","Producción de gas según distintas fuentes",635400,NA,NA,NA,635400,NA,NA
1919,"MMBTU","Producción de gas según distintas fuentes",635400,NA,NA,NA,635400,NA,NA
1920,"MMBTU","Producción de gas según distintas fuentes",776600,NA,NA,NA,776600,NA,NA
1921,"MMBTU","Producción de gas según distintas fuentes",988400,NA,NA,NA,988400,NA,NA
1922,"MMBTU","Producción de gas según distintas fuentes",1306100,NA,NA,NA,1306100,NA,NA
1923,"MMBTU","Producción de gas según distintas fuentes",1588500,NA,NA,NA,1588500,NA,NA
1924,"MMBTU","Producción de gas según distintas fuentes",2647500,NA,NA,NA,2647500,NA,NA
1925,"MMBTU","Producción de gas según distintas fuentes",3388800,NA,NA,NA,3388800,NA,NA
1926,"MMBTU","Producción de gas según distintas fuentes",6036300,NA,NA,NA,6036300,NA,NA
1927,"MMBTU","Producción de gas según distintas fuentes",5365600,NA,NA,NA,5365600,NA,NA
1928,"MMBTU","Producción de gas según distintas fuentes",6106900,NA,NA,NA,6106900,NA,NA
1929,"MMBTU","Producción de gas según distintas fuentes",9495700,NA,NA,NA,9495700,NA,NA
1930,"MMBTU","Producción de gas según distintas fuentes",9531000,NA,NA,NA,9531000,NA,NA
1931,"MMBTU","Producción de gas según distintas fuentes",12143200,NA,NA,NA,12143200,NA,NA
1932,"MMBTU","Producción de gas según distintas fuentes",16732200,NA,NA,NA,16732200,NA,NA
1933,"MMBTU","Producción de gas según distintas fuentes",23192100,NA,NA,NA,23192100,NA,NA
1934,"MMBTU","Producción de gas según distintas fuentes",25804300,NA,NA,NA,25804300,NA,NA
1935,"MMBTU","Producción de gas según distintas fuentes",21780100,NA,NA,NA,21780100,NA,NA
1936,"MMBTU","Producción de gas según distintas fuentes",18814900,NA,NA,NA,18814900,NA,NA
1937,"MMBTU","Producción de gas según distintas fuentes",17826500,NA,NA,NA,17826500,NA,NA
1938,"MMBTU","Producción de gas según distintas fuentes",17332300,NA,NA,NA,17332300,NA,NA
1939,"MMBTU","Producción de gas según distintas fuentes",18285400,NA,NA,NA,18285400,NA,NA
1940,"MMBTU","Producción de gas según distintas fuentes",18920800,NA,NA,NA,18920800,NA,NA
1941,"MMBTU","Producción de gas según distintas fuentes",20932900,NA,NA,NA,20932900,NA,NA
1942,"MMBTU","Producción de gas según distintas fuentes",23827500,NA,NA,NA,23827500,NA,NA
1943,"MMBTU","Producción de gas según distintas fuentes",23862800,NA,NA,NA,23862800,NA,NA
1944,"MMBTU","Producción de gas según distintas fuentes",23368600,NA,NA,NA,23368600,NA,NA
1945,"MMBTU","Producción de gas según distintas fuentes",21462400,NA,NA,NA,21462400,NA,NA
1946,"MMBTU","Producción de gas según distintas fuentes",19838600,NA,NA,NA,19838600,NA,NA
1947,"MMBTU","Producción de gas según distintas fuentes",20544600,NA,NA,NA,20544600,NA,NA
1948,"MMBTU","Producción de gas según distintas fuentes",21356500,NA,NA,NA,21356500,NA,NA
1949,"MMBTU","Producción de gas según distintas fuentes",23756900,NA,NA,NA,23756900,NA,NA
1950,"MMBTU","Producción de gas según distintas fuentes",26616200,NA,NA,NA,26616200,26637556.5,NA
1951,"MMBTU","Producción de gas según distintas fuentes",29263700,NA,NA,NA,29263700,29300553.2,NA
1952,"MMBTU","Producción de gas según distintas fuentes",31664100,NA,NA,NA,31664100,31704024.3,NA
1953,"MMBTU","Producción de gas según distintas fuentes",32864300,NA,NA,NA,32864300,32902882.9,NA
1954,"MMBTU","Producción de gas según distintas fuentes",34629300,NA,NA,NA,34629300,34784337.6,NA
1955,"MMBTU","Producción de gas según distintas fuentes",37347400,NA,NA,NA,37347400,37580733,NA
1956,"MMBTU","Producción de gas según distintas fuentes",40489100,NA,NA,NA,40489100,40524894.2,NA
1957,"MMBTU","Producción de gas según distintas fuentes",49914200,NA,NA,NA,49914200,49929273.1,NA
1958,"MMBTU","Producción de gas según distintas fuentes",58350900,NA,NA,NA,58350900,58382564.1,NA
1959,"MMBTU","Producción de gas según distintas fuentes",75965600,NA,NA,NA,75965600,75981379.1,NA
1960,"MMBTU","Producción de gas según distintas fuentes",126162200,NA,NA,NA,126162200,126187227.7,NA
1961,"MMBTU","Producción de gas según distintas fuentes",173252400,NA,NA,NA,173252400,173272732.8,NA
1962,"MMBTU","Producción de gas según distintas fuentes",217906900,NA,NA,NA,217906900,217907464.8,NA
1963,"MMBTU","Producción de gas según distintas fuentes",209893800,NA,NA,NA,209893800,209914274,NA
1964,"MMBTU","Producción de gas según distintas fuentes",230685500,NA,NA,NA,230685500,232476904.4,NA
1965,"MMBTU","Producción de gas según distintas fuentes",220130800,NA,NA,NA,220130800,220145943.7,NA
1966,"MMBTU","Producción de gas según distintas fuentes",210458600,NA,NA,NA,210458600,210489946.4,NA
1967,"MMBTU","Producción de gas según distintas fuentes",228320400,NA,NA,NA,228320400,228324953.7,NA
1968,"MMBTU","Producción de gas según distintas fuentes",249006200,NA,NA,NA,249006200,249383768.8,NA
1969,"MMBTU","Producción de gas según distintas fuentes",247347100,NA,NA,NA,247347100,247362632,NA
1970,"MMBTU","Producción de gas según distintas fuentes",270539200,NA,NA,NA,270539200,270571605.4,NA
1971,"MMBTU","Producción de gas según distintas fuentes",286530100,NA,NA,NA,286530100,286532218,NA
1972,"MMBTU","Producción de gas según distintas fuentes",293554800,NA,NA,NA,293554800,293583781.3,NA
1973,"MMBTU","Producción de gas según distintas fuentes",314664200,NA,NA,NA,314664200,314677649.3,NA
1974,"MMBTU","Producción de gas según distintas fuentes",332773100,NA,NA,NA,332773100,332801869.5,NA
1975,"MMBTU","Producción de gas según distintas fuentes",362707500,NA,NA,NA,362707500,362711241.8,NA
1976,"MMBTU","Producción de gas según distintas fuentes",389429600,NA,NA,NA,389429600,389421551.6,NA
1977,"MMBTU","Producción de gas según distintas fuentes",411703900,NA,NA,NA,411703900,411694933.8,NA
