"","fecha","empresa","sector","moneda","gcia_ant","KTA","tg_ant","tg_desp","activo","activo_no_corr","costos","ctas_cobrar_corr","ctas_cobrar_nocorr","disponibilidades","equity","gcia_desp","gcia_op_discont","gcia_operativa","impuesto_gcia","inventarios","long_term_debt","obras_en_curso","ON_nopesos_corr","ON_nopesos_nocorr","ON_pesos_corr","ON_pesos_nocorr","pasivo","pasivo total","ppye","prestamos_corr","prestamos_financieros_pesos_corr","prestamos_financieros_pesos_nocorr","prestamos_nocorr","regalias_otros","solvencia_ratio","sueldos_y_cargas","terrenos","ventas","rotacion","ppye_neta"
"1",1997-12-31,"chevron","integrada","MM_usd",5502,24049,0.228782901575949,0.135390244916629,35473,0,36461,0,0,0,17472,3256,0,0,-2246,1378,6946,0,0,0,0,0,18001,0,22671,0,0,0,0,0,0.970612743736459,0,0,41963,26.4593613933237,22671
"2",1997-12-31,"PAE","produccion","MM_pesos",22,982,0.0224032586558045,0.0132382892057026,0,477,0,0,0,0,0,12,0,0,-9,0,0,98,0,0,0,0,0,0,1088,0,0,0,0,0,0,0,8,0,NA,982
"3",1997-12-31,"petrobras_ar","integrada","MM_pesos",0,1387,0,0,4144,0,0,0,0,0,0,361,0,318,0,26,0,0,0,0,0,0,0,0,1361,0,0,0,0,0,0,0,0,582,0,1361
"4",1998-12-31,"camuzzi_pamp","distribución","MM_pesos",46.32973,475.344899,0.0974655036742069,0.0509252630057149,596.73632,517.261122,282.239494,0,0,1.795584,0,24.207064,0,0,-22.122666,0,0,7.583211,0,0,0,0,0,0,487.639816,0,0,0,0,0,0,24.947539,4.711706,367.730669,Inf,475.344899
"5",1998-12-31,"chevron","integrada","MM_usd",1834,25184,0.0728240152477764,0.0531686785260483,36540,0,28723,0,0,0,17034,1339,0,0,-495,1455,7166,0,0,0,0,0,19506,0,23729,0,0,0,0,0,0.8732697631498,0,0,30557,19.7408934707904,23729
"6",1998-12-31,"metrogas","distribución","MM_pesos",37.153,861.093,0.0431463268195189,0.0431463268195189,0,889.966,458.173,0,0,0,0,23.232,0,0,0,0,0,0,0,0,0,0,0,0,861.093,0,0,0,0,0,0,0,0,602.306,Inf,861.093
"7",1998-12-31,"PAE","produccion","MM_pesos",-6,1000,-0.006,-0.006,0,1215,0,0,0,0,0,-6,0,0,0,0,0,176,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,8,0,NA,1000
"8",1998-12-31,"petrobras_ar","integrada","MM_pesos",0,1605,0,0,4607,0,0,0,0,0,0,205,0,340,0,26,0,0,0,0,0,0,0,0,1579,0,0,0,0,0,0,0,0,556,0,1579
"9",1998-12-31,"TGN","transporte","MM_pesos",83.113,1029.173,0.0807570738835939,0.0807570738835939,0,1058.704,64.694,0,0,0,0,58.813,0,0,0,0,0,10.284,0,0,0,0,0,0,1040.557,0,0,0,0,0,0,23.127,1.1,202.711,Inf,1029.173
"10",1998-12-31,"TGS","transporte","MM_pesos",230.333,1705.854,0.135025037312689,0.135025037312689,0,1883.169,93.581,0,0,0,0,156.482,0,0,0,0,0,95.434,0,0,0,0,0,0,1848.022,0,0,0,0,0,0,0,46.734,395.061,Inf,1705.854
