empresa,sector,sheet,anio,variable,valor_usd,exchange_rate,valor_ars_corriente
Capex,produccion,balance_sheet,1996,Cash And Equivalents,0.000153979225,0.000717103,0.21472400059684593
Capex,produccion,balance_sheet,1997,Cash And Equivalents,0.000156215152,0.000717103,0.21784200038209298
Capex,produccion,balance_sheet,1998,Cash And Equivalents,0.020362909854,0.000717103,28.396074000527125
Capex,produccion,balance_sheet,1999,Cash And Equivalents,0.000856714349,0.000717103,1.194688000189652
Capex,produccion,balance_sheet,2000,Cash And Equivalents,0.000597878889,0.000717103,0.8337419994059431
Capex,produccion,balance_sheet,2001,Cash And Equivalents,0.000483356106,0.000717103,0.67403999983266
Capex,produccion,balance_sheet,2002,Cash And Equivalents,0.015553142987,0.000717103,21.68885499990936
Capex,produccion,balance_sheet,2003,Cash And Equivalents,0.001356032451,0.000717103,1.8909870004727356
Capex,produccion,balance_sheet,2004,Cash And Equivalents,0.008199879904,0.000717103,11.434730999591412
Capex,produccion,balance_sheet,2005,Cash And Equivalents,0.001635511154,0.000717103,2.28071999977688
Capex,produccion,balance_sheet,2006,Cash And Equivalents,0.028724323663,0.000717103,40.05606400056896
Capex,produccion,balance_sheet,2007,Cash And Equivalents,0.031648108922,0.000717103,44.13328199993585
Capex,produccion,balance_sheet,2008,Cash And Equivalents,0.032283779857,0.000717103,45.019725000453214
Capex,produccion,balance_sheet,2009,Cash And Equivalents,0.009274182665,0.000717103,12.93284599980756
Capex,produccion,balance_sheet,2010,Cash And Equivalents,0.047157478508,0.000717103,65.76109500029982
Capex,produccion,balance_sheet,2011,Cash And Equivalents,0.023781291809,0.000717103,33.163007000389065
Capex,produccion,balance_sheet,2012,Cash And Equivalents,0.007646453513,0.000717103,10.662978000370938
Capex,produccion,balance_sheet,2013,Cash And Equivalents,0.025879536621,0.000717103,36.0890090001018
Capex,produccion,balance_sheet,2014,Cash And Equivalents,0.037134079536,0.000717103,51.78346699985916
Capex,produccion,balance_sheet,2015,Cash And Equivalents,0.281608872303,0.000717103,392.70352000061365
Capex,produccion,balance_sheet,2016,Cash And Equivalents,0.175278337491,0.000717103,244.42560900038072
Capex,produccion,balance_sheet,2017,Cash And Equivalents,0.693824788933,0.000717103,967.5385390006736
Capex,produccion,balance_sheet,2018,Cash And Equivalents,4.479892315527,0.000717103,6247.209
Capex,produccion,balance_sheet,2019,Cash And Equivalents,9.120360486123,0.000717103,12718.341
Capex,produccion,balance_sheet,2020,Cash And Equivalents,3.796561281312,0.000717103,5294.304
Capex,produccion,balance_sheet,2021,Cash And Equivalents,3.039782406528,0.000717103,4238.976
Capex,produccion,balance_sheet,2022,Cash And Equivalents,2.769113313384,0.000717103,3861.5280000000002
Capex,produccion,balance_sheet,2023,Cash And Equivalents,6.288159319211,0.000717103,8768.837000000001
Capex,produccion,balance_sheet,2024,Cash And Equivalents,15.786557145153,0.000717103,22014.351
Capex,produccion,balance_sheet,2025,Cash And Equivalents,6.60001522316,0.000717103,9203.72
Capex,produccion,balance_sheet,2026,Cash And Equivalents,28.898368146207,0.000717103,40298.76900000001
Capex,produccion,balance_sheet,1996,Short Term Investments,0.008927464082,0.000717103,12.449347000361175
Capex,produccion,balance_sheet,1997,Short Term Investments,0.010696078158,0.000717103,14.915679000087854
Capex,produccion,balance_sheet,1998,Short Term Investments,0.007388999911,0.000717103,10.303959000310973
Capex,produccion,balance_sheet,1999,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2000,Short Term Investments,0.00402387361,0.000717103,5.611291000037652
Capex,produccion,balance_sheet,2001,Short Term Investments,0.004556119647,0.000717103,6.353507999548183
Capex,produccion,balance_sheet,2002,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2003,Short Term Investments,0.000172866283,0.000717103,0.24106199946172308
Capex,produccion,balance_sheet,2004,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2005,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2006,Short Term Investments,0.003219010828,0.000717103,4.488910000376515
Capex,produccion,balance_sheet,2007,Short Term Investments,0.086676446136,0.000717103,120.87028800046855
Capex,produccion,balance_sheet,2008,Short Term Investments,0.113967218513,0.000717103,158.92726499958863
Capex,produccion,balance_sheet,2009,Short Term Investments,0.054344545082,0.000717103,75.78345799975736
Capex,produccion,balance_sheet,2010,Short Term Investments,0.023729476097,0.000717103,33.09074999965138
Capex,produccion,balance_sheet,2011,Short Term Investments,0.098679612313,0.000717103,137.60870099971692
Capex,produccion,balance_sheet,2012,Short Term Investments,0.007140794069,0.000717103,9.957835999849394
Capex,produccion,balance_sheet,2013,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2014,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2015,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2016,Short Term Investments,0.407888182814,0.000717103,568.7999949993238
Capex,produccion,balance_sheet,2017,Short Term Investments,0.346288087821,0.000717103,482.8986739994116
Capex,produccion,balance_sheet,2018,Short Term Investments,0.706584533196,0.000717103,985.3320000000001
Capex,produccion,balance_sheet,2019,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2020,Short Term Investments,,0.000717103,
Capex,produccion,balance_sheet,2021,Short Term Investments,3.84509194394,0.000717103,5361.9800000000005
Capex,produccion,balance_sheet,2022,Short Term Investments,9.227537266297,0.000717103,12867.799
Capex,produccion,balance_sheet,2023,Short Term Investments,1.555821649079,0.000717103,2169.5930000000003
Capex,produccion,balance_sheet,2024,Short Term Investments,1.427625145769,0.000717103,1990.8229999999999
Capex,produccion,balance_sheet,2025,Short Term Investments,8.519925124502,0.000717103,11881.034000000001
Capex,produccion,balance_sheet,2026,Short Term Investments,33.52711096565,0.000717103,46753.55
Capex,produccion,balance_sheet,1996,Accounts Receivable,0.005492126943,0.000717103,7.658769999567705
Capex,produccion,balance_sheet,1997,Accounts Receivable,0.007512285693,0.000717103,10.475881000358386
Capex,produccion,balance_sheet,1998,Accounts Receivable,0.006159987915,0.000717103,8.590102000688884
Capex,produccion,balance_sheet,1999,Accounts Receivable,0.008619713592,0.000717103,12.02018899934877
Capex,produccion,balance_sheet,2000,Accounts Receivable,0.005465089292,0.000717103,7.621066000281689
Capex,produccion,balance_sheet,2001,Accounts Receivable,0.002650792035,0.000717103,3.696528999320879
Capex,produccion,balance_sheet,2002,Accounts Receivable,0.027468210193,0.000717103,38.304414000499236
Capex,produccion,balance_sheet,2003,Accounts Receivable,0.026024258046,0.000717103,36.290823000322135
Capex,produccion,balance_sheet,2004,Accounts Receivable,0.024121610965,0.000717103,33.637582000075305
Capex,produccion,balance_sheet,2005,Accounts Receivable,0.026048613015,0.000717103,36.32478600005857
