"","anio","unidad","fuente_ppye","valor"
"1",2001,"Millones de pesos 2018","AFIP",350212.504824702
"2",2002,"Millones de pesos 2018","AFIP",650538.789787634
"3",2003,"Millones de pesos 2018","AFIP",586759.422184547
"4",2004,"Millones de pesos 2018","AFIP",655280.674195516
"5",2005,"Millones de pesos 2018","AFIP",578514.470192001
"6",2006,"Millones de pesos 2018","AFIP",683331.964200574
"7",2007,"Millones de pesos 2018","AFIP",682801.060290762
"8",2008,"Millones de pesos 2018","AFIP",655653.648976613
"9",2009,"Millones de pesos 2018","AFIP",595227.525719508
"10",2010,"Millones de pesos 2018","AFIP",499331.251595127
"11",2011,"Millones de pesos 2018","AFIP",446774.053818867
"12",2012,"Millones de pesos 2018","AFIP",464698.194048965
"13",2013,"Millones de pesos 2018","AFIP",492854.136621598
"14",2014,"Millones de pesos 2018","AFIP",428163.521888698
"15",1997,"Millones de pesos 2018","Bolsar",27670.4965417154
"16",1998,"Millones de pesos 2018","Bolsar",225106.510276677
"17",1999,"Millones de pesos 2018","Bolsar",223668.885083639
"18",2000,"Millones de pesos 2018","Bolsar",437628.527357039
"19",2001,"Millones de pesos 2018","Bolsar",494278.411960341
"20",2002,"Millones de pesos 2018","Bolsar",629366.605168555
"21",2003,"Millones de pesos 2018","Bolsar",524125.886221326
"22",2004,"Millones de pesos 2018","Bolsar",528871.13758398
"23",2005,"Millones de pesos 2018","Bolsar",562841.522863252
"24",2006,"Millones de pesos 2018","Bolsar",562955.975755805
"25",2007,"Millones de pesos 2018","Bolsar",519933.548417454
"26",2008,"Millones de pesos 2018","Bolsar",475373.931799468
"27",2009,"Millones de pesos 2018","Bolsar",444656.649770288
"28",2010,"Millones de pesos 2018","Bolsar",459505.022597353
"29",2011,"Millones de pesos 2018","Bolsar",477748.515119553
"30",2012,"Millones de pesos 2018","Bolsar",560380.289478467
"31",2013,"Millones de pesos 2018","Bolsar",731548.39040419
"32",2014,"Millones de pesos 2018","Bolsar",730398.85411621
"33",2015,"Millones de pesos 2018","Bolsar",861077.607693101
"34",2016,"Millones de pesos 2018","Bolsar",1017437.29268612
"35",2017,"Millones de pesos 2018","Bolsar",320019.163493719
"36",2018,"Millones de pesos 2018","Bolsar",542750.893
