anio;tg_indu_jic;tg_indu_em
1935;0.096541419;
1936;0.112797784;
1937;0.107070365;
1938;0.1167405;
1939;0.132037493;
1940;0.106473029;
1941;0.121237135;
1942;0.158085038;
1943;0.17561888;
1944;0.215118869;
1945;0.151635542;
1946;0.184004767;
1947;0.139703589;
1948;0.067238238;
1949;0.037982864;
1950;0.02911571;
1951;0.070549698;
1952;0.04539056;
1953;0.058680063;
1954;0.066408089;
1955;0.114378352;
1956;0.130543546;
1957;0.086037903;
1958;0.137437504;
1959;0.137464278;
1960;0.110057956;
1961;0.11541984;
1962;0.097407844;
1963;0.094971878;
1964;0.119586498;
1965;0.125022201;
1966;0.109325373;
1967;0.083422219;
1968;0.098040302;
1969;0.118629445;
1970;0.122919302;
1971;0.13302063;
1972;0.151713417;
1973;0.113036985;
1974;0.084398928;
1975;0.103804539;
1976;0.167335506;
1977;0.165968163;
1978;0.141238015;
1979;0.141506206;
1980;0.115831393;
1981;0.131205366;
1982;0.151837846;
1983;0.138829741;
1984;0.092216777;
1985;0.081631981;
1986;0.086324018;
1987;0.093596993;
1988;0.096934347;
1989;0.114394026;
1990;0.074185468;
1991;0.094521855;
1992;0.09899107;
1993;0.096870928;0.096836694
1994;0.107368636;0.105156514
1995;0.108574639;0.106694203
1996;0.12493734;0.122209309
1997;0.145866779;0.142412252
1998;0.139869521;0.135698927
1999;0.11226559;0.107747531
2000;0.12195937;0.117066142
2001;0.103490887;0.114123054
2002;0.179913873;0.188701126
2003;0.182710735;0.195745529
2004;0.17223711;0.185661556
2005;;0.181745386
2006;;0.179536264
2007;;0.177969154
2008;;0.177329043
2009;;0.168781923
2010;;0.168907292
2011;;0.165799322
2012;;0.156365551
2013;;0.153400732
2014;;0.158603639
2015;;0.152714321
2016;;0.157300074
2017;;0.157291505
2018;;0.157437741
2019;;0.173618211
2020;;0.157970348
