refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1980,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,533515392.0,2219365888.0,2581122560.0,S2,crude_petroleum_sitc
1981,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,301560512.0,1169439744.0,1360058368.0,S2,crude_petroleum_sitc
1982,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,162414800.0,666557312.0,775206208.0,S2,crude_petroleum_sitc
1983,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,69.0,50.0,58.0,S2,crude_petroleum_sitc
1985,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,3613.0,566.0,658.0,S2,crude_petroleum_sitc
1986,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,6594.0,1374.0,1598.0,S2,crude_petroleum_sitc
1987,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,959.0,109.0,127.0,S2,crude_petroleum_sitc
1988,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,3153.0,129.0,150.0,S2,crude_petroleum_sitc
1989,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,2211.0,1000.0,1163.0,S2,crude_petroleum_sitc
1990,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,8257962.0,50848464.0,59136760.0,S2,crude_petroleum_sitc
1991,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,37799370.0,212999999.0,247718999.0,S2,crude_petroleum_sitc
1992,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,1321683.0,9603139.0,11168451.0,S2,crude_petroleum_sitc
1993,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,18823144.0,147814144.0,147814144.0,S2,crude_petroleum_sitc
1994,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,65439916.0,493401696.0,493401696.0,S2,crude_petroleum_sitc
1995,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,98576560.0,699756288.0,699756288.0,S2,crude_petroleum_sitc
1996,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,126965936.0,780148992.0,780148992.0,S2,crude_petroleum_sitc
1997,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,192048560.0,1227138816.0,1227138816.0,S2,crude_petroleum_sitc
1998,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,135415520.0,1245236736.0,1245236736.0,S2,crude_petroleum_sitc
1999,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,136921812.0,1025326781.0,1025326781.0,S2,crude_petroleum_sitc
2000,M,Import,32,Argentina,0,World,333,Crude petroleum and oils obtained from bituminous minerals,322950352.0,1498715484.0,1498715484.0,S2,crude_petroleum_sitc
