refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1980,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",335804960.0,1858251776.0,1858251776.0,S2,natural_gas_sitc
1981,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",406542272.0,1940939392.0,1940939392.0,S2,natural_gas_sitc
1982,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",378568160.0,1751226880.0,1751226880.0,S2,natural_gas_sitc
1983,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",381536512.0,1693105792.0,1693105792.0,S2,natural_gas_sitc
1984,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",383835264.0,1679657856.0,1679657856.0,S2,natural_gas_sitc
1985,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",384696544.0,1704463744.0,1704463744.0,S2,natural_gas_sitc
1986,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",342334240.0,1692243328.0,1692243328.0,S2,natural_gas_sitc
1987,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",314399680.0,1772637184.0,1772637184.0,S2,natural_gas_sitc
1988,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",224123920.0,1786369152.0,1786369152.0,S2,natural_gas_sitc
1989,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",216963824.0,1722200832.0,1722200832.0,S2,natural_gas_sitc
1990,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",225088832.0,1667773952.0,1667773952.0,S2,natural_gas_sitc
1991,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",228297564.0,1625445582.0,1625445582.0,S2,natural_gas_sitc
1992,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",136364480.0,1374103424.0,1374103424.0,S2,natural_gas_sitc
1993,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",79555632.0,627819328.0,627819328.0,S2,natural_gas_sitc
1994,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",92324912.0,48102016.0,48102016.0,S2,natural_gas_sitc
1995,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",97811168.0,24857382.0,24857382.0,S2,natural_gas_sitc
1996,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",97046936.0,208441312.0,208441312.0,S2,natural_gas_sitc
1997,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",73420208.0,214218160.0,214218160.0,S2,natural_gas_sitc
1998,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",71571352.0,1086436992.0,1086436992.0,S2,natural_gas_sitc
1999,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",14973055.0,312501606.0,312501606.0,S2,natural_gas_sitc
2000,M,Import,32,Argentina,0,World,341,"Gas, natural and manufactured",16830471.0,59771310.0,,S2,natural_gas_sitc
