refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1993,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,527361344.0,4523322368.0,5260624384.0,H0,crude_petroleum_hs
1994,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1125573120.0,10526416896.0,12242223104.0,H0,crude_petroleum_hs
1995,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1591854976.0,14010169344.0,16293826560.0,H0,crude_petroleum_hs
1996,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2319963648.0,16472775680.0,19157837824.0,H1,crude_petroleum_hs
1997,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2191356416.0,16535476224.0,19230758912.0,H1,crude_petroleum_hs
1998,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1462650880.0,17094863872.0,19881326592.0,H1,crude_petroleum_hs
1999,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1599392752.0,14237253126.0,16557925386.0,H1,crude_petroleum_hs
2000,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2808667093.0,14359427673.0,14359427673.0,H1,crude_petroleum_hs
2001,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2394117965.0,15066209404.0,15066209404.0,H1,crude_petroleum_hs
2002,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2223884389.0,14196155759.0,14196155759.0,H2,crude_petroleum_hs
2003,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2298635334.0,12123208013.0,12123208013.0,H2,crude_petroleum_hs
2004,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2255856362.0,9430685825.0,9430685825.0,H2,crude_petroleum_hs
2005,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2508982815.0,7696232406.0,7696232406.0,H2,crude_petroleum_hs
2006,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2406092876.0,5797625871.0,5797625871.0,H2,crude_petroleum_hs
2007,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1296002689.0,3042702849.0,3042702849.0,H3,crude_petroleum_hs
2008,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1618156132.0,3013572481.0,3013572481.0,H3,crude_petroleum_hs
2009,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2466356802.0,6432234310.0,6432234310.0,H3,crude_petroleum_hs
2010,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2583534304.0,4906145100.0,4906145100.0,H3,crude_petroleum_hs
2011,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2182223595.0,3023702118.0,3023702118.0,H3,crude_petroleum_hs
2012,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2611223721.0,3510137342.0,3510137342.0,H4,crude_petroleum_hs
2013,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1736775154.0,2432547814.0,2432547814.0,H4,crude_petroleum_hs
2014,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1619632669.31,2425479290.0,2425479290.0,H4,crude_petroleum_hs
2014,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1619632669.31,2425479290.0,2425479290.0,H4,crude_petroleum_hs
2015,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,670929750.82,2122011036.0,2122011036.0,H4,crude_petroleum_hs
2016,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,748543642.78,2696693700.0,2696693700.0,H4,crude_petroleum_hs
2017,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,575226736.36,1529295400.0,1529295400.0,H4,crude_petroleum_hs
2018,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1474856038.88,3103752000.0,3103752000.0,H5,crude_petroleum_hs
2018,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1474856038.88,3103752000.0,3103752000.0,H5,crude_petroleum_hs
2019,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1119911767.13,2615804000.0,2615804000.0,H5,crude_petroleum_hs
2020,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,570359836.68,2377238700.0,2377238700.0,H5,crude_petroleum_hs
2021,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1161542098.58,2277713900.0,2277713900.0,H5,crude_petroleum_hs
2022,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,3072569252.61,4422277000.0,4422277000.0,H5,crude_petroleum_hs
2023,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,3733440372.73,6623706300.0,6623706300.0,H5,crude_petroleum_hs
2024,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4931109474.66,8686507120.0,8686507120.0,H6,crude_petroleum_hs
2025,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,5959193624.08,12153680221.0,12153680221.0,H6,crude_petroleum_hs
2025,X,Export,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,5959193624.08,12153680221.0,12153680221.0,H6,crude_petroleum_hs
