refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1993,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,18823144.0,147814144.0,171907840.0,H0,crude_petroleum_hs
1994,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,65439916.0,493401696.0,573826176.0,H0,crude_petroleum_hs
1995,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,98576560.0,699756288.0,813816576.0,H0,crude_petroleum_hs
1996,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,126965936.0,780148992.0,907313280.0,H1,crude_petroleum_hs
1997,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,192048560.0,1227138816.0,1427162368.0,H1,crude_petroleum_hs
1998,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,135415520.0,1245236736.0,1448210304.0,H1,crude_petroleum_hs
1999,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,136921812.0,1025326781.0,1192455046.0,H1,crude_petroleum_hs
2000,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,322950352.0,1498715484.0,1498715484.0,H1,crude_petroleum_hs
2001,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,284148103.0,1540057317.0,1540057317.0,H1,crude_petroleum_hs
2002,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,39156761.0,243834682.0,243834682.0,H2,crude_petroleum_hs
2003,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,54481899.0,240775799.0,240775799.0,H2,crude_petroleum_hs
2004,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,80723941.0,312295660.0,312295660.0,H2,crude_petroleum_hs
2005,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,68794424.0,196917651.0,196917651.0,H2,crude_petroleum_hs
2006,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,34491620.0,72213194.0,72213194.0,H2,crude_petroleum_hs
2007,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,19022164.0,35756198.0,35756198.0,H3,crude_petroleum_hs
2008,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2947227.0,4739237.0,4739237.0,H3,crude_petroleum_hs
2009,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,669.0,69.0,69.0,H3,crude_petroleum_hs
2010,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,3241.0,407.0,407.0,H3,crude_petroleum_hs
2011,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,5050.0,804.0,804.0,H3,crude_petroleum_hs
2012,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,130337615.0,178420203.0,178420203.0,H4,crude_petroleum_hs
2013,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,245437905.0,294449590.0,294449590.0,H4,crude_petroleum_hs
2014,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,317708845.04,,418402681.131,H4,crude_petroleum_hs
2014,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,52.5,1.93,1.93,H4,crude_petroleum_hs
2014,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,78202744.02,128366000.0,128366000.0,H4,crude_petroleum_hs
2014,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,239505380.91,290035800.0,290035800.0,H4,crude_petroleum_hs
2014,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,667.61,,879.201,H4,crude_petroleum_hs
2015,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,355737481.06,,831210368.771,H4,crude_petroleum_hs
2015,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,414.61,,968.771,H4,crude_petroleum_hs
2015,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,279007243.01,655927000.0,655927000.0,H4,crude_petroleum_hs
2015,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,22423693.36,51698400.0,51698400.0,H4,crude_petroleum_hs
2015,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,54306130.08,123584000.0,123584000.0,H4,crude_petroleum_hs
2016,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,278747010.11,808791738.963,808791738.963,H4,crude_petroleum_hs
2016,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,30896240.31,74328534.963,74328534.963,H4,crude_petroleum_hs
2016,M,Import,32,Argentina,0,World,2709,Petroleum oils and oils obtained from bituminous minerals; crude,25115000.0,68482200.0,68482200.0,H4,crude_petroleum_hs
