refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1962,X,Export,32,Argentina,0,World,33101,Crude petroleum,3700997.0,254405872.0,254405872.0,S1,crude_petroleum_sitc_s1
1963,X,Export,32,Argentina,0,World,33101,Crude petroleum,1399500.0,101869376.0,101869376.0,S1,crude_petroleum_sitc_s1
1964,X,Export,32,Argentina,0,World,33101,Crude petroleum,200998.0,16216100.0,16216100.0,S1,crude_petroleum_sitc_s1
1966,X,Export,32,Argentina,0,World,33101,Crude petroleum,107048.0,3087750.0,3087750.0,S1,crude_petroleum_sitc_s1
1967,X,Export,32,Argentina,0,World,33101,Crude petroleum,103279.0,9239007.0,9239007.0,S1,crude_petroleum_sitc_s1
1968,X,Export,32,Argentina,0,World,33101,Crude petroleum,1536857.0,187969872.0,187969872.0,S1,crude_petroleum_sitc_s1
1969,X,Export,32,Argentina,0,World,33101,Crude petroleum,895100.0,60642500.0,60642500.0,S1,crude_petroleum_sitc_s1
1974,X,Export,32,Argentina,0,World,33101,Crude petroleum,3351720.0,35057728.0,35057728.0,S1,crude_petroleum_sitc_s1
1975,X,Export,32,Argentina,0,World,33101,Crude petroleum,1259558.0,14379796.0,14379796.0,S1,crude_petroleum_sitc_s1
1979,X,Export,32,Argentina,0,World,33101,Crude petroleum,39.0,191.0,191.0,S1,crude_petroleum_sitc_s1
1985,X,Export,32,Argentina,0,World,33101,Crude petroleum,68948888.0,406661280.0,406661280.0,S1,crude_petroleum_sitc_s1
1986,X,Export,32,Argentina,0,World,33101,Crude petroleum,18805804.0,131729832.0,131729832.0,S1,crude_petroleum_sitc_s1
1987,X,Export,32,Argentina,0,World,33101,Crude petroleum,10343388.0,83200376.0,83200376.0,S1,crude_petroleum_sitc_s1
1988,X,Export,32,Argentina,0,World,33101,Crude petroleum,17428304.0,200983680.0,200983680.0,S1,crude_petroleum_sitc_s1
1989,X,Export,32,Argentina,0,World,33101,Crude petroleum,34547936.0,315928160.0,315928160.0,S1,crude_petroleum_sitc_s1
1990,X,Export,32,Argentina,0,World,33101,Crude petroleum,146791712.0,1038185024.0,1038185024.0,S1,crude_petroleum_sitc_s1
1991,X,Export,32,Argentina,0,World,33101,Crude petroleum,147616852.0,881398298.0,881398298.0,S1,crude_petroleum_sitc_s1
1992,X,Export,32,Argentina,0,World,33101,Crude petroleum,348814560.0,2697115136.0,2697115136.0,S1,crude_petroleum_sitc_s1
1993,X,Export,32,Argentina,0,World,33101,Crude petroleum,527361344.0,4523322368.0,4523322368.0,S1,crude_petroleum_sitc_s1
1994,X,Export,32,Argentina,0,World,33101,Crude petroleum,1125573120.0,10526416896.0,10526416896.0,S1,crude_petroleum_sitc_s1
1995,X,Export,32,Argentina,0,World,33101,Crude petroleum,1591854976.0,14010169344.0,14010169344.0,S1,crude_petroleum_sitc_s1
1996,X,Export,32,Argentina,0,World,33101,Crude petroleum,2319963648.0,16472775680.0,16472775680.0,S1,crude_petroleum_sitc_s1
1997,X,Export,32,Argentina,0,World,33101,Crude petroleum,2191356416.0,16535476224.0,16535476224.0,S1,crude_petroleum_sitc_s1
1998,X,Export,32,Argentina,0,World,33101,Crude petroleum,1462650880.0,17094863872.0,17094863872.0,S1,crude_petroleum_sitc_s1
1999,X,Export,32,Argentina,0,World,33101,Crude petroleum,1599392752.0,14237253126.0,14237253126.0,S1,crude_petroleum_sitc_s1
