refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1962,M,Import,32,Argentina,0,World,33101,Crude petroleum,23799996.0,1115432960.0,1115432960.0,S1,crude_petroleum_sitc_s1
1963,M,Import,32,Argentina,0,World,33101,Crude petroleum,20085598.0,868507008.0,868507008.0,S1,crude_petroleum_sitc_s1
1964,M,Import,32,Argentina,0,World,33101,Crude petroleum,28696596.0,1477549952.0,1477549952.0,S1,crude_petroleum_sitc_s1
1965,M,Import,32,Argentina,0,World,33101,Crude petroleum,62386340.0,3551976960.0,3551976960.0,S1,crude_petroleum_sitc_s1
1966,M,Import,32,Argentina,0,World,33101,Crude petroleum,64165696.0,3704911360.0,3704911360.0,S1,crude_petroleum_sitc_s1
1967,M,Import,32,Argentina,0,World,33101,Crude petroleum,46154840.0,2287808512.0,2287808512.0,S1,crude_petroleum_sitc_s1
1968,M,Import,32,Argentina,0,World,33101,Crude petroleum,37137556.0,1781826944.0,1781826944.0,S1,crude_petroleum_sitc_s1
1969,M,Import,32,Argentina,0,World,33101,Crude petroleum,42543496.0,2250388224.0,2250388224.0,S1,crude_petroleum_sitc_s1
1970,M,Import,32,Argentina,0,World,33101,Crude petroleum,30825596.0,1402711552.0,1402711552.0,S1,crude_petroleum_sitc_s1
1971,M,Import,32,Argentina,0,World,33101,Crude petroleum,52336056.0,2248345088.0,2248345088.0,S1,crude_petroleum_sitc_s1
1972,M,Import,32,Argentina,0,World,33101,Crude petroleum,31639008.0,1375179008.0,1375179008.0,S1,crude_petroleum_sitc_s1
1973,M,Import,32,Argentina,0,World,33101,Crude petroleum,82509112.0,2358239488.0,2358239488.0,S1,crude_petroleum_sitc_s1
1974,M,Import,32,Argentina,0,World,33101,Crude petroleum,327586816.0,3079237632.0,3079237632.0,S1,crude_petroleum_sitc_s1
1975,M,Import,32,Argentina,0,World,33101,Crude petroleum,225430992.0,2117074944.0,2117074944.0,S1,crude_petroleum_sitc_s1
1976,M,Import,32,Argentina,0,World,33101,Crude petroleum,289050656.0,2979459328.0,2979459328.0,S1,crude_petroleum_sitc_s1
1977,M,Import,32,Argentina,0,World,33101,Crude petroleum,337863040.0,3306800896.0,3306800896.0,S1,crude_petroleum_sitc_s1
1978,M,Import,32,Argentina,0,World,33101,Crude petroleum,196734624.0,1970002048.0,1970002048.0,S1,crude_petroleum_sitc_s1
1979,M,Import,32,Argentina,0,World,33101,Crude petroleum,350992352.0,1773290368.0,1773290368.0,S1,crude_petroleum_sitc_s1
1980,M,Import,32,Argentina,0,World,33101,Crude petroleum,533515392.0,2219365888.0,2219365888.0,S1,crude_petroleum_sitc_s1
1981,M,Import,32,Argentina,0,World,33101,Crude petroleum,301560512.0,1169439744.0,1169439744.0,S1,crude_petroleum_sitc_s1
1982,M,Import,32,Argentina,0,World,33101,Crude petroleum,162414800.0,666557312.0,666557312.0,S1,crude_petroleum_sitc_s1
1983,M,Import,32,Argentina,0,World,33101,Crude petroleum,69.0,50.0,50.0,S1,crude_petroleum_sitc_s1
1985,M,Import,32,Argentina,0,World,33101,Crude petroleum,3613.0,566.0,566.0,S1,crude_petroleum_sitc_s1
1986,M,Import,32,Argentina,0,World,33101,Crude petroleum,6594.0,1374.0,1374.0,S1,crude_petroleum_sitc_s1
1987,M,Import,32,Argentina,0,World,33101,Crude petroleum,959.0,109.0,109.0,S1,crude_petroleum_sitc_s1
1988,M,Import,32,Argentina,0,World,33101,Crude petroleum,3153.0,129.0,129.0,S1,crude_petroleum_sitc_s1
1989,M,Import,32,Argentina,0,World,33101,Crude petroleum,2211.0,1000.0,1000.0,S1,crude_petroleum_sitc_s1
1990,M,Import,32,Argentina,0,World,33101,Crude petroleum,8257962.0,50848464.0,50848464.0,S1,crude_petroleum_sitc_s1
1991,M,Import,32,Argentina,0,World,33101,Crude petroleum,37799370.0,212999999.0,212999999.0,S1,crude_petroleum_sitc_s1
1992,M,Import,32,Argentina,0,World,33101,Crude petroleum,1321683.0,9603139.0,9603139.0,S1,crude_petroleum_sitc_s1
1993,M,Import,32,Argentina,0,World,33101,Crude petroleum,18823144.0,147814144.0,147814144.0,S1,crude_petroleum_sitc_s1
1994,M,Import,32,Argentina,0,World,33101,Crude petroleum,65439916.0,493401696.0,493401696.0,S1,crude_petroleum_sitc_s1
1995,M,Import,32,Argentina,0,World,33101,Crude petroleum,98576560.0,699756288.0,699756288.0,S1,crude_petroleum_sitc_s1
1996,M,Import,32,Argentina,0,World,33101,Crude petroleum,126965936.0,780148992.0,780148992.0,S1,crude_petroleum_sitc_s1
1997,M,Import,32,Argentina,0,World,33101,Crude petroleum,192048560.0,1227138816.0,1227138816.0,S1,crude_petroleum_sitc_s1
1998,M,Import,32,Argentina,0,World,33101,Crude petroleum,135415520.0,1245236736.0,1245236736.0,S1,crude_petroleum_sitc_s1
1999,M,Import,32,Argentina,0,World,33101,Crude petroleum,136921812.0,1025326781.0,1025326781.0,S1,crude_petroleum_sitc_s1
