refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1993,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",79473592.0,627799616.0,627799616.0,H0,natural_gas_hs_bol
1994,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",89326008.0,17494588.0,17494588.0,H0,natural_gas_hs_bol
1995,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",93137072.0,16209656.0,16209656.0,H0,natural_gas_hs_bol
1996,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",94333096.0,204664880.0,204664880.0,H1,natural_gas_hs_bol
1997,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",69365992.0,197241184.0,197241184.0,H1,natural_gas_hs_bol
2003,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2068057.0,71843092.0,71843092.0,H2,natural_gas_hs_bol
2004,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",68443691.0,799278000.0,799278000.0,H2,natural_gas_hs_bol
2005,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",186570731.0,1559298928.0,1559298928.0,H2,natural_gas_hs_bol
2006,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",243302441.0,1602009032.0,1602009032.0,H2,natural_gas_hs_bol
2007,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",139288710.0,1495342280.0,1495342280.0,H3,natural_gas_hs_bol
2008,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",76717833.0,826524392.0,826524392.0,H3,natural_gas_hs_bol
2009,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",158180714.0,1528630782.0,1528630782.0,H3,natural_gas_hs_bol
1998,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",61833860.0,1022067456.0,1022067456.0,H1,natural_gas_hs_bol
1999,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",14569723.0,312275062.0,312275062.0,H1,natural_gas_hs_bol
2000,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",692563.0,13226000.0,13226000.0,H1,natural_gas_hs_bol
2001,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1947174.0,37293014.0,37293014.0,H1,natural_gas_hs_bol
2002,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2911510.0,68445500.0,68445500.0,H2,natural_gas_hs_bol
2015,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1367747361.0,4476138000.0,4476138000.0,H4,natural_gas_hs_bol
2016,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",804409205.0,4696418000.0,4696418000.0,H4,natural_gas_hs_bol
2017,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1180412264.3,4966321000.0,4966321000.0,H4,natural_gas_hs_bol
2018,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1350985411.0,4523431000.0,4523431000.0,H5,natural_gas_hs_bol
2019,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1266024437.0,3851812000.0,3851812000.0,H5,natural_gas_hs_bol
2020,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",968823787.63,4150992000.0,4150992000.0,H5,natural_gas_hs_bol
2021,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",963444100.0,3522944000.0,3522944000.0,H5,natural_gas_hs_bol
2010,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",297610590.0,1586826986.0,1586826986.0,H3,natural_gas_hs_bol
2011,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",564542514.0,2165650943.0,2165650943.0,H3,natural_gas_hs_bol
2012,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1104450807.0,3103306180.0,3103306180.0,H4,natural_gas_hs_bol
2013,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2531078717.0,4781641000.0,4781641000.0,H4,natural_gas_hs_bol
2014,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2234024070.0,4491143000.0,4491143000.0,H4,natural_gas_hs_bol
2020,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",114413033.0,354972000.0,354972000.0,H5,natural_gas_hs_bol
2019,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1266024437.0,3851812000.0,3851812000.0,H5,natural_gas_hs_bol
2020,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",854410754.63,3796020000.0,3796020000.0,H5,natural_gas_hs_bol
2021,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",963444100.0,3522944000.0,3522944000.0,H5,natural_gas_hs_bol
2014,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",2234024070.0,4491143000.0,4491143000.0,H4,natural_gas_hs_bol
2015,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1367747361.0,4476138000.0,4476138000.0,H4,natural_gas_hs_bol
2016,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",804409205.0,4696418000.0,4696418000.0,H4,natural_gas_hs_bol
2017,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1180412264.3,4966321000.0,4966321000.0,H4,natural_gas_hs_bol
2018,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1350985411.0,4523431000.0,4523431000.0,H5,natural_gas_hs_bol
2022,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1692138781.0,2879361000.0,2879361000.0,H5,natural_gas_hs_bol
2022,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",1692138781.0,2879361000.0,2879361000.0,H5,natural_gas_hs_bol
2023,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",876415707.3,1711100500.0,1711100500.0,H5,natural_gas_hs_bol
2023,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",876415707.3,1711100500.0,1711100500.0,H5,natural_gas_hs_bol
2024,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",547243254.79,888833600.0,888833600.0,H6,natural_gas_hs_bol
2024,M,Import,32,Argentina,68,Bolivia (Plurinational State of),271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",547243254.79,888833600.0,888833600.0,H6,natural_gas_hs_bol
