refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1993,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",3.0,1.0,1.0,H0,natural_gas_hs
1994,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",299.0,144.0,144.0,H0,natural_gas_hs
1996,X,Export,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",519.0,53.0,53.0,H1,natural_gas_hs
1996,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",114300.0,2354187.0,2354187.0,H1,natural_gas_hs
1997,X,Export,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",36569.0,31093.0,31093.0,H1,natural_gas_hs
1997,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",19948996.0,749971328.0,749971328.0,H1,natural_gas_hs
1998,X,Export,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",17.0,7.0,7.0,H1,natural_gas_hs
1998,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",77879392.0,1410052096.0,1410052096.0,H1,natural_gas_hs
1999,X,Export,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",40.0,2.0,2.0,H1,natural_gas_hs
1999,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",135612753.0,2469778655.0,2469778655.0,H1,natural_gas_hs
2000,X,Export,32,Argentina,0,World,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",185859198.0,2889413308.0,2889413308.0,H1,natural_gas_hs
2000,X,Export,32,Argentina,0,World,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",2464.0,275.0,275.0,H1,natural_gas_hs
