refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1973,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",12484548.0,933427904.0,933427904.0,S1,natural_gas_sitc_s1_bol
1964,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",29000.0,5541500.0,5541500.0,S1,natural_gas_sitc_s1_bol
1965,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",14887.0,3461500.0,3461500.0,S1,natural_gas_sitc_s1_bol
1966,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",69305.0,11467535.0,11467535.0,S1,natural_gas_sitc_s1_bol
1967,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",39886.0,6636714.0,6636714.0,S1,natural_gas_sitc_s1_bol
1972,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",6105007.0,498987360.0,498987360.0,S1,natural_gas_sitc_s1_bol
1974,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",29862624.0,1541221760.0,1541221760.0,S1,natural_gas_sitc_s1_bol
1975,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",39209376.0,1253699328.0,1253699328.0,S1,natural_gas_sitc_s1_bol
1976,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",46708584.0,1001644032.0,1001644032.0,S1,natural_gas_sitc_s1_bol
1977,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",76835584.0,1431083648.0,1431083648.0,S1,natural_gas_sitc_s1_bol
1978,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",75477160.0,1111714688.0,1111714688.0,S1,natural_gas_sitc_s1_bol
1979,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",107352800.0,1408342784.0,1408342784.0,S1,natural_gas_sitc_s1_bol
1980,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",224088784.0,1549264768.0,1549264768.0,S1,natural_gas_sitc_s1_bol
1981,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",326382592.0,1708322304.0,1708322304.0,S1,natural_gas_sitc_s1_bol
1982,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",378544928.0,1751225856.0,1751225856.0,S1,natural_gas_sitc_s1_bol
1983,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",381518848.0,1693104256.0,1693104256.0,S1,natural_gas_sitc_s1_bol
1984,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",383822560.0,1679656960.0,1679656960.0,S1,natural_gas_sitc_s1_bol
1985,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",379657216.0,1686497536.0,1686497536.0,S1,natural_gas_sitc_s1_bol
1986,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",342307200.0,1692241920.0,1692241920.0,S1,natural_gas_sitc_s1_bol
1987,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",291572544.0,1646118528.0,1646118528.0,S1,natural_gas_sitc_s1_bol
1988,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",216026800.0,1739247104.0,1739247104.0,S1,natural_gas_sitc_s1_bol
1989,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",216566208.0,1721197056.0,1721197056.0,S1,natural_gas_sitc_s1_bol
1990,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",224836368.0,1667351168.0,1667351168.0,S1,natural_gas_sitc_s1_bol
1991,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",227988076.0,1624832578.0,1624832578.0,S1,natural_gas_sitc_s1_bol
1992,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",119539960.0,1295917952.0,1295917952.0,S1,natural_gas_sitc_s1_bol
1993,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",79473592.0,627799616.0,627799616.0,S1,natural_gas_sitc_s1_bol
1994,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",89326008.0,17494588.0,17494588.0,S1,natural_gas_sitc_s1_bol
1995,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",93137072.0,16209656.0,16209656.0,S1,natural_gas_sitc_s1_bol
1996,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",94333096.0,204664880.0,204664880.0,S1,natural_gas_sitc_s1_bol
1997,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",69365992.0,197241184.0,197241184.0,S1,natural_gas_sitc_s1_bol
1998,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",61833860.0,1022067456.0,1022067456.0,S1,natural_gas_sitc_s1_bol
1999,M,Import,32,Argentina,68,Bolivia (Plurinational State of),3411,"Gas, natural",14580861.0,312319585.0,312319585.0,S1,natural_gas_sitc_s1_bol
