refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1962,X,Export,32,Argentina,0,World,3411,"Gas, natural",3969199.0,99616552.0,99616552.0,S1,natural_gas_sitc_s1
1963,X,Export,32,Argentina,0,World,3411,"Gas, natural",811097.0,18631534.0,18631534.0,S1,natural_gas_sitc_s1
1964,X,Export,32,Argentina,0,World,3411,"Gas, natural",54600.0,1084250.0,1084250.0,S1,natural_gas_sitc_s1
1965,X,Export,32,Argentina,0,World,3411,"Gas, natural",52488.0,537812.0,537812.0,S1,natural_gas_sitc_s1
1966,X,Export,32,Argentina,0,World,3411,"Gas, natural",48468.0,516937.0,516937.0,S1,natural_gas_sitc_s1
1967,X,Export,32,Argentina,0,World,3411,"Gas, natural",117757.0,1712038.0,1712038.0,S1,natural_gas_sitc_s1
1968,X,Export,32,Argentina,0,World,3411,"Gas, natural",68848.0,994530.0,994530.0,S1,natural_gas_sitc_s1
1969,X,Export,32,Argentina,0,World,3411,"Gas, natural",10199.0,100398.0,100398.0,S1,natural_gas_sitc_s1
1970,X,Export,32,Argentina,0,World,3411,"Gas, natural",99.0,97.0,97.0,S1,natural_gas_sitc_s1
1971,X,Export,32,Argentina,0,World,3411,"Gas, natural",245565.0,3944000.0,3944000.0,S1,natural_gas_sitc_s1
1972,X,Export,32,Argentina,0,World,3411,"Gas, natural",47884.0,728062.0,728062.0,S1,natural_gas_sitc_s1
1974,X,Export,32,Argentina,0,World,3411,"Gas, natural",140798.0,672250.0,672250.0,S1,natural_gas_sitc_s1
1975,X,Export,32,Argentina,0,World,3411,"Gas, natural",1166521.0,3036347.0,3036347.0,S1,natural_gas_sitc_s1
1976,X,Export,32,Argentina,0,World,3411,"Gas, natural",1514413.0,8817016.0,8817016.0,S1,natural_gas_sitc_s1
1977,X,Export,32,Argentina,0,World,3411,"Gas, natural",1853100.0,9097144.0,9097144.0,S1,natural_gas_sitc_s1
1978,X,Export,32,Argentina,0,World,3411,"Gas, natural",1078143.0,5426377.0,5426377.0,S1,natural_gas_sitc_s1
1979,X,Export,32,Argentina,0,World,3411,"Gas, natural",1823.0,589.0,589.0,S1,natural_gas_sitc_s1
1984,X,Export,32,Argentina,0,World,3411,"Gas, natural",9965951.0,48976080.0,48976080.0,S1,natural_gas_sitc_s1
1985,X,Export,32,Argentina,0,World,3411,"Gas, natural",5391962.0,22785156.0,22785156.0,S1,natural_gas_sitc_s1
1986,X,Export,32,Argentina,0,World,3411,"Gas, natural",3565667.0,20203100.0,20203100.0,S1,natural_gas_sitc_s1
1987,X,Export,32,Argentina,0,World,3411,"Gas, natural",78108.0,601812.0,601812.0,S1,natural_gas_sitc_s1
1988,X,Export,32,Argentina,0,World,3411,"Gas, natural",5268936.0,48154640.0,48154640.0,S1,natural_gas_sitc_s1
1989,X,Export,32,Argentina,0,World,3411,"Gas, natural",12967062.0,130188920.0,130188920.0,S1,natural_gas_sitc_s1
1990,X,Export,32,Argentina,0,World,3411,"Gas, natural",13949844.0,85451976.0,85451976.0,S1,natural_gas_sitc_s1
1991,X,Export,32,Argentina,0,World,3411,"Gas, natural",28695303.0,172941264.0,172941264.0,S1,natural_gas_sitc_s1
1992,X,Export,32,Argentina,0,World,3411,"Gas, natural",44299872.0,252359024.0,252359024.0,S1,natural_gas_sitc_s1
1993,X,Export,32,Argentina,0,World,3411,"Gas, natural",65852292.0,422206592.0,422206592.0,S1,natural_gas_sitc_s1
1994,X,Export,32,Argentina,0,World,3411,"Gas, natural",71806056.0,502313440.0,502313440.0,S1,natural_gas_sitc_s1
1995,X,Export,32,Argentina,0,World,3411,"Gas, natural",75757904.0,461260704.0,461260704.0,S1,natural_gas_sitc_s1
1996,X,Export,32,Argentina,0,World,3411,"Gas, natural",109614432.0,550748800.0,550748800.0,S1,natural_gas_sitc_s1
1997,X,Export,32,Argentina,0,World,3411,"Gas, natural",128907760.0,1295001344.0,1295001344.0,S1,natural_gas_sitc_s1
1998,X,Export,32,Argentina,0,World,3411,"Gas, natural",162134624.0,2024949248.0,2024949248.0,S1,natural_gas_sitc_s1
1999,X,Export,32,Argentina,0,World,3411,"Gas, natural",278534835.0,3345092150.0,3345092150.0,S1,natural_gas_sitc_s1
