refYear,flowCode,flowDesc,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,primaryValue,netWgt,qty,classificationCode,commodity_label
1962,M,Import,32,Argentina,0,World,3411,"Gas, natural",3768293.0,51632368.0,51632368.0,S1,natural_gas_sitc_s1
1963,M,Import,32,Argentina,0,World,3411,"Gas, natural",1683897.0,31718396.0,31718396.0,S1,natural_gas_sitc_s1
1964,M,Import,32,Argentina,0,World,3411,"Gas, natural",4344098.0,85917856.0,85917856.0,S1,natural_gas_sitc_s1
1965,M,Import,32,Argentina,0,World,3411,"Gas, natural",12225409.0,211557280.0,211557280.0,S1,natural_gas_sitc_s1
1966,M,Import,32,Argentina,0,World,3411,"Gas, natural",11708026.0,208055152.0,208055152.0,S1,natural_gas_sitc_s1
1967,M,Import,32,Argentina,0,World,3411,"Gas, natural",20369520.0,355378176.0,355378176.0,S1,natural_gas_sitc_s1
1968,M,Import,32,Argentina,0,World,3411,"Gas, natural",18262394.0,319993856.0,319993856.0,S1,natural_gas_sitc_s1
1969,M,Import,32,Argentina,0,World,3411,"Gas, natural",8623195.0,165951184.0,165951184.0,S1,natural_gas_sitc_s1
1970,M,Import,32,Argentina,0,World,3411,"Gas, natural",2360299.0,50131808.0,50131808.0,S1,natural_gas_sitc_s1
1971,M,Import,32,Argentina,0,World,3411,"Gas, natural",21891502.0,488261664.0,488261664.0,S1,natural_gas_sitc_s1
1972,M,Import,32,Argentina,0,World,3411,"Gas, natural",19325450.0,811617344.0,811617344.0,S1,natural_gas_sitc_s1
1973,M,Import,32,Argentina,0,World,3411,"Gas, natural",25237526.0,1186331136.0,1186331136.0,S1,natural_gas_sitc_s1
1974,M,Import,32,Argentina,0,World,3411,"Gas, natural",93102352.0,1965134080.0,1965134080.0,S1,natural_gas_sitc_s1
1975,M,Import,32,Argentina,0,World,3411,"Gas, natural",120106512.0,1748400640.0,1748400640.0,S1,natural_gas_sitc_s1
1976,M,Import,32,Argentina,0,World,3411,"Gas, natural",94368752.0,1485255424.0,1485255424.0,S1,natural_gas_sitc_s1
1977,M,Import,32,Argentina,0,World,3411,"Gas, natural",157493888.0,2192015360.0,2192015360.0,S1,natural_gas_sitc_s1
1978,M,Import,32,Argentina,0,World,3411,"Gas, natural",164487040.0,2085491328.0,2085491328.0,S1,natural_gas_sitc_s1
1979,M,Import,32,Argentina,0,World,3411,"Gas, natural",228667904.0,1906702720.0,1906702720.0,S1,natural_gas_sitc_s1
1980,M,Import,32,Argentina,0,World,3411,"Gas, natural",335804960.0,1858251776.0,1858251776.0,S1,natural_gas_sitc_s1
1981,M,Import,32,Argentina,0,World,3411,"Gas, natural",406542272.0,1940939392.0,1940939392.0,S1,natural_gas_sitc_s1
1982,M,Import,32,Argentina,0,World,3411,"Gas, natural",378568160.0,1751226880.0,1751226880.0,S1,natural_gas_sitc_s1
1983,M,Import,32,Argentina,0,World,3411,"Gas, natural",381536512.0,1693105792.0,1693105792.0,S1,natural_gas_sitc_s1
1984,M,Import,32,Argentina,0,World,3411,"Gas, natural",383835264.0,1679657856.0,1679657856.0,S1,natural_gas_sitc_s1
1985,M,Import,32,Argentina,0,World,3411,"Gas, natural",384696544.0,1704463744.0,1704463744.0,S1,natural_gas_sitc_s1
1986,M,Import,32,Argentina,0,World,3411,"Gas, natural",342334240.0,1692243328.0,1692243328.0,S1,natural_gas_sitc_s1
1987,M,Import,32,Argentina,0,World,3411,"Gas, natural",314399680.0,1772637184.0,1772637184.0,S1,natural_gas_sitc_s1
1988,M,Import,32,Argentina,0,World,3411,"Gas, natural",224123920.0,1786369152.0,1786369152.0,S1,natural_gas_sitc_s1
1989,M,Import,32,Argentina,0,World,3411,"Gas, natural",216963824.0,1722200832.0,1722200832.0,S1,natural_gas_sitc_s1
1990,M,Import,32,Argentina,0,World,3411,"Gas, natural",225088832.0,1667773952.0,1667773952.0,S1,natural_gas_sitc_s1
1991,M,Import,32,Argentina,0,World,3411,"Gas, natural",228297564.0,1625445582.0,1625445582.0,S1,natural_gas_sitc_s1
1992,M,Import,32,Argentina,0,World,3411,"Gas, natural",136364480.0,1374103424.0,1374103424.0,S1,natural_gas_sitc_s1
1993,M,Import,32,Argentina,0,World,3411,"Gas, natural",79555560.0,627819328.0,627819328.0,S1,natural_gas_sitc_s1
1994,M,Import,32,Argentina,0,World,3411,"Gas, natural",92323384.0,48101968.0,48101968.0,S1,natural_gas_sitc_s1
1995,M,Import,32,Argentina,0,World,3411,"Gas, natural",97811168.0,24857382.0,24857382.0,S1,natural_gas_sitc_s1
1996,M,Import,32,Argentina,0,World,3411,"Gas, natural",97046088.0,208441120.0,208441120.0,S1,natural_gas_sitc_s1
1997,M,Import,32,Argentina,0,World,3411,"Gas, natural",73420208.0,214218160.0,214218160.0,S1,natural_gas_sitc_s1
1998,M,Import,32,Argentina,0,World,3411,"Gas, natural",71571352.0,1086436992.0,1086436992.0,S1,natural_gas_sitc_s1
1999,M,Import,32,Argentina,0,World,3411,"Gas, natural",14973055.0,312501606.0,312501606.0,S1,natural_gas_sitc_s1
