Report generated on: 09-17-2020 11:15:16
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ARG-TBPD.A","        Total petroleum and other liquids (Mb/d)","508","513","507","504","498","485","471","472","492","496","521","529","597","647.0004602739726","713.1095890410959","773.5753424657535","820.983606557377","904.6712328767123","916.6849315068494","870.2328767123288","831.7453620053552","876.0728794417573","865.5893954248986","865.7590334744","825.0821663617922","797.0857534246576","802.2849095890411","781.2251698630137","801.0422267759562","801.6574657534246","788.873690410959","763.1044821917808","722.6970355191257","706.1269616438357","716.3514054794521","708.6832465753424","708.7701475409837","676.2280410958904","678.5595479452055","690.0581780821918",""
"INTL.55-1-ARG-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","504","508","503","499","493","480","465","464","484","487","510","515","583","629.0004602739726","694.1095890410959","756.5753424657535","799.983606557377","881.6712328767123","896.6849315068494","850.2328767123288","809.1420765027323","850.4","840.1469999999999","840.107","797.0749999999999","773.6497534246575","777.601909589041","766.6811698630137","789.1062267759563","785.6484657534246","773.647690410959","746.8204821917808","706.3420355191257","691.0539616438356","701.343405479452","694.0442465753424","694.1311475409836","661.5890410958904","663.9205479452055","675.4191780821918",""
"INTL.57-1-ARG-TBPD.A","                Crude oil including lease condensate (Mb/d)","491","496","491","491","478","460","434","428","449","460","483","485","553","594.0004602739726","650.1095890410959","714.5753424657535","755.983606557377","833.6712328767123","846.6849315068494","802.2328767123288","761.1420765027323","802.4","799.1469999999999","783.107","732.661","703.6497534246575","696.451904109589","678.7762767123288","661.2152377049181","651.1813506849315","626.0560876712328","581.4326739726027","551.1197896174864","539.8485780821918","532.1596794520548","532.2387671232876","510.5601092896175","479.4438356164384","489.27945205479455","507.241095890411",""
"INTL.58-1-ARG-TBPD.A","                NGPL (Mb/d)","13","12","12","8","15","20","31","36","35","27","27","30","30","35","44","42","44","48","50","48","48","48","41","56.99999999999997","64.414","70","77.98200547945206","84.00489315068494","114","111","110","115","103","104","104","108.51506849315068","112.33879781420765","101.83835616438355","103","103",""
"INTL.59-1-ARG-TBPD.A","                Other liquids (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.168","3.9","13.890989071038252","23.46711506849315","37.59160273972603","50.38780821917808","52.22224590163935","47.205383561643835","65.18372602739726","53.29041095890411","71.23224043715847","80.30684931506849","71.64109589041095","65.17808219178082",""
"INTL.56-1-ARG-TBPD.A","            Refinery processing gain (Mb/d)","4","5","4","5","5","5","6.1","7.5","8.1","9.4","11","14","14","18","19","17","21","23","20","20","22.603285502623","25.6728794417574","25.4423954248986","25.6520334744","28.0071663617923","23.436","24.683","14.544","11.936","16.009","15.226","16.284","16.355","15.073","15.008","14.639","14.639","14.639","14.639","14.639",""
"INTL.54-1-ARG-TBPD.A","        Refined petroleum products (Mb/d)","","","","","","","454","452","456","451","456","472","491","524","495","478","510","557","570","573","600.1605005464482","637.5101983561644","593.2803375342472","616.8728657534248","626.5486819672128","626.5085939726033","649.680135890411","692.4136504109587","654.5480961748634","617.7840767123286","638.3413435616436","637.2537884931503","678.6673158469941","648.034200547946","660.5475660273972","","","","","",""
"INTL.62-1-ARG-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","110","103","106","110","117","112","111","139","142","123","154","173","126","123","125.386338797814","124.210821917808","114.138410958904","108.319315068493","102.965956284153","104.954054794521","102.126301369863","103.43501369863","101.264617486339","104.977424657534","106.566575342466","117.854219178082","124.966830601093","129.305452054795","122.551561643836","","","","","",""
"INTL.63-1-ARG-TBPD.A","            Jet fuel (Mb/d)","","","","","","","15","16","16","15","15","14","15","18","21","21","27","26","31","34","33.5183333333333","29.5256712328767","28.3524657534247","24.6590410958904","26.195","27.461698630137","25.875698630137","27.8744931506849","26.8666666666667","28.0700273972603","28.5914520547945","27.7006849315068","29.12","29.7863835616438","28.8304383561644","","","","","",""
"INTL.64-1-ARG-TBPD.A","            Kerosene (Mb/d)","","","","","","","8.9","6.8","7.6","9.2","10","9.2","8.3","7.6","7.3","6.8","4.2","3.4","4.2","4.2","1.77409836065574","1.52482191780822","0.804767123287671","0.592986301369863","0.612486338797814","0.50827397260274","0.487095890410959","0.444739726027397","0.16896174863388","0.232958904109589","0.931835616438356","0.76241095890411","0.4224043715847","0.444739726027397","0.338849315068493","","","","","",""
"INTL.65-1-ARG-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","152","148","154","154","161","171","187","194","180","172","191","212","220","223","212.48082531694","212.231858389041","194.544174564384","207.424875972603","209.938085759563","203.400372832877","218.50877410411","224.341923594521","216.567787202186","208.814859424658","207.510757950685","204.99663099726","202.549256114754","164.449005523288","172.626754405479","","","","","",""
