anio;ypf;totale;variable
1960;2998;5199;pozos en produccion
1961;3655;6337;pozos en produccion
1962;4037;6999;pozos en produccion
1963;4033;6992;pozos en produccion
1964;4260;7386;pozos en produccion
1965;4245;7360;pozos en produccion
1966;4508;5445;pozos en produccion
1967;4280;5308;pozos en produccion
1968;4268;5394;pozos en produccion
1969;4193;5391;pozos en produccion
1970;4080;5323;pozos en produccion
1971;4020;5325;pozos en produccion
1972;4044;5469;pozos en produccion
1973;4084;5580;pozos en produccion
1974;4183;5674;pozos en produccion
1975;4329;5820;pozos en produccion
1976;4587;6062;pozos en produccion
1977;4511;6303;pozos en produccion
1978;4283;6662;pozos en produccion
1979;4237;6767;pozos en produccion
1980;4287;7303;pozos en produccion
1981;4526;7544;pozos en produccion
1982;4960;7977;pozos en produccion
1983;5353;8510;pozos en produccion
1984;5757;8942;pozos en produccion
1985;5967;9250;pozos en produccion
1986;5469;8684;pozos en produccion
1987;5899;9219;pozos en produccion
1988;6256;9722;pozos en produccion
1989;6301;9916;pozos en produccion
1990;5757;9616;pozos en produccion
1991;4383;10123;pozos en produccion
1992;;10647;pozos en produccion
1993;;10935;pozos en produccion
1994;;11377;pozos en produccion
1995;;12544;pozos en produccion
1996;;13285;pozos en produccion
1997;;14085;pozos en produccion
1998;;13999;pozos en produccion
1999;;13858;pozos en produccion
2000;;15912;pozos en produccion
2001;;14969;pozos en produccion
2002;;15055;pozos en produccion
2003;;16101;pozos en produccion
2004;;17141;pozos en produccion
2005;;18024;pozos en produccion
2006;;18800;pozos en produccion
