"","unidad","anio","gas_natural_expo","petroleo_crudo_expo"
"1","bbl",2002,NA,99089160.6006032
"2","bbl",2003,NA,84619991.9357656
"3","bbl",2004,NA,65826187.0186442
"4","bbl",2005,NA,53719702.1767092
"5","bbl",2006,NA,40467428.5932608
"6","bbl",2007,NA,21238065.8865784
"7","bbl",2008,NA,21034735.85107
"8","bbl",2009,NA,44896995.472283
"9","bbl",2010,NA,34244891.3322
"10","bbl",2011,NA,21105440.78364
"11","bbl",2012,NA,24500758.64716
"12","bbl",2013,NA,16979183.74172
"13","bbl",2014,NA,16929844.34834
"14","bbl",2015,NA,14811639.5774444
"15","bbl",2016,NA,18822920.415016
"16","bbl",2017,NA,10674480.31452
"17","bbl",2018,NA,9589724.44752
"18","bbl",2019,NA,12040744.92122
"19","Mm3",2002,4908977952.68657,NA
"20","Mm3",2003,5494711765.04749,NA
"21","Mm3",2004,6436495042.91723,NA
"22","Mm3",2005,5834237415.54953,NA
"23","Mm3",2006,6098890548.84668,NA
"24","Mm3",2007,2864638538.92809,NA
"25","Mm3",2008,848285568.480326,NA
"26","Mm3",2009,952425697.489824,NA
"27","Mm3",2010,498115529.36228,NA
"28","Mm3",2011,202516783.568521,NA
"29","Mm3",2012,87325904.8982361,NA
"30","Mm3",2013,74794234.7761194,NA
"31","Mm3",2014,52565470.8276798,NA
"32","Mm3",2015,45200845.8887381,NA
"33","Mm3",2016,50262225.8887381,NA
"34","Mm3",2017,58444872.7137042,NA
"35","Mm3",2018,134151265.101764,NA
"36","Mm3",2019,1814212894.97965,NA
