indice_tiempo,pib_explotac_minas_cant,pib_explotac_minas_cant_min_carbon,pib_explotac_minas_cant_pet_gas,pib_explotac_minas_cant_minerales_met,pib_explotac_minas_cant_otros_minerales
1980-01-01,240,4,201,6,30
1980-04-01,243,3,204,7,29
1980-07-01,248,2,208,7,30
1980-10-01,254,3,210,7,34
1981-01-01,242,3,203,7,29
1981-04-01,252,5,212,7,28
1981-07-01,251,4,213,7,27
1981-10-01,246,3,212,7,25
1982-01-01,240,3,204,7,26
1982-04-01,251,4,216,7,24
1982-07-01,257,4,223,8,23
1982-10-01,248,4,215,7,22
1983-01-01,237,4,206,7,21
1983-04-01,250,4,218,6,22
1983-07-01,260,4,230,8,18
1983-10-01,252,2,225,7,18
1984-01-01,246,4,216,7,18
1984-04-01,253,3,224,8,19
1984-07-01,253,4,227,7,15
1984-10-01,241,4,215,7,15
1985-01-01,232,3,206,7,17
1985-04-01,241,3,215,8,16
1985-07-01,248,3,223,8,14
1985-10-01,245,3,220,8,14
1986-01-01,232,2,205,7,18
1986-04-01,238,3,208,8,19
1986-07-01,236,3,208,9,17
1986-10-01,223,2,197,8,17
1987-01-01,217,2,190,6,19
1987-04-01,234,2,203,6,23
1987-07-01,244,2,216,7,19
1987-10-01,235,3,209,5,18
1988-01-01,238,3,207,7,21
1988-04-01,257,3,226,7,21
1988-07-01,271,3,245,7,16
1988-10-01,254,3,229,8,15
1989-01-01,249,2,222,7,17
1989-04-01,264,4,239,7,15
1989-07-01,268,3,248,8,10
1989-10-01,272,3,249,8,12
1990-01-01,244,2,225,7,10
1990-04-01,260,3,238,7,12
1990-07-01,280,2,260,8,10
1990-10-01,253,1,236,7,10
