indice_tiempo,pib_explotac_minas_cant,pib_explotac_minas_cant_min_carbon,pib_explotac_minas_cant_pet_gas,pib_explotac_minas_cant_minerales_met,pib_explotac_minas_cant_otros_minerales
1970-01-01,1672,28,1379,59,206
1970-04-01,1726,28,1408,75,214
1970-07-01,1839,38,1513,68,220
1970-10-01,1872,35,1518,77,242
1971-01-01,1822,37,1490,70,225
1971-04-01,1896,36,1534,88,238
1971-07-01,1911,27,1565,80,239
1971-10-01,2034,36,1671,78,249
1972-01-01,1985,39,1636,79,232
1972-04-01,1933,37,1578,75,242
1972-07-01,1964,35,1610,81,237
1972-10-01,2007,38,1616,75,278
1973-01-01,1893,27,1576,71,220
1973-04-01,1875,31,1563,66,215
1973-07-01,1906,23,1614,66,203
1973-10-01,1989,30,1653,62,244
1974-01-01,1896,33,1557,69,237
1974-04-01,1944,37,1596,76,235
1974-07-01,1993,39,1647,70,237
1974-10-01,2015,39,1634,75,266
1975-01-01,1891,38,1569,58,226
1975-04-01,1917,28,1613,62,214
1975-07-01,1907,20,1575,62,250
1975-10-01,2012,28,1620,59,306
1976-01-01,1852,36,1553,52,212
1976-04-01,1920,33,1585,67,235
1976-07-01,2011,37,1664,72,238
1976-10-01,2131,42,1749,84,256
1977-01-01,2069,38,1722,75,234
1977-04-01,2169,39,1771,81,278
1977-07-01,2182,48,1771,88,275
1977-10-01,2170,40,1764,84,283
1978-01-01,2045,16,1710,68,250
1978-04-01,2171,15,1812,66,278
1978-07-01,2235,39,1856,79,262
1978-10-01,2306,48,1900,81,277
1979-01-01,2198,27,1830,63,278
1979-04-01,2329,54,1926,59,290
1979-07-01,2369,45,1978,69,276
1979-10-01,2414,51,2000,77,286
1980-01-01,2402,40,2007,57,299
1980-04-01,2432,33,2040,68,291
1980-07-01,2479,23,2081,73,301
1980-10-01,2536,26,2098,74,338
