indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industria_manufacturera,suministro_electricidad_gas_agua,construccion,sectores_productores_bienes,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,administracion_publica_defensa,ensenianza_servicios_sociales_salud,otras_actividades_servicios_soc_personales_domestico,sectores_productores_servicios,servicios_intermediacion_financiera_medidos_indirectamente,valor_agregado_bruto_precios_productor,impuesto_valor_agregado,impuesto_importaciones
1993-01-01,11736.940020628863,411.91006926217483,3527.21321411872,43138.297937697964,4599.034278398735,13392.933030999999,76806.32855110645,33862.49719351845,5431.7906426930695,16133.850366049846,9299.037224901347,34131.7194040991,14562.077281162472,18180.009824526827,12801.617478092592,144402.59941504372,3411.0270705776593,217797.9008955725,16266.639908999998,2440.439426999994
1994-01-01,12652.803242365706,403.8244722425128,4012.2593676366614,45079.36432093385,5097.3501478761455,14163.906203948818,81409.50775500368,36044.62327755106,5894.082066513896,17792.752687323853,11189.897291978814,36364.711436980644,14192.824962847813,18599.53484130298,13491.286242919336,153569.7128074184,4573.752368743654,230405.46819367842,16833.7416070049,3068.6757356318594
1995-01-01,13380.018698032509,411.0279304442139,4670.000240346081,41849.614224707606,5476.16342938042,12441.096859581045,78227.92138249187,33066.50388642623,5737.506647019439,18098.4507023732,11036.316623882685,36082.68314766973,14118.669171072379,19090.088403139387,13361.767364986128,150591.98594656918,4537.37905298368,224282.52827607738,16266.171293612104,2637.4019497709146
1996-01-01,13167.155216240675,465.2183279980566,4881.538548925056,44549.700172778525,5698.1168571630915,13491.5408940274,82253.27001713282,35556.76685558136,6309.271923446899,19349.9780577811,12561.628977321157,37440.24075893787,14206.19214324406,19811.249537657302,13622.361672988529,158857.68992695826,5253.746388415734,235857.21355567535,17613.881345151993,3155.148155019805
1997-01-01,13194.737884902457,500.49795978024554,4915.068965669674,48626.63638088439,6163.813990362385,15728.601446178505,89129.35662777766,39322.59608873683,7099.677741251913,21519.24047276441,14347.93513322757,39310.63203563862,14081.52856133899,20592.17810547532,14892.270884190093,171166.05902262373,6300.239833534051,253995.17581686733,19283.63862272151,4162.503182791366
1998-01-01,14444.73079930959,446.1813333131366,4726.670867704568,49525.62427145914,6634.312047178561,17094.670936447394,92872.1902554124,40450.69622989456,7551.43523125318,23425.267395277162,16994.902974657,40443.15410077261,13997.92586901376,20901.60937840771,15413.033353761271,179178.02453303727,8347.864696692706,263702.35009175696,19926.441468693614,4494.513047273345
1999-01-01,14824.411556558643,434.1262916951028,4572.119785903575,45598.803211098784,6872.850251907194,15751.905118358674,88054.21621552197,37464.43847951226,7236.1347147237475,23121.197363207935,17069.575804730885,40088.77940115409,14268.740180188233,21600.796591601902,15414.204978353942,176263.86751347297,8341.87155936371,255976.2121696312,18518.202995130312,3874.598706956307
2000-01-01,14567.049539956755,423.734059723148,4879.579199951944,43855.46142387549,7325.316841853617,14284.167520030433,85335.30858539138,36386.75241415878,7235.899065262778,23521.78413016597,17441.877727627107,40451.32509220873,14367.177742668919,22158.099166509757,15635.34532936189,177198.26066796394,8408.852112189477,254124.71714116583,18217.743644125367,3830.2245673588377
2001-01-01,14612.295861208233,536.14384790727,5107.118687220187,40626.82785450081,7407.048903319062,12627.051186353689,80916.48634050925,33513.579599900804,6708.172429848657,22446.331387038597,15887.1525709772,39440.82664861068,14130.903474475852,22470.960354560535,15485.08839275534,170083.0148581677,6947.4870426174975,244052.01415605942,16773.572000501452,3171.088210256362
2002-01-01,14369.710322338477,432.65476875382797,4916.015029896548,36176.069201442595,7182.454747611405,8409.599200610603,71486.50327065345,27324.93566028621,6152.190541007824,20664.286771031308,12755.18912936691,37237.98895943751,14004.107723069046,22400.451537262314,13960.044460847448,154499.19478230856,4668.364141650049,221317.33391131196,12500.835364067167,1417.4274775278689
2003-01-01,15381.779860227996,437.775969890184,5099.033140679838,41952.37016231043,7680.70014551353,11300.054170103005,81851.71344872499,30860.713103240014,6521.802709177116,22362.796891607373,10745.824370594859,38702.399784803216,14158.401199760294,23016.16105872991,14609.791989962892,160977.89110787568,3029.3921828792954,239800.21237372138,14051.832301306305,2171.417700113328
2004-01-01,15223.503544811834,354.3436865904753,5077.542793451024,46976.6095428206,8183.446394824716,14622.71821787663,90438.16418037529,35050.441468027,6978.03391020277,25370.290876804513,10150.148366225483,40363.56832098751,14415.13055375699,23694.740809263763,15944.734179390402,171967.08848465842,2233.481819528698,260171.770845505,15776.317279505321,3193.20050671389
2005-01-01,17004.914668559933,303.7459711949665,5068.146161699676,50480.320867741655,8594.530402959725,17605.251751704905,99056.90982386086,38489.34421819336,7530.162291275332,29130.82721314422,11930.74225112714,42186.978976280465,14896.475711709561,24682.921434313997,17507.555503135423,186355.00759917952,2637.951667272176,282773.96575576824,18042.80212751803,3946.760667009246
2006-01-01,17264.767968838714,496.6595261389127,5218.57896671278,54974.9308623342,9022.716477172378,20750.909192541923,107728.56299373892,41587.07317652282,8079.071735728802,33049.12317206757,14573.19994954932,43959.01512977763,15560.62496002038,25748.933307108673,18854.10407976379,201411.14551053898,3233.5316726611018,305906.1768316168,20098.443906662043,4560.349733950137
2007-01-01,19037.054171736043,465.0379172423829,5194.509338479488,59152.87918862675,9541.185368384624,22806.44365782226,116197.10964229156,46219.137817555515,8745.29233979031,37568.43980692654,17279.559381815277,46017.670724389965,16133.964631045505,26996.05333039139,20053.71975514935,219013.83778706385,3848.3413254686634,331362.60610388673,22252.14878117645,5555.148061307783
2008-01-01,18522.971885991738,484.3042602529675,5249.747451833015,61841.92692078538,9863.038791601886,23641.21775845067,119603.20706891567,49869.815096846796,9416.874836262137,42128.73126353574,20279.167643523342,48902.44932786336,16758.140185287077,28223.471299521058,21295.67777840743,236874.32743124693,4338.122588378519,352139.4119117841,25017.456642842903,6287.3146955411175
2009-01-01,15601.416446851048,426.62128916980805,5193.468904858957,61502.972459379656,9954.402299132116,22743.564449346395,115422.44584873797,49751.23559587291,9486.036384084908,44859.57937695656,20436.471036390903,50878.46664109788,17608.586730839284,29425.868919959386,22114.232601806274,244560.47728700808,4273.73276363974,355709.19037210627,25911.054795085016,5084.139565345396
2010-01-01,20046.01994115607,472.49273539752846,5113.22934494524,67547.33931113304,10566.67811025804,23915.44476537796,127661.20420826788,56245.06098652554,10179.588766311763,49604.96960899093,22224.907129560124,52981.81566454272,18486.367956814698,30778.015888695474,22734.54610179709,263235.27210323827,4259.272533312882,386637.20377819333,28448.514892166924,7044.333490985096
2011-01-01,19557.43711804254,511.25033839078776,4933.215237665203,74962.4959448955,11049.00757328644,26084.76379120859,137098.17000348907,64486.49246754526,10963.794386478956,54230.59386619036,26943.59617818874,55661.17833103087,19219.946787499262,32215.880759700987,23560.30222948255,287281.78500611696,5502.847704931513,418877.1073046746,32195.891438312043,8498.105953008213
2012-01-01,17342.1299228508,502.41247016463353,4980.050477171526,74659.5114357713,11582.944796229216,25395.945712780165,134462.99481496765,65739.1827302554,11136.652239864248,56917.83969277576,32211.24474428486,55859.63359482646,20007.612077784066,33540.241697908394,23864.23826763533,299276.6450453345,6926.257570500568,426813.3822898016,33320.392363137944,8167.242144797346
