"","anio","unidad","tipo_de_renta","valor","autor"
"1",2010,"Millones de USD","regalias",1762.5,"Ramon"
"2",2010,"Millones de USD","renta_consumidores",61.3,"Ramon"
"3",2010,"Millones de USD","renta_empresas",6874,"Ramon"
"4",2010,"Millones de USD","renta_estado_total",3888,"Ramon"
"5",2010,"Millones de USD","renta_refinadoras",4007,"Ramon"
"6",2010,"Millones de USD","renta_sobrevaluacion",113,"Ramon"
"7",2010,"Millones de USD","renta_total",14830,"Ramon"
"8",2010,"Millones de USD","retenciones",2724,"Ramon"
"9",2011,"Millones de USD","regalias",1919.5,"Ramon"
"10",2011,"Millones de USD","renta_consumidores",1810.8,"Ramon"
"11",2011,"Millones de USD","renta_empresas",2977,"Ramon"
"12",2011,"Millones de USD","renta_estado_total",6099,"Ramon"
"13",2011,"Millones de USD","renta_refinadoras",5610,"Ramon"
"14",2011,"Millones de USD","renta_sobrevaluacion",47,"Ramon"
"15",2011,"Millones de USD","renta_total",16497,"Ramon"
"16",2011,"Millones de USD","retenciones",4255,"Ramon"
"17",2012,"Millones de USD","regalias",2117,"Ramon"
"18",2012,"Millones de USD","renta_consumidores",248.2,"Ramon"
"19",2012,"Millones de USD","renta_empresas",2616,"Ramon"
"20",2012,"Millones de USD","renta_estado_total",6930,"Ramon"
"21",2012,"Millones de USD","renta_refinadoras",5976,"Ramon"
"22",2012,"Millones de USD","renta_sobrevaluacion",179,"Ramon"
"23",2012,"Millones de USD","renta_total",15769,"Ramon"
"24",2012,"Millones de USD","retenciones",4635,"Ramon"
"25",2013,"Millones de USD","regalias",2022.7,"Ramon"
"26",2013,"Millones de USD","renta_consumidores",86.7,"Ramon"
"27",2013,"Millones de USD","renta_empresas",8029,"Ramon"
"28",2013,"Millones de USD","renta_estado_total",1194,"Ramon"
"29",2013,"Millones de USD","renta_refinadoras",5712,"Ramon"
"30",2013,"Millones de USD","renta_sobrevaluacion",112,"Ramon"
"31",2013,"Millones de USD","renta_total",15932,"Ramon"
"32",2013,"Millones de USD","retenciones",1923,"Ramon"
"33",2014,"Millones de USD","regalias",2127.7,"Ramon"
"34",2014,"Millones de USD","renta_consumidores",55,"Ramon"
"35",2014,"Millones de USD","renta_empresas",8635,"Ramon"
"36",2014,"Millones de USD","renta_estado_total",463,"Ramon"
"37",2014,"Millones de USD","renta_refinadoras",3163,"Ramon"
"38",2014,"Millones de USD","renta_sobrevaluacion",226,"Ramon"
"39",2014,"Millones de USD","renta_total",14830,"Ramon"
"40",2014,"Millones de USD","retenciones",1306,"Ramon"
"41",2015,"Millones de USD","regalias",2042.5,"Ramon"
"42",2015,"Millones de USD","renta_consumidores",0,"Ramon"
"43",2015,"Millones de USD","renta_empresas",4088,"Ramon"
"44",2015,"Millones de USD","renta_estado_total",144,"Ramon"
"45",2015,"Millones de USD","renta_refinadoras",0,"Ramon"
"46",2015,"Millones de USD","renta_sobrevaluacion",127,"Ramon"
"47",2015,"Millones de USD","renta_total",5883,"Ramon"
"48",2015,"Millones de USD","retenciones",0,"Ramon"
"49",1992,"Millones de USD","renta_total",2496.9,"Barrera"
"50",1993,"Millones de USD","renta_total",2517.2,"Barrera"
"51",1994,"Millones de USD","renta_total",2269.2,"Barrera"
"52",1995,"Millones de USD","renta_total",3050.8,"Barrera"
"53",1996,"Millones de USD","renta_total",4419.8,"Barrera"
"54",1997,"Millones de USD","renta_total",4361.5,"Barrera"
"55",1998,"Millones de USD","renta_total",2657.4,"Barrera"
"56",1999,"Millones de USD","renta_total",4014.1,"Barrera"
"57",2000,"Millones de USD","renta_total",7018.4,"Barrera"
"58",2001,"Millones de USD","renta_total",5613,"Barrera"
"59",2002,"Millones de USD","renta_total",6010.9,"Barrera"
"60",2003,"Millones de USD","renta_total",6910.5,"Barrera"
"61",2004,"Millones de USD","renta_total",9088,"Barrera"
"62",2005,"Millones de USD","renta_total",11931.3,"Barrera"
"63",2006,"Millones de USD","renta_total",13447.8,"Barrera"
"64",2007,"Millones de USD","renta_total",14264.5,"Barrera"
"65",2008,"Millones de USD","renta_total",19918,"Barrera"
"66",2009,"Millones de USD","renta_total",10941.4,"Barrera"
"67",2010,"Millones de USD","renta_total",14008.2,"Barrera"
"68",1999,"Millones de USD","renta_estado_total",984,"Campodonico"
"69",2000,"Millones de USD","renta_estado_total",1903,"Campodonico"
"70",2001,"Millones de USD","renta_estado_total",1833,"Campodonico"
"71",2002,"Millones de USD","renta_estado_total",1910,"Campodonico"
"72",2003,"Millones de USD","renta_estado_total",2281,"Campodonico"
"73",2004,"Millones de USD","renta_estado_total",2689,"Campodonico"
