Año de presentación de la DDJJ,Empresa informante,idempresa,Área/Permiso/Concesión,idconcesion,Yacimiento,Cuenca,Ubicación,Provincia,Período del plan de acción,Estado de la DDJJ,Descripción del plan de acción (Conceptos),Cant. Exploracion,Millones u$s Exploracion,Cant. Explotacion,Millones u$s Explotacion,Cant. Exploracion Complementaria,Millones u$s Exp. Complementaria,Fecha Inicio Tareas,Fecha Fin Tareas,Tipo de explotación
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales previstas,Cerrada,Reparación de Pozos de Petróleo(pozos),0,0,2,1.345,0,0,1900-01-01,1900-01-01,Convencional
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales previstas,Cerrada,Reparación y Actualización de Motores y Compresores,0,0,1,0.4,0,0,1900-01-01,1900-01-01,Convencional
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales previstas,Cerrada,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",0,0,1,0.5,0,0,1900-01-01,1900-01-01,Convencional
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales previstas,Cerrada,Medio Ambiente,0,0,1,0.45,0,0,1900-01-01,1900-01-01,Convencional
2016,SAN JORGE PETROLEUM S.A.,1198,FONDO DE LA LEGUA,3101,BLOQUE I,NEUQUINA,On Shore,Neuquén,Inversiones anuales previstas,Cerrada,Perforación Pozos Productores de Gas(pozos),0,0,2,1.3,0,0,2016-07-01,2016-12-31,Convencional
2016,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones anuales previstas,Cerrada,Reparación de Pozos de Petróleo(pozos),0,0,3,1.780,0,0,2016-02-01,2016-04-30,Convencional
2016,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones anuales previstas,Cerrada,Instalaciones Recuperación Secundaria,0,0,0,0.6,0,0,2016-05-01,2016-07-31,Convencional
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales previstas,Abierta,Perforación Pozos Avanzada(pozos),0,0,2,4.98,0,0,1900-01-01,1900-01-01,Convencional
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales previstas,Abierta,Perforación Pozos Productores de Petróleo(pozos),0,0,22,24.45,0,0,1900-01-01,1900-01-01,Convencional
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales previstas,Abierta,Perforación Pozos Inyectores de Agua(pozos),0,0,4,3.49,3,0.81,1900-01-01,1900-01-01,Convencional
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales previstas,Abierta,Reparación de Pozos de Petróleo(pozos),0,0,67,8.41,0,0,1900-01-01,1900-01-01,Convencional
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales previstas,Abierta,Reparación de Pozos de Gas(pozos),0,0,2,0.20,0,0,1900-01-01,1900-01-01,Convencional
