Año de presentación de la DDJJ,Empresa informante,idempresa,Área/Permiso/Concesión,idconcesion,Yacimiento,Cuenca,Ubicación,Provincia,Período del plan de acción,Estado de la DDJJ,Descripción del plan de acción (Conceptos),Cant. Exploracion,Millones u$s Exploracion,Cant. Explotacion,Millones u$s Explotacion,Cant. Exploracion Complementaria,Millones u$s Exp. Complementaria,Fecha Inicio Tareas,Fecha Fin Tareas,Tipo de explotación,indice_tiempo
2016,INGENIERIA SIMA S.A.,309,LA PENDIENTE,459,LA PENDIENTE,NEUQUINA,On Shore,Neuquén,Inversiones anuales realizadas el año anterior,Cerrada,Reparación de Pozos de Petróleo(pozos),0,2,0,0,0,0,,,Convencional,2016-01
2016,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones anuales realizadas el año anterior,Cerrada,Reparación de Pozos de Petróleo(pozos),0,0,3,2.795,0,0,,,Convencional,2016-01
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales realizadas el año anterior,Cerrada,Reparación de Pozos de Petróleo(pozos),0,0,4,1.682,0,0,,,Convencional,2016-01
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales realizadas el año anterior,Cerrada,Plantas de Almacenaje,0,0,1,0.4,0,0,,,Convencional,2016-01
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales realizadas el año anterior,Cerrada,"Edificios, Almacenes, Obras Civiles, Caminos, etc.",0,0,1,1.1,0,0,,,Convencional,2016-01
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales realizadas el año anterior,Cerrada,Medio Ambiente,0,0,1,0.25,0,0,,,Convencional,2016-01
2016,INGENIERIA ALPA S.A.,167,EL VALLE,423,EL VALLE,GOLFO SAN JORGE,On Shore,Santa Cruz,Inversiones anuales realizadas el año anterior,Cerrada,Otras Inversiones,0,0,1,0.165,0,0,,,Convencional,2016-01
2016,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones anuales realizadas el año anterior,Cerrada,Instalaciones Recuperación Asistida,0,0,0,0.026,0,0,,,Convencional,2016-01
2016,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones anuales realizadas el año anterior,Cerrada,Baterias y Plantas de Deshidratación y/o Desalado,0,0,0,0.015,0,0,,,Convencional,2016-01
2016,ENERGICON S.A.,1214,TOTORAL,3142,TOTORAL,NEUQUINA,On Shore,Neuquén,Inversiones anuales realizadas el año anterior,Cerrada,Otras Inversiones,1,0.098,0,0,0,0,,,No Convencional,2016-01
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales realizadas el año anterior,Abierta,Perforación Pozos Avanzada(pozos),0,0,3,2.78,0,0,,,Convencional,2013-01
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales realizadas el año anterior,Abierta,Perforación Pozos Productores de Petróleo(pozos),0,0,21,25.84,0,0,,,Convencional,2013-01
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales realizadas el año anterior,Abierta,Perforación Pozos Inyectores de Agua(pozos),0,0,4,3.24,0,0,,,Convencional,2013-01
2013,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,61,DIADEMA,396,DIADEMA,GOLFO SAN JORGE,On Shore,Chubut,Inversiones anuales realizadas el año anterior,Abierta,Reparación de Pozos de Petróleo(pozos),0,0,73,8.38,0,0,,,Convencional,2013-01
