Año de presentación de la DDJJ,Empresa informante,idempresa,Área/Permiso/Concesión,idconcesion,Yacimiento,Cuenca,Ubicación,Provincia,Período del plan de acción,Estado de la DDJJ,Año de la previsión declarado,Descripción del plan de acción (Conceptos),Cant. Exploracion,Millones u$s Exploracion,Cant. Explotacion,Millones u$s Explotacion,Cant. Exploracion Complementaria,Millones u$s Exp. Complementaria,Hombres hora,Fecha Inicio Tareas,Fecha Fin Tareas,Tipo de explotación
2016,OILSTONE ENERGIA S.A.,1275,PUESTO CORTADERA,3064,PUESTO CORTADERA,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2017,Oleoductos(km),0,0,0,0.130,0,0,1139,,,Convencional
2016,OILSTONE ENERGIA S.A.,1275,PUESTO CORTADERA,3064,PUESTO CORTADERA,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2017,Baterias y Plantas de Deshidratación y/o Desalado,0,0,0,0.080,0,0,701,,,Convencional
2016,OILSTONE ENERGIA S.A.,1275,PUESTO CORTADERA,3064,PUESTO CORTADERA,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2017,Plantas de Compresión de Gas Natural,0,0,0,0.260,0,0,2277,,,Convencional
2016,SAN JORGE PETROLEUM S.A.,1198,CONFLUENCIA SUR,371,CONFLUENCIA SUR,NEUQUINA,On Shore,Mendoza,Inversiones previstas hasta el fin de la concesión,Cerrada,2018,Perforación Pozos Productores de Petróleo(pozos),0,0,1,2.5,0,0,4320,,,Convencional
2016,SAN JORGE PETROLEUM S.A.,1198,FONDO DE LA LEGUA,3101,BLOQUE I,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2017,Perforación Pozos Productores de Gas(pozos),0,0,4,2.250,0,0,2800,,,Convencional
2016,SAN JORGE PETROLEUM S.A.,1198,FONDO DE LA LEGUA,3101,BLOQUE I,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2018,Perforación Pozos Productores de Gas(pozos),0,0,3,1.6,0,0,2100,,,Convencional
2016,ENERGICON S.A.,1214,TOTORAL,3142,TOTORAL,NEUQUINA,On Shore,Neuquén,Inversiones previstas hasta el fin de la concesión,Cerrada,2017,Perforación Pozos Productores de Petróleo(pozos),2,7,0,0,0,0,0,,,No Convencional
2016,PETROLERA EL TREBOL S.A.,1011,ATAMISQUI,28,ATAMISQUI,CUYANA,On Shore,Mendoza,Inversiones previstas hasta el fin de la concesión,Cerrada,2017,Abandono de Pozos(pozos),0,0,2,0.080,0,0,0,2017-01-01,2017-12-31,Convencional
2016,PETROLERA EL TREBOL S.A.,1011,ATAMISQUI,28,ATAMISQUI,CUYANA,On Shore,Mendoza,Inversiones previstas hasta el fin de la concesión,Cerrada,2018,Abandono de Pozos(pozos),0,0,2,0.080,0,0,0,2018-01-01,2018-12-31,Convencional
2016,PETROLERA EL TREBOL S.A.,1011,ATAMISQUI,28,ATAMISQUI,CUYANA,On Shore,Mendoza,Inversiones previstas hasta el fin de la concesión,Cerrada,2017,Otras Inversiones,0,0,1,0.170,0,0,0,2017-01-01,2017-12-31,Convencional
