AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
1993;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1994;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1995;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1996;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1997;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1998;1; -   ; -   ; -   ; -   ; -   ; -   ; -   
;2; -   ; -   ; -   ; -   ; -   ; -   ; -   
;3; -   ; -   ; -   ; -   ; -   ; -   ; -   
;4; -   ; -   ; -   ; -   ; -   ; -   ; -   
;5; -   ; -   ; -   ; -   ; -   ; -   ; -   
;6; -   ; -   ; -   ; -   ; -   ; -   ; -   
;7; -   ; -   ; -   ; -   ; -   ; -   ; -   
;8; -   ; -   ; -   ; -   ; -   ; -   ; -   
;9; -   ; -   ; -   ; -   ; -   ; -   ; -   
;10; -   ; -   ; -   ; -   ; -   ; -   ; -   
;11; -   ; -   ; -   ; -   ; -   ; -   ; -   
;12; -   ; -   ; -   ; -   ; -   ; -   ; -   
1999;1; -   ; 30.87 ; -   ; -   ; 45.16 ; -   ; 40.58 
;2; -   ; 30.86 ; -   ; -   ; 45.43 ; -   ; 40.94 
;3; -   ; 30.71 ; -   ; -   ; 45.43 ; -   ; 41.73 
;4; -   ; 30.86 ; -   ; -   ; 44.71 ; -   ; 40.76 
;5; -   ; 29.48 ; -   ; -   ; 48.88 ; -   ; 42.41 
;6; -   ; 27.68 ; -   ; -   ; 49.06 ; -   ; 44.52 
;7; -   ; 30.89 ; -   ; -   ; 48.90 ; -   ; 43.15 
;8; -   ; 29.81 ; -   ; -   ; 48.86 ; -   ; 42.64 
;9; -   ; 29.68 ; -   ; -   ; 49.11 ; -   ; 40.78 
;10; 26.55 ; 31.77 ; -   ; -   ; 47.92 ; 40.60 ; 38.59 
;11; 29.86 ; 29.43 ; -   ; -   ; 46.03 ; 40.60 ; 39.93 
;12; 26.27 ; 28.78 ; -   ; -   ; 45.96 ; -   ; 36.73 
2000;1; 29.75 ; 28.68 ; -   ; -   ; 45.74 ; 42.26 ; 40.20 
;2; 35.93 ; 29.29 ; -   ; -   ; 45.84 ; 42.26 ; 41.15 
;3; 36.97 ; 29.11 ; -   ; -   ; 45.84 ; 42.26 ; 41.76 
;4; 38.08 ; 28.94 ; -   ; -   ; 45.88 ; 42.26 ; 40.63 
;5; 37.60 ; 30.10 ; -   ; -   ; 54.54 ; 44.69 ; 47.83 
;6; 38.20 ; 31.11 ; -   ; -   ; 54.75 ; 44.77 ; 45.75 
;7; 39.71 ; 30.10 ; -   ; -   ; 54.85 ; 44.77 ; 46.52 
;8; 41.81 ; 30.22 ; -   ; -   ; 54.41 ; 45.13 ; 45.75 
;9; 39.09 ; 29.71 ; -   ; -   ; 54.35 ; 44.77 ; 45.33 
;10; 41.46 ; 31.57 ; -   ; -   ; 51.48 ; 42.26 ; 44.15 
;11; 44.87 ; 31.86 ; -   ; -   ; 53.38 ; 42.26 ; 45.52 
;12; 47.17 ; 32.79 ; -   ; -   ; 51.73 ; 42.26 ; 45.49 
2001;1; 50.21 ; 34.67 ; -   ; -   ; 52.64 ; 47.12 ; 49.05 
;2; 51.66 ; 37.56 ; -   ; -   ; 52.48 ; 50.51 ; 50.52 
;3; 54.49 ; 39.36 ; -   ; 39.85 ; 52.73 ; 50.13 ; 49.20 
;4; 55.95 ; 41.28 ; -   ; 41.80 ; 52.56 ; 48.20 ; 49.31 
;5; 57.79 ; 42.67 ; -   ; 43.13 ; 57.50 ; 49.82 ; 53.25 
;6; 58.01 ; 42.06 ; -   ; -   ; 58.13 ; 48.89 ; 51.78 
;7; 61.71 ; 41.30 ; -   ; 44.29 ; 65.56 ; 49.89 ; 55.30 
;8; 58.61 ; 40.39 ; -   ; 43.48 ; 62.42 ; 48.91 ; 53.74 
;9; 56.04 ; 43.25 ; -   ; 42.56 ; 57.45 ; 49.50 ; 51.98 
;10; 52.39 ; 41.99 ; -   ; 41.04 ; 53.87 ; 49.87 ; 49.98 
;11; 38.17 ; 39.55 ; -   ; 39.27 ; 52.12 ; 49.10 ; 49.09 
;12; 71.68 ; 60.66 ; -   ; 60.19 ; 77.47 ; 77.40 ; 73.57 
2002;1; 78.31 ; 65.22 ; -   ; -   ; 94.25 ; 82.52 ; 86.86 
;2; 95.68 ; 72.17 ; -   ; -   ; 123.33 ; 103.65 ; 111.04 
;3; 107.66 ; 93.06 ; -   ; -   ; 150.76 ; 127.67 ; 139.93 
;4; 107.27 ; 94.00 ; -   ; -   ; 169.09 ; 143.52 ; 152.74 
;5; 108.07 ; 98.23 ; -   ; -   ; 192.30 ; 161.87 ; 169.12 
