AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL CUENCA
1991;1;0;0;0;0;0;0;0
;2;0;0;0;0;0;0;0
;3;0;0;0;0;0;0;0
;4;0;0;0;0;0;0;0
;5;0;0;0;0;0;0;0
;6;0;0;0;0;0;0;0
;7;0;0;0;0;0;0;0
;8;0;0;0;0;0;0;0
;9;0;0;0;0;0;0;0
;10;0;0;0;0;0;0;0
;11;0;0;0;0;0;0;0
;12;0;0;0;0;0;0;0
1992;1;0;0;0;0;0;0;0
;2;0;0;0;0;0;0;0
;3;0;0;0;0;0;0;0
;4;0;0;0;0;0;0;0
;5;0;0;0;0;0;0;0
;6;0;0;0;0;0;0;0
;7;0;0;0;0;0;0;0
;8;0;0;0;0;0;0;0
;9;0;0;0;0;0;0;0
;10;0;0;0;0;0;0;0
;11;0;0;0;0;0;0;0
;12;0;0;0;0;0;0;0
1993;1;0;107.6068319;98.73583595;93.97143776;104.9024496;106.9866982;100.9998838
;2;0;107.5254696;104.1055517;99.43217298;104.5402353;106.8178735;103.147076
;3;128.8;114.6373884;105.6443012;100.7639409;110.7155434;110.2252626;107.3373093
;4;131.88;116.0145894;106.1249675;101.4626056;106.8514039;108.5531656;105.7288983
;5;0;115.0105124;104.5010666;99.10090162;105.4399852;110.027751;104.0130182
;6;130.17;98.34153199;99.21774113;95.80131743;100.0019261;107.4564227;99.15713443
;7;114.8798003;103.7495604;92.88339585;88.61564279;97.29773648;96.33612176;93.67129602
;8;107.32;100.2635813;93.12656689;89.52049185;98.30518318;93.05356861;94.58969393
;9;0;98.83582426;96.44064174;90.16404769;95.97408038;89.03103348;93.50933375
;10;101.69;100.5180773;93.19046786;89.78843161;98.99425633;94.76040729;94.91320577
;11;0;95.02443785;85.10710679;81.59309953;89.25206723;90.27416712;85.67717714
;12;92.61;84.21271781;73.83564796;69.73024389;75.79732034;76.15694376;73.95971291
1994;1;0;82.8700392;77.99288557;69.42469095;74.93439798;75.75837396;73.7887622
;2;84.32;81.76293799;77.07309626;71.1171151;77.79969178;80.398208;76.00017656
;3;85.70999755;78.63628542;76.32132775;69.20361239;83.41630432;77.97250383;77.8093327
;4;95.89;86.45258358;85.94371918;76.88432161;84.57936415;84.32612187;82.19878158
;5;105.62;99.74094068;94.65523504;85.9162959;95.42380126;91.43483985;92.36884754
;6;110.43;105.8810196;100.988401;93.5288365;103.9195668;96.37300253;100.3897341
;7;118.44;108.1906865;104.9360024;98.24765631;109.76631;99.42227498;105.165399
;8;0;106.4322924;98.15965199;92.61105063;99.81300295;100.5034415;97.70653189
;9;0;100.9472993;92.43777153;86.78042498;94.37511235;96.0591165;92.31200194
;10;0;103.0650998;94.4455335;91.17773052;96.05943871;93.46728959;94.48413141
;11;0;105.3264158;96.5066251;92.01157663;98.516293;94.91377008;95.97772461
;12;0;100.5472961;91.27177005;84.77597243;93.52415606;94.64892592;90.93982748
1995;1;0;102.6819518;95.75245139;92.08004045;97.70666755;93.65662521;95.68119096
;2;108.43;104.4964777;98.85779905;94.29928967;101.3260359;97.42388278;98.54306814
;3;0;104.4894437;99.09671771;94.67806114;101.0445652;98.07084475;99.18587944
;4;116.2623621;108.8174067;106.7506804;104.1049967;107.3293135;100.5675348;106.3822637
;5;0;111.1657641;107.0275134;103.970486;108.3578125;100.4859815;106.6713092
;6;0;102.6842591;100.0227303;96.11264523;101.5497938;101.1117356;99.88847597
;7;0;102.210134;92.76653905;89.05205489;98.31387822;92.93851352;94.53247616
;8;0;103.5143749;96.1904619;91.86556182;101.3865673;92.15393784;97.45214572
;9;0;104.0145053;97.54922091;94.00428328;103.7062258;97.25028681;100.623696
;10;0;101.8162552;93.32432424;89.26475606;99.03147641;93.39771841;94.91262779
;11;0;104.926784;96.20368186;91.89392845;101.3306503;95.31146386;97.87765723
;12;0;111.8844608;102.3441014;97.92169046;107.8099766;99.85725375;104.2941544
1996;1;110.82;111.7754194;101.7525211;97.62457882;109.2435831;99.66194244;104.1238563
;2;0;111.1173801;101.8927874;100.7635864;108.7770281;103.4896968;104.8423951
;3;109.74;123.9155093;115.4183124;115.9505164;120.3881673;115.0448181;118.4577133
;4;128.9657744;128.0366052;125.7572389;129.2095455;135.0049405;128.2813721;130.952494
;5;0;123.529206;116.2779809;114.6600435;123.79196;114.7834809;119.3109088
;6;0;116.4461549;111.0929271;110.8111321;119.5933788;110.8163859;115.9076563
;7;0;121.9830686;116.0965349;116.3820531;125.0243087;116.3945522;120.6726314
;8;0;127.3104035;119.2276575;122.1830213;129.1273048;121.1929747;125.4076606
;9;145.71;139.0801568;130.5308597;133.8785508;139.8539893;132.7022088;136.8454095
;10;150.603413;145.2307246;136.8777359;139.3912298;146.612975;138.4990445;142.9235101
;11;145.57;139.5143716;131.1739758;136.3429723;140.0950071;131.9873814;137.6364397
;12;154.1370828;143.2609142;138.6504157;143.2378168;146.5975581;141.0023638;144.2079627
1997;1;157.2875194;107.4802365;139.204181;143.2083355;148.7819709;141.2024733;143.3530234
;2;134.8615731;124.8732617;123.4956161;123.2754914;135.8106398;123.5179948;130.1515641
;3;127.5091982;122.7218499;114.8592785;115.2488474;124.1518917;115.5628307;120.3007822
;4;0;115.0316651;107.6815782;106.1452804;116.1717913;109.3527623;111.3647333
;5;119.7925983;119.1199875;113.1059543;111.7094923;122.3540349;115.1355711;116.9309836
;6;113.3209831;108.7642952;105.3789425;104.8124206;114.8150275;106.0989545;110.3217087
;7;117.2801248;109.603881;105.2343022;102.4265715;115.2344033;107.4451986;109.5272375
;8;0;109.2227183;107.4295471;103.5273733;117.5938905;107.1634794;110.8028734
;9;121.5370697;110.9178174;105.0909225;103.5842358;115.8869198;109.9599473;110.911231
;10;125.5511109;119.9591892;113.2053025;110.0148431;127.0427902;116.2114978;119.5342026
;11;114.849361;110.8063672;107.4424146;102.4574506;120.505473;110.1860314;113.3388841
;12;107.1497571;98.68413033;96.74539676;95.08343209;109.2974928;99.12924774;103.4235577
1998;1;97.94877237;90.3622835;88.29433509;84.84915163;96.79198169;88.63565059;91.75809129
;2;97.27883748;88.95245504;84.51465818;81.72694494;91.72417759;83.8731027;87.88881052
;3;89.28157973;82.05877907;78.82801116;75.37436385;84.91928207;78.37519992;81.40165791
;4;91.76112341;82.54616675;80.70257509;75.18351051;86.2120926;79.85941329;81.95671015
;5;0;78.06321806;78.98385744;69.79755914;86.49255132;76.80830373;79.95442829
;6;0;66.33592588;71.16276138;61.14317811;78.01382323;69.14149247;71.34220306
;7;0;70.85326153;73.25943349;64.08456485;80.39011422;72.71622638;73.59857953
;8;0;65.42859017;67.9517409;59.24460371;76.77129965;68.71172042;70.01309949
;9;93.4195;76.53291571;77.57531371;70.63504423;85.51512046;77.20791682;79.86791372
;10;0;74.19882427;74.58650318;65.77141726;83.08827147;74.19948897;75.90094166
;11;0;67.34367417;66.1661718;59.70949068;71.40669691;64.27172551;67.30738865
;12;63.1486231;55.76924593;55.44893059;50.94693765;60.68434676;54.62313906;56.88970461
1999;1;74.32903151;63.86762587;62.86767253;57.33485146;66.47475582;62.07679224;63.58505916
;2;70.2525;61.10683091;58.4931221;56.26264428;64.49255009;59.76143612;61.47373552
;3;0;79.58350358;75.44344614;72.39828397;80.74897594;76.22363733;77.79644781
;4;97.67090234;93.15162079;91.64916716;87.5464016;96.42968125;93.03530558;93.04186581
;5;107.9253038;97.32440043;94.19694979;94.84501434;99.86295656;94.18241786;97.67722189
;6;0;97.96512308;95.97947883;96.06654173;101.5295268;95.76295443;99.19350242
;7;0;105.6002355;109.1904903;109.5880656;114.8938562;109.5714368;111.9608063
;8;0;122.0847966;116.0236733;117.811429;122.5348106;117.373814;120.2227085
;9;147.820655;136.0218651;129.5835242;133.9057823;135.7629855;133.792847;134.5657962
;10;133.2096798;133.730962;125.038374;129.2634498;131.4878941;127.7365819;130.2583691
;11;137.9395766;134.4270596;136.8128886;143.0341809;144.1560701;143.4627303;142.517099
;12;162.4187062;148.8064111;145.4170981;149.5151196;152.9386185;148.0970897;150.9616703
2000;1;151.4748997;155.8569239;151.4049702;156.8414978;160.7621309;156.0625437;158.0374568
;2;0;160.6840894;163.9031209;170.6352877;174.6867203;168.8299575;171.6443249
;3;0;171.9697846;166.9675034;178.2335353;177.5116467;173.1808686;176.2897996
;4;183.4785;165.0160219;144.1888266;151.5617194;155.2085798;146.5709986;152.9524349
;5;0;165.8073533;158.1013776;164.6406004;169.9704837;165.5032753;166.7334921
;6;0;177.5835272;173.4137026;182.2704047;186.0997247;185.3962427;183.3939779
;7;0;179.1050016;166.6781988;172.5444417;179.8563184;172.9047967;175.8755139
;8;172.2397273;182.7062249;171.7531507;171.9320942;187.544596;181.6176023;179.6772252
;9;211.7797165;199.4200942;189.6178066;197.168857;200.0730639;197.6156096;198.3801386
;10;200.4903098;192.7667182;182.0605271;189.2906739;199.6929072;192.8871321;194.060741
;11;202.249692;193.027014;190.9592226;193.184531;203.3228224;200.8663761;198.3916238
;12;217.8606149;177.7893595;155.3271613;159.3479613;177.0569538;162.1518832;169.0202645
2001;1;176.9261199;169.3779703;160.2190241;157.5596622;176.7453349;170.3259616;167.8945158
