Suma de USD;;CUENCA/PROVINCIA;;;;;;;;;;;
AÑO;MES;CHUBUT;ESTADO NACIONAL;FORMOSA;JUJUY;LA PAMPA;MENDOZA;NEUQUEN;RIO NEGRO;SALTA;SANTA CRUZ;TIERRA DEL FUEGO;TOTAL PROVINCIA
1991;1;5840361.51;0;631541.285;48803.32452;610089.5811;4914918.359;6623689.077;2712411.715;412250.1016;6692109.525;3264605.233;31750779.71
1991;2;4086888.986;0;484662.9392;34523.58353;453030.8607;3902497.873;4650199.749;1527892.453;279942.3876;4823290.337;2265273.587;22508202.76
1991;3;3709793.268;0;197048.0573;35816.85257;468805.6661;4017436.254;5873388.247;2261848.465;293353.7535;5430099.801;2486989.629;24774579.99
1991;4;4759505.005;0;447396.9222;35463.33446;468946.0441;4090014.622;6098303.011;1882276.96;338335.1523;4950318.346;2555040.54;25625599.94
1991;5;5001727.464;0;472604.8931;43273.26876;505362.7525;4214338.458;6459514.327;2168786.407;347309.6175;4902051.809;2588931.143;26703900.14
1991;6;4379897.546;0;416981.2057;38342.1291;459058.7788;3639819.206;5999598.313;2007566.884;474286.595;4460789.931;2927163.864;24803504.45
1991;7;4535588.724;0;495003.0726;41106.9806;502892.3201;4199748.103;5228297.822;2224358.741;587007.3681;4910658.201;2971508.725;25696170.06
1991;8;4574359.123;0;476261.058;42259.53804;507760.9497;3565973.349;6019641.665;2250043.658;623481.4626;5120522.596;2966453.316;26146756.71
1991;9;4528998.202;0;467827.8463;38342.69354;503353.2615;4038001.084;6837741.166;2288262.646;555007.97;5326981.392;2856417.201;27440933.46
1991;10;5178098.35;0;539110.5726;48488.39824;435172.0655;4759590.508;8372700.305;2663102.353;585402.56;5479921.529;3005532.022;31067118.66
1991;11;4744456.25;0;484639.3473;55644.46058;405763.0147;4545425.372;8267364.96;2384075.07;544413.08;5325870.971;3172424.344;29930076.87
1991;12;4315485.71;0;382985.7759;49330.05994;217998.8888;4126156.63;7072534.88;1991070.05;397743.19;4864291.509;2378352.596;25795949.29
1992;1;4095324;0;420737;32850;386791;3996604;7323428;1927123;320730;5474378;2704304;26682269
1992;2;3526470;0;387207;40247;410646;3462687;6937449;1845130;320847;4865534;1888948;23685165
1992;3;4333331;0;329961;42426;368332;4073294;7196642;1986209;430815;5563478;2220482;26544970
1992;4;3456443;0;431131;45431;381880;4272220;7982018;1906118;430554;5402375;2050335;26358505
1992;5;4756591;0;490914;51007;362898;4638882;9698512;2125322;476271;5644175;2577648;30822220
1992;6;5234934;0;432870;50500;432573;4726035;11042003;2716863;466844;6073129;1675253;32851004
1992;7;4702124;0;440878;51354;358948;4823498;10691202;2055577;524536;5449163;2164499;31261779
1992;8;5123215;0;430795;16385;399366;4396053;10129102;2006750;529020;5429283;1966699;30426668
1992;9;4884475;0;460864;27492.33;426330;4707482;10751803;2080458;515042;5773355;2558100;32185401.33
1992;10;5044554;0;411718;54984.66;377319;4842702;10734567;2125642;520786;6425566;2042795;32580633.66
1992;11;4756928;0;486089;54984.66;280819;4444187;9967116;1871539;442196;5615432;2113293;30032583.66
1992;12;4184322;0;381267;35963.9;188235;4417818;9900170;1781330;404516;5705389;2264330;29263340.9
1993;1;4166993;0;284724;22199;376922;4514870;10528984;2030816;437490;5680385;1523582;29566965
1993;2;5024160;0;456448;42649;338922;4165361;9254846;1757390;381420;5530064;2103767;29055027
1993;3;5079082;0;418095;60655;411305;4632330;9242746;2059723;463014;6288835;1422316;30078101
1993;4;4980913;0;392173;48112;385259;4433421;10200160;1994701;521619;6326851;2474773;31757982
1993;5;5101337;0;367473;40618;444623;4765365;11702183;2123464;520324;6239719;1960028;33265134
1993;6;4190255;0;342329;33496;352359;4255139;10559338;1720548;546656;5105533;1899339;29004992
1993;7;4685203;0;330349;37226;324701;4081277;10910864;1697415;509210;5594730;1820139;29991114
1993;8;4624477;0;322408;28291;347148;4118000;11298294;1634077;494537;5605645;1697941;30170818
1993;9;4771387;0;305096;33004;331189;4302522;10982253;1609744;486771;5392074;1551091;29765131
1993;10;4556115;0;314416;31882;348777;4156436;11943548;1815087;497705;5872049;1457258;30993273
1993;11;3951774;0;299110;29358;301936;3626550;10440460;1549274;455538;5251949;1560502;27466451
1993;12;3407994;0;233842;30999;269323;3197433;8934617;1342011;416230;4952733;1438102;24223284
1994;1;3448646;0;241280;29786;278422;3330623;9058665.3;1342721;390086;4640461.3;1211285;23971975.6
1994;2;3066840;0;226691;27381;236424;2945512;8949363;1234725;339098;4568747;1116910;22711691
1994;3;3337562;0;236801;29194;268425;3250414;10294499;1369970;401274;4906252;1112872;25207263
1994;4;3827118.3;0;273413;31463;275273;3625216.3;10476476;1292273;429611;5122919;1216866;26570628.6
1994;5;4344526;0;310309;31269;331555;4120302;12128770;1615389;503919;6262774;1352407;31001220
1994;6;4502254;0;291878;25065;343821;4261153;13945903;1653648;516170;6258736;1379245;33394895
1994;7;4934660;0;313911;29237;375550;4440072;15640457;1724771.3;587808;6639888;1454688.3;36585125.6
1994;8;4605256;0;316825;13671;333569;4202072;14419116;1643043.7;610275;6827497;1263909.7;34782739.4
1994;9;3885313;0;254980;44931;300617;3973809;13508944;1482900;515008;6119006;1239888;31863743
1994;10;4692263;0;296716;29242;323955;4133566;13765431;1623501;538929;6825626;1341663;34123177
1994;11;4604196.7;0;268225;28733;310701;4159744.7;13469911;1571991;548637;7327769;1361690;34319128.4
1994;12;4414723;0;260458;29909;334492;4119132;13407065;1569578;565207;7218172;1269371;33951809
1995;1;4185162.3;0;273253;30443;336879;4324631.3;13773393;1705046;549565;8489168;1462110;35129650.6
1995;2;4077782;0;250690;26578;328212;3982819;12619099;1554925.3;523039;8529954;1212601.3;33105699.6
1995;3;4711327;0;273692;28818;342029;4470990;14111436;1675288;561261;9621589;1392197;37188627
1995;4;4975192;0;268105;30103;353919;4730570;14220003;1734186;589786;9785337;1465781;38152982
1995;5;5142444;0;277385;31080;382937;4876891;15136826;1882493.7;607232;10614909;1427174.7;40379372.4
1995;6;4349142;0;244854;28918;314412;4475729;14226293.7;1677678;605596;9754313.7;1241761;36918697.4
1995;7;4352963.7;0;230601;27819;312314;4226422.7;13818975;1638443;558232;9357310;1158879;35681959.4
1995;8;4250638;0;231022;24395;311041;4445008;13716295;1667165.7;558144;9824271;1038642.7;36066622.4
1995;9;4341084;0;225295;22904;291439;4430280;13796162;1638142.3;547654;9673253;953992.3;35920205.6
1995;10;4488356;0;250152;24014;299789;4491456;13556424;1648740;531758;10004274;1110574;36405537
1995;11;4485664;0;251977;22769;299921;4469016;13326128.8;1576739;514542;10085991.8;1116989;36149737.6
1995;12;5117676.7;0;256412;24673;347391;4901495.7;14872180;1777818;555600;11186860;1175336;40215442.4
1996;1;5151397;0;246520;24686;402091;4930010;14461290.7;1900255;556739;10519862.7;1128554;39321405.4
1996;2;4826047;0;238732;22554;353236;4851099;13582922.3;1685765;508362;10349802.3;1277713;37696232.6
1996;3;6359207;0;277809;20244;428195;5878624;16251742.7;2094948;596610;13149856.7;1568776;46626012.4
1996;4;6640419;0;289762;12309;519474;6372351;17754348;2416011;672900;14082688;1774012;50534274
1996;5;6053301;0;265770;21756;459719;6246784;17710457;2203218;498742;13151419;1531681;48142847
1996;6;5930430.7;0;230936;30899;389674;5695718.7;12828702;1945891;596002;12666516;1602843;41917612.4
1996;7;6297820;0;267809;20453;473562;6194393;17522104;2339905.7;663514;14288193;1619868.7;49687622.4
1996;8;6602778;0;277168;20400;433673;6440321;17932470;2085853.3;734592;14480966;2230014.3;51238235.6
1996;9;7190944;0;318729;24295;492906;6975062;18978990;2431888.7;798043;15292526;2491538.7;54994922.4
1996;10;7782018;0;335994;29218;515440;7412242;15470110;2562236.3;881306;16387599;2697925.3;54074088.6
1996;11;7143360;0;296360;27706;456072;7454311;19381923;2366848.9;782388;15743973;2816605.9;56469547.8
1996;12;8003865;0;344071;23612;502140;8140402;20621671;2553629.8;867817;17340905;2724256.8;61122369.6
1997;1;8139478;0;330184.7;23040;500756;8292439;21456354;2547078;967261.7;16677168;2580108;61513867.4
1997;2;6231477;0;261014.3;17862;381527;6755867;18139203;2021874;831522.3;13367613;2083663;50091622.6
1997;3;6557003;0;267684.7;17247;373600;6701489;18459544;2069652;793654.7;13743523;2154153;51137550.4
1997;4;5851432;0;235782;21955;368372;6175492;16725737;1981437;875260;12448023;1785324;46468814
1997;5;6461156;0;258116.3;22763;399976;6709852;17831217;2127833;912327.3;12964354;1986114;49673708.6
1997;6;5153000;0;210004;20429;371167;6080200;16912190;1850004;867619;10723119;1708327;43896059
1997;7;5760709;0;222543;22071;323948;6328762;17399338;1883666;943476;10620294;1692824;45197631
1997;8;5724260;0;221355;22957;329934;6449646;17847582;1866042.3;965870;11559090;1914175.3;46900911.6
1997;9;5653645;0;208179;22907;417879;6266661;17571186;1968498;910069;11374755;1912062;46305841
1997;10;6004269.3;0;228815;44228;366282;6945873.3;19395316;2145570;984794;13031482;2055701;51202330.6
1997;11;5318547;0;205238;26140;340729;6455122;18317342;1919553;845335;11667290;1914609;47009905
1997;12;4936298.7;0;184517;23876;382267;5950521.7;16932512;1933320;761262;11357496;1724387;44186457.4
1998;1;4408276;0;159511;22698;271816;5528387;15044884;1624672;722307;9921517;1468551;39172619
1998;2;3863743;0;119698;17210;258245;4714715;12736297.3;1487574;622788;8524609.3;1308002;33652881.6
1998;3;3773242;0;134457;20134;288249;4915396;9941700;1645643;632649;8696325;1490679;31538474
1998;4;3861296.7;0;132238;23708;219765;4686913.7;11848711;1434867;642938;8234760;1478109;32563306.4
1998;5;3709610;0;130501;21718;221122;4818285;12676268;1401732;678350;8049051;1670790;33377427
1998;6;3112141.3;0;117407;20022;257496;4274748.3;11088235;1206271;573695;6812195;1552337;29014547.6
1998;7;3185769;0;156644;21787;208731;4405946;11462068;1281544;616350;7225306;1459679;30023824
1998;8;2962102.3;0;142313;21306;211949;4121150.3;10984778;1174962;592472;6781539;1598644;28591215.6
1998;9;3510288;0;163391;21112;338224;4431378;11817734;1518358;647048;7714786;1767382;31929701
1998;10;3438461;0;144663;21663;294797;4201718;11925912;1430809.3;645494;7292114;1572111.3;30967742.6
1998;11;2728798;0;109556.2;19652.1;268975;3862315;10098013;1326700;538766;6442310;1324342;26719427.3
1998;12;2411888;0;71447;19437;314253.2;3272242;8791403;1093574;495436.2;5260476;1120940;22851096.4
1999;1;2565399;0;101153;17968;298499;3382607;9170625;1132879;523320;5687651;1400308;24280410
1999;2;2377592;0;88303;15623;214253;3005164;8235008;974641;431120;5062391;1459325;21863420
1999;3;3335226;0;134071;19305;395247;4018778;11191505;1705148;587259;7436619;1984212;30807370
1999;4;3992914;0;142751;18893;364641;4773490;13100572;1873015;783580;8310224;2061181;35421262
1999;5;4790007;0;143929;20508;398413;5358707;14832731;1977992;843053;8904163;1982128;39251632
1999;6;4400084;0;152801;20199;464761;5257518;14560260;2023365;875621;8746669;2134829;38636106
1999;7;5504053;0;180440;23619;441823;5973602;16254560;2423990;1044763;9972775;2332965;44152588
1999;8;5962540;0;252506;28599;378397;6618324;17402613;2711502;1134454;10010012;2790391;47289338
1999;9;6371379;0;286421;32495;495280;7076337;18628465;3071624;1228218;12192047;2626684;52008949
1999;10;6636416.66;0;267393.77;37220.11;544945.68;7280808;19306502.35;2997955.43;929862.49;12014399.28;2558713.18;52574216.96
1999;11;6830404.55;0;244399.16;39326.91;614021.34;7919282.63;19851292.77;3230097.27;1309626.09;13173267.4;2556986.37;55768704.44
1999;12;8041078.39;0;264900.42;43471.44;630356.27;8366030.16;21576518.66;3956911.97;1354530.06;13604455.4;2772031;60610284.21
2000;1;8311735.15;0;339816.52;48078.93;433302.33;8909886.2;22668552.79;3479585.94;1398023.79;14475678.9;2813565.09;62878225.63
2000;2;8475169.02;0;294693.89;47790.92;753561.44;8832372.11;23283556.9;4650720.22;1452838.49;14459727.61;2827754.01;65078184.65
2000;3;9601185.85;0;373901.48;48734.04;814063.09;9868419.94;25096312.16;4670657.55;1415107.17;16130578.82;2877452.56;70896412.67
2000;4;8408285.21;0;312431.06;34656.05;641741.93;8497761.55;21649211.5;3825748.47;1247208.28;13181511.66;2591597.14;60390153
2000;5;9133212.77;0;364177.98;42799.3;696414.43;9169108.32;23700147.76;3940794.63;1587664.34;15324967.01;2673381.71;66632668.26
2000;6;9648703.76;0;365261.29;48158.84;788546.38;9673102.89;25109289.04;4080255.96;1687898.68;16144781.14;3057491.41;70603489.37
2000;7;9474029.77;0;352029.42;48598.15;742522.406;9695644.55;26005882.87;4489052.48;1590007.2;15165268.43;2944066.4;70507102.05
2000;8;9727186.04;0;371196.83;52586.86;772327.55;9888114.05;25151273.62;4696312.16;1646019.29;15718021.6;2900131.6;70923169.59
2000;9;10306553.97;0;396735.63;40232.63;909678.89;12124027.4;25642618.95;4713800.08;1818128.11;16916911.94;2914618.85;75783305.54
2000;10;10899637.24;85534;411782.51;56433.4;998495.18;10608412.71;29534637.88;4810010.8;1888736.3;17746129.37;3388415.47;80428225.23
2000;11;10535408.53;844587.4;422401.43;52475.59;969980.9;10281039.98;27866427.81;4798690.3;1784354.51;17471145;3186445.37;78212956.99
2000;12;9478672.19;817459;350043.4;46394.07;1021923.3;9185859.01;25515904.18;4426461.15;1458213.88;14099692.14;2837503.41;69238125.58
2001;1;8994887.178;817359.2243;336244.8983;44608.0132;842052.438;9448110.255;24606112.72;4165982.989;1456783.472;14579518.74;2620968.873;67912628.8
2001;2;8148789.764;641940.8051;291232.6479;40567.35223;831128.4972;8259596.507;21830818.39;3800575.229;1253343.414;13539520.11;2440106.896;61077619.61
2001;3;8013940.942;790042.3331;264619.4336;38201.20913;891829.9858;8397038.857;22676859.56;3718812.681;1373730.242;12419943.82;2365628.326;60950647.39
2001;4;7576021.597;803844.9245;262892.4093;37677.66297;844121.5592;8144742.718;21463376.45;3699624.278;1440491.126;11939296.68;2384400.819;58596490.23
2001;5;8571348.381;933425.5334;342830.0532;39091.82891;844349.4395;8745504.683;23337785.43;4108369.144;1588154.36;13075704.92;2479328.454;64065892.24
2001;6;8114035.476;1141002.474;271665.8422;37191.28257;828307.446;8525608.369;22173300.42;4041768.392;1547137.425;12373888.17;2314832.048;61368737.34
2001;7;8347699.124;1352658.661;282755.6882;39238.92703;899544.5998;8682886.705;22167608;3799913.037;1511014.847;11799345.21;2129345.551;61012010.35
2001;8;8423097.552;1404508.784;310138.3228;43855.37441;847806.7718;8891002.978;22091181.49;3708894.106;1562313.856;12570544.19;2126257.239;61979600.67
