Suma de USD;;CUENCA/PROVINCIA;;;;;;;;
AÑO;MES;CHUBUT;ESTADO NACIONAL;MENDOZA;NEUQUEN;RIO NEGRO;SALTA;SANTA CRUZ;TIERRA DEL FUEGO;TOTAL PROVINCIA
1999;1;0;0;18666.46;853693.45;0;30997.2;32158.91;40930.39;976446.41
1999;2;0;0;16479.78;759988;0;25873;26618.29;35062.67;864021.74
1999;3;0;0;21917.94;1100404.19;0;24430;48636.74;46096;1241484.87
1999;4;0;0;24131;1278263.62;0;34702.2;54501.86;52092.93;1443691.61
1999;5;0;0;25692.8;1528865.03;0;34218.6;74169.5;61179.24;1724125.17
1999;6;0;0;22235.72;1656915.49;0;37252.8;77204.03;70401.4;1864009.44
1999;7;0;0;29236.51;1848844.32;0;36543;93068.05;81181.58;2088873.46
1999;8;0;0;27685;1980195;0;35490;100070.04;84703;2228143.04
1999;9;0;0;34178.17;2010784.66;0;34577.4;108207.09;83646.07;2271393.39
1999;10;0;0;34887.54;1863212.07;0;37299.6;100136.03;99769.02;2135304.26
1999;11;0;0;41771;1851342.21;0;27612;106178.12;99788.37;2126691.7
1999;12;0;0;45294.04;2039894.82;0;31691.4;115692;124551;2357123.26
2000;1;0;0;44545.13;2112263.72;0;33259.2;106421.19;143941.58;2440430.82
2000;2;0;0;37470.83;2331945.27;0;31816.2;109055.033;142789.804;2653077.137
2000;3;0;0;52085.83;2673387.03;0;27892.8;128466.67;136687.94;3018520.27
2000;4;0;0;43817.32;2289179.93;0;33672.6;102727.25;205429.005;2674826.105
2000;5;0;0;42306.78;2757858.013;40331;39444.6;128018.88;209280.3;3217239.573
2000;6;0;0;42635.41;3185567.9;0;0;132206.54;233730.67;3594140.52
2000;7;0;0;45950.26;1827112.53;41343;0;138910.24;219568.15;2272884.18
2000;8;0;0;47610.31;3206081.19;40675;0;140152.38;223449.03;3657967.91
2000;9;0;0;54124.48;3029242.52;51491.49;0;134067.92;264280.53;3533206.94
2000;10;0;0;54334.35;1419712.17;9411.4;0;137500.99;261805.9;1882764.81
2000;11;0;0;49589.84;2468441.73;46046.74;0;145108.31;226079.8;2935266.42
2000;12;0;0;45504.99;2225920.083;51674.37;0;130898.32;226942.24;2680940.003
2001;1;0;0;53557.96346;2092359.191;41145.88942;0;130724.1752;221218.2536;2539005.472
2001;2;0;0;47359.78239;2088723.838;42115.87076;0;112762.8399;201681.8724;2492644.203
2001;3;0;0;36655.75079;2044345.707;37203.41545;0;106405.4414;190550.7542;2415161.068
2001;4;0;0;32303.72028;1912309.107;38387.44435;0;119817.8095;194987.1948;2297805.275
2001;5;0;0;33408.6405;2400097.317;48400.78912;0;138352.6152;235407.8047;2855667.167
2001;6;0;0;31267.98041;2179485.633;43008.67465;0;168021.4946;215076.6475;2636860.43
2001;7;0;0;39588.16109;2157091.593;37452.82949;0;162352.5012;202679.2122;2599164.297
