Año;Mes;Producto;Datos;Total
1994;1;BASES LUBRICANTES;Suma de M3;1917
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;467727
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;42149
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;5194511
;2;ADITIVOS PARA COMBUSTIBLES;Suma de M3;144
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;274736
;;AERONAFTAS;Suma de M3;2453
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;612203
;;BASES LUBRICANTES;Suma de M3;2959
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;787186
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;1185
;;;Suma de ValorFOB;122564
;;GAS OIL;Suma de M3;20184
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2834578
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;2909
;;;Suma de ValorFOB;695393
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;29679
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;3690038
;3;ADITIVOS PARA COMBUSTIBLES;Suma de M3;68
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;225930
;;BASES LUBRICANTES;Suma de M3;10667
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;2372753
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
;;;Suma de Toneladas;1134
;;;Suma de ValorFOB;116972
;;GAS OIL;Suma de M3;34844
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;4715262
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;2000
;;;Suma de ValorFOB;554500
;;OTRAS NAFTAS O CORTES DE ELLAS;Suma de M3;12869
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1480608
;;PETROLEO;Suma de M3;48570
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;4425269
;4;ADITIVOS PARA COMBUSTIBLES;Suma de M3;68
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;218807
;;BASES LUBRICANTES;Suma de M3;5342
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1813175.75
;;FUEL OIL, AZUFRE <1%;Suma de M3;0
