"","fecha","anio","mes","compra","venta"
"1",2003-01-02,2003,1,3.33,3.39
"2",2003-01-03,2003,1,3.3,3.36
"3",2003-01-06,2003,1,3.27,3.35
"4",2003-01-07,2003,1,3.23,3.31
"5",2003-01-08,2003,1,3.23,3.31
"6",2003-01-09,2003,1,3.28,3.35
"7",2003-01-10,2003,1,3.31,3.38
"8",2003-01-13,2003,1,3.29,3.37
"9",2003-01-14,2003,1,3.24,3.32
"10",2003-01-15,2003,1,3.19,3.27
"11",2003-01-16,2003,1,3.21,3.29
"12",2003-01-17,2003,1,3.19,3.27
"13",2003-01-20,2003,1,3.14,3.22
"14",2003-01-21,2003,1,3.06,3.14
"15",2003-01-22,2003,1,3.05,3.13
"16",2003-01-23,2003,1,3.09,3.17
"17",2003-01-24,2003,1,3.16,3.24
"18",2003-01-27,2003,1,3.24,3.32
"19",2003-01-28,2003,1,3.27,3.35
"20",2003-01-29,2003,1,3.25,3.33
"21",2003-01-30,2003,1,3.2,3.28
"22",2003-01-31,2003,1,3.15,3.23
"23",2003-02-03,2003,2,3.15,3.23
"24",2003-02-04,2003,2,3.11,3.19
"25",2003-02-05,2003,2,3.11,3.19
"26",2003-02-06,2003,2,3.1,3.18
"27",2003-02-07,2003,2,3.06,3.16
"28",2003-02-10,2003,2,3.06,3.16
"29",2003-02-11,2003,2,3.04,3.14
"30",2003-02-12,2003,2,3.02,3.12
"31",2003-02-13,2003,2,3.06,3.16
"32",2003-02-14,2003,2,3.1,3.2
"33",2003-02-17,2003,2,3.08,3.18
"34",2003-02-18,2003,2,3.08,3.18
"35",2003-02-19,2003,2,3.1,3.2
"36",2003-02-20,2003,2,3.14,3.24
"37",2003-02-21,2003,2,3.11,3.21
"38",2003-02-24,2003,2,3.09,3.19
"39",2003-02-25,2003,2,3.07,3.17
"40",2003-02-26,2003,2,3.09,3.19
"41",2003-02-27,2003,2,3.09,3.19
"42",2003-02-28,2003,2,3.11,3.21
"43",2003-03-03,2003,3,3.13,3.23
"44",2003-03-04,2003,3,3.11,3.21
"45",2003-03-05,2003,3,3.09,3.19
"46",2003-03-06,2003,3,3.11,3.21
"47",2003-03-07,2003,3,3.08,3.18
"48",2003-03-10,2003,3,3.08,3.18
"49",2003-03-11,2003,3,3.06,3.16
"50",2003-03-12,2003,3,3.04,3.14
"51",2003-03-13,2003,3,3.04,3.14
"52",2003-03-14,2003,3,3.04,3.14
"53",2003-03-17,2003,3,3.04,3.14
"54",2003-03-18,2003,3,3,3.1
"55",2003-03-19,2003,3,2.95,3.05
"56",2003-03-20,2003,3,2.95,3.05
"57",2003-03-21,2003,3,2.95,3.05
"58",2003-03-24,2003,3,2.92,3.02
"59",2003-03-25,2003,3,2.86,2.96
"60",2003-03-26,2003,3,2.82,2.92
"61",2003-03-27,2003,3,2.79,2.89
"62",2003-03-28,2003,3,2.89,2.99
"63",2003-04-01,2003,4,2.89,2.99
"64",2003-04-02,2003,4,2.82,2.92
"65",2003-04-03,2003,4,2.82,2.92
"66",2003-04-04,2003,4,2.82,2.92
"67",2003-04-07,2003,4,2.82,2.92
"68",2003-04-08,2003,4,2.82,2.92
"69",2003-04-09,2003,4,2.84,2.94
"70",2003-04-10,2003,4,2.82,2.92
"71",2003-04-11,2003,4,2.82,2.92
"72",2003-04-14,2003,4,2.84,2.94
"73",2003-04-15,2003,4,2.87,2.97
"74",2003-04-16,2003,4,2.85,2.95
"75",2003-04-21,2003,4,2.82,2.92
"76",2003-04-22,2003,4,2.78,2.88
"77",2003-04-23,2003,4,2.78,2.88
"78",2003-04-24,2003,4,2.78,2.88
"79",2003-04-25,2003,4,2.8,2.9
"80",2003-04-28,2003,4,2.78,2.88
"81",2003-04-29,2003,4,2.78,2.88
"82",2003-04-30,2003,4,2.75,2.85
"83",2003-05-02,2003,5,2.7,2.8
"84",2003-05-05,2003,5,2.72,2.82
"85",2003-05-06,2003,5,2.72,2.82
"86",2003-05-07,2003,5,2.71,2.81
"87",2003-05-08,2003,5,2.69,2.79
"88",2003-05-09,2003,5,2.69,2.79
"89",2003-05-12,2003,5,2.69,2.79
"90",2003-05-13,2003,5,2.69,2.79
"91",2003-05-14,2003,5,2.71,2.81
"92",2003-05-15,2003,5,2.77,2.87
"93",2003-05-16,2003,5,2.87,2.97
"94",2003-05-19,2003,5,2.86,2.96
"95",2003-05-20,2003,5,2.8,2.9
"96",2003-05-21,2003,5,2.77,2.87
"97",2003-05-22,2003,5,2.8,2.9
"98",2003-05-23,2003,5,2.83,2.93
"99",2003-05-26,2003,5,2.8,2.9
"100",2003-05-27,2003,5,2.8,2.9
"101",2003-05-28,2003,5,2.8,2.9
"102",2003-05-29,2003,5,2.8,2.9
"103",2003-05-30,2003,5,2.8,2.9
"104",2003-06-02,2003,6,2.77,2.87
"105",2003-06-03,2003,6,2.74,2.84
"106",2003-06-04,2003,6,2.74,2.84
"107",2003-06-05,2003,6,2.74,2.84
"108",2003-06-06,2003,6,2.72,2.82
"109",2003-06-09,2003,6,2.74,2.84
"110",2003-06-10,2003,6,2.74,2.84
"111",2003-06-11,2003,6,2.74,2.84
"112",2003-06-12,2003,6,2.77,2.87
"113",2003-06-13,2003,6,2.74,2.84
"114",2003-06-17,2003,6,2.72,2.82
"115",2003-06-18,2003,6,2.72,2.82
"116",2003-06-19,2003,6,2.72,2.82
"117",2003-06-20,2003,6,2.72,2.82
"118",2003-06-23,2003,6,2.72,2.82
"119",2003-06-24,2003,6,2.7,2.8
"120",2003-06-25,2003,6,2.7,2.8
"121",2003-06-26,2003,6,2.7,2.8
"122",2003-06-27,2003,6,2.72,2.82
"123",2003-06-30,2003,6,2.7,2.8
"124",2003-07-01,2003,7,2.72,2.82
"125",2003-07-02,2003,7,2.72,2.82
"126",2003-07-03,2003,7,2.72,2.82
"127",2003-07-04,2003,7,2.72,2.82
"128",2003-07-07,2003,7,2.72,2.82
"129",2003-07-08,2003,7,2.7,2.8
"130",2003-07-10,2003,7,2.7,2.8
"131",2003-07-11,2003,7,2.68,2.78
"132",2003-07-14,2003,7,2.68,2.78
"133",2003-07-15,2003,7,2.7,2.8
"134",2003-07-16,2003,7,2.7,2.8
"135",2003-07-17,2003,7,2.7,2.8
"136",2003-07-18,2003,7,2.72,2.82
"137",2003-07-21,2003,7,2.72,2.82
"138",2003-07-22,2003,7,2.72,2.82
"139",2003-07-23,2003,7,2.7,2.8
"140",2003-07-24,2003,7,2.72,2.82
"141",2003-07-25,2003,7,2.74,2.84
"142",2003-07-28,2003,7,2.74,2.84
"143",2003-07-29,2003,7,2.76,2.86
"144",2003-07-30,2003,7,2.8,2.9
"145",2003-07-31,2003,7,2.84,2.94
"146",2003-08-01,2003,8,2.86,2.96
"147",2003-08-04,2003,8,2.88,2.98
"148",2003-08-05,2003,8,2.86,2.96
"149",2003-08-06,2003,8,2.86,2.96
"150",2003-08-07,2003,8,2.86,2.96
"151",2003-08-08,2003,8,2.86,2.96
"152",2003-08-11,2003,8,2.84,2.94
"153",2003-08-12,2003,8,2.82,2.92
"154",2003-08-13,2003,8,2.8,2.9
"155",2003-08-14,2003,8,2.82,2.92
"156",2003-08-15,2003,8,2.82,2.92
"157",2003-08-19,2003,8,2.82,2.92
"158",2003-08-20,2003,8,2.84,2.94
"159",2003-08-21,2003,8,2.86,2.96
"160",2003-08-22,2003,8,2.88,2.98
"161",2003-08-25,2003,8,2.84,2.94
"162",2003-08-26,2003,8,2.84,2.94
"163",2003-08-27,2003,8,2.88,2.98
"164",2003-08-28,2003,8,2.88,2.98
"165",2003-08-29,2003,8,2.88,2.98
"166",2003-09-01,2003,9,2.88,2.98
"167",2003-09-02,2003,9,2.89,2.99
"168",2003-09-03,2003,9,2.9,3
"169",2003-09-04,2003,9,2.88,2.98
"170",2003-09-05,2003,9,2.86,2.96
"171",2003-09-08,2003,9,2.86,2.96
"172",2003-09-09,2003,9,2.88,2.98
"173",2003-09-10,2003,9,2.88,2.98
"174",2003-09-11,2003,9,2.85,2.95
"175",2003-09-12,2003,9,2.83,2.93
"176",2003-09-13,2003,9,2.83,2.93
"177",2003-09-15,2003,9,2.83,2.93
"178",2003-09-16,2003,9,2.83,2.93
"179",2003-09-17,2003,9,2.83,2.93
"180",2003-09-18,2003,9,2.83,2.93
"181",2003-09-19,2003,9,2.83,2.93
"182",2003-09-22,2003,9,2.83,2.93
"183",2003-09-23,2003,9,2.83,2.93
"184",2003-09-24,2003,9,2.83,2.93
"185",2003-09-25,2003,9,2.83,2.93
"186",2003-09-26,2003,9,2.83,2.93
"187",2003-09-29,2003,9,2.83,2.93
"188",2003-09-30,2003,9,2.83,2.93
"189",2003-10-01,2003,10,2.83,2.93
"190",2003-10-02,2003,10,2.83,2.93
"191",2003-10-03,2003,10,2.83,2.93
"192",2003-10-06,2003,10,2.81,2.91
"193",2003-10-07,2003,10,2.81,2.91
"194",2003-10-08,2003,10,2.79,2.89
"195",2003-10-09,2003,10,2.79,2.89
"196",2003-10-10,2003,10,2.77,2.87
"197",2003-10-14,2003,10,2.77,2.87
"198",2003-10-15,2003,10,2.77,2.87
"199",2003-10-16,2003,10,2.77,2.87
"200",2003-10-17,2003,10,2.77,2.87
"201",2003-10-20,2003,10,2.77,2.87
"202",2003-10-21,2003,10,2.77,2.87
"203",2003-10-22,2003,10,2.77,2.87
"204",2003-10-23,2003,10,2.77,2.87
"205",2003-10-24,2003,10,2.77,2.87
"206",2003-10-27,2003,10,2.77,2.87
"207",2003-10-28,2003,10,2.77,2.87
"208",2003-10-29,2003,10,2.77,2.87
"209",2003-10-30,2003,10,2.79,2.89
"210",2003-10-31,2003,10,2.8,2.9
"211",2003-11-03,2003,11,2.78,2.88
"212",2003-11-04,2003,11,2.78,2.88
"213",2003-11-05,2003,11,2.78,2.88
"214",2003-11-06,2003,11,2.78,2.88
"215",2003-11-07,2003,11,2.78,2.88
"216",2003-11-10,2003,11,2.78,2.88
"217",2003-11-11,2003,11,2.78,2.88
"218",2003-11-12,2003,11,2.78,2.88
"219",2003-11-13,2003,11,2.78,2.88
"220",2003-11-14,2003,11,2.78,2.88
"221",2003-11-17,2003,11,2.8,2.9
"222",2003-11-18,2003,11,2.8,2.9
"223",2003-11-19,2003,11,2.78,2.88
"224",2003-11-20,2003,11,2.8,2.9
"225",2003-11-21,2003,11,2.8,2.9
"226",2003-11-24,2003,11,2.82,2.92
"227",2003-11-25,2003,11,2.84,2.94
"228",2003-11-26,2003,11,2.86,2.96
"229",2003-11-27,2003,11,2.88,2.98
"230",2003-11-28,2003,11,2.9,3
"231",2003-12-01,2003,12,2.9,3
"232",2003-12-02,2003,12,2.9,3
"233",2003-12-03,2003,12,2.9,3
"234",2003-12-04,2003,12,2.93,3
"235",2003-12-05,2003,12,2.93,2.99
"236",2003-12-09,2003,12,2.91,2.97
"237",2003-12-10,2003,12,2.91,2.97
"238",2003-12-11,2003,12,2.91,2.97
"239",2003-12-12,2003,12,2.91,2.97
"240",2003-12-15,2003,12,2.93,2.99
"241",2003-12-16,2003,12,2.93,2.99
"242",2003-12-17,2003,12,2.93,2.99
"243",2003-12-18,2003,12,2.93,2.99
"244",2003-12-19,2003,12,2.93,2.99
"245",2003-12-22,2003,12,2.93,2.99
"246",2003-12-23,2003,12,2.93,2.99
"247",2003-12-24,2003,12,2.91,2.97
"248",2003-12-25,2003,12,2.91,2.97
"249",2003-12-26,2003,12,2.92,2.97
"250",2003-12-29,2003,12,2.92,2.97
"251",2003-12-30,2003,12,2.92,2.97
"252",2003-12-31,2003,12,2.92,2.97
"253",2004-01-02,2004,1,2.91,2.96
"254",2004-01-05,2004,1,2.87,2.92
"255",2004-01-06,2004,1,2.86,2.89
"256",2004-01-07,2004,1,2.89,2.92
"257",2004-01-08,2004,1,2.89,2.92
"258",2004-01-09,2004,1,2.89,2.92
"259",2004-01-12,2004,1,2.87,2.9
"260",2004-01-13,2004,1,2.85,2.88
"261",2004-01-14,2004,1,2.87,2.9
"262",2004-01-15,2004,1,2.87,2.9
