"","Classification","Year","Period","Period Desc.","Aggregate Level","Is Leaf Code","Trade Flow Code","Trade Flow","Reporter Code","Reporter","Reporter ISO","Partner Code","Partner","Partner ISO","2nd Partner Code","2nd Partner","2nd Partner ISO","Customs Proc. Code","Customs","Mode of Transport Code","Mode of Transport","Commodity Code","Commodity","Qty Unit Code","Qty Unit","Qty","Alt Qty Unit Code","Alt Qty Unit","Alt Qty","Netweight (kg)","Gross weight (kg)","trade_value_usd","CIF Trade Value (US$)","FOB Trade Value (US$)","Flag","precio_expo_gas_bolivia","unidad_precio","unidad_valor","unidad_cantidad"
"1","S1",1966,1966,1966,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",26538805.9701493,NA,NA,NA,19559100,NA,36800,NA,NA,0,0.00138664866992858,"usd/Mm3","usd","Mm3"
"2","S1",1967,1967,1967,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",15487788.3310719,NA,NA,NA,11414500,NA,21500,NA,NA,0,0.00138819045950326,"usd/Mm3","usd","Mm3"
"3","S1",1972,1972,1972,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",7,"Volume in litres",1813890815468.11,NA,NA,NA,0,NA,9863785,NA,NA,0,0.00000543791551061712,"usd/Mm3","usd","Mm3"
"4","S1",1973,1973,1973,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",122116.689280868,NA,NA,NA,90000,NA,4500,NA,NA,0,0.03685,"usd/Mm3","usd","Mm3"
"5","S1",1974,1974,1974,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",2790272694.70828,NA,NA,NA,2056430976,NA,29207966,NA,NA,0,0.0104677818965123,"usd/Mm3","usd","Mm3"
"6","S1",1975,1975,1975,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",2749361845.31886,NA,NA,NA,2026279680,NA,42453316,NA,NA,0,0.0154411526704941,"usd/Mm3","usd","Mm3"
"7","S1",1976,1976,1976,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",2835483440.97693,NA,NA,NA,2089751296,NA,54896316,NA,NA,0,0.0193604784308266,"usd/Mm3","usd","Mm3"
"8","S1",1977,1977,1977,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",2958020949.79647,NA,NA,NA,2180061440,NA,66802680,NA,NA,0,0.0225835723051915,"usd/Mm3","usd","Mm3"
"9","S1",1978,1978,1978,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",2853798382.63229,NA,NA,NA,2103249408,NA,78505792,NA,NA,0,0.027509228569815,"usd/Mm3","usd","Mm3"
"10","S1",1979,1979,1979,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",3115565850.74627,NA,NA,NA,2296172032,NA,104981600,NA,NA,0,0.0336958372986576,"usd/Mm3","usd","Mm3"
"11","S1",1980,1980,1980,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",3680820797.82904,NA,NA,NA,2712764928,NA,220869424,NA,NA,0,0.0600054814214997,"usd/Mm3","usd","Mm3"
"12","S1",1981,1981,1981,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",3962416282.22524,NA,NA,NA,2920300800,NA,326222848,NA,NA,0,0.0823292720311551,"usd/Mm3","usd","Mm3"
"13","S1",1982,1982,1982,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",4145041541.38399,NA,NA,NA,3054895616,NA,381625856,NA,NA,0,0.0920680413428568,"usd/Mm3","usd","Mm3"
"14","S1",1983,1983,1983,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",3733953823.60923,NA,NA,NA,2751923968,NA,351553984,NA,NA,0,0.0941505976258135,"usd/Mm3","usd","Mm3"
"15","S1",1984,1984,1984,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",3989209096.3365,NA,NA,NA,2940047104,NA,375926016,NA,NA,0,0.0942357261606649,"usd/Mm3","usd","Mm3"
"16","S1",1985,1985,1985,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",3999185107.19132,NA,NA,NA,2947399424,NA,372573792,NA,NA,0,0.0931624273480214,"usd/Mm3","usd","Mm3"
"17","S1",1986,1986,1986,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",3996271500.67843,NA,NA,NA,2945252096,NA,328668096,NA,NA,0,0.082243685381287,"usd/Mm3","usd","Mm3"
"18","S1",1987,1987,1987,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",3826207956.58073,NA,NA,NA,2819915264,NA,248566016,NA,NA,0,0.0649640633286774,"usd/Mm3","usd","Mm3"
"19","S1",1988,1988,1988,4,1,2,"Export",68,"Bolivia (Plurinational State of)","BOL",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,3411,"Gas, natural",8,"Weight in kilograms",4021642594.30122,NA,NA,NA,2963950592,NA,214948288,NA,NA,0,0.0534478842810616,"usd/Mm3","usd","Mm3"
