"","fecha","empresa","unidad","sector","ingresos_vtas","ingresos_intersegmentos","resultado_operativo","depr_ppye","activos","tg_activo"
"1",2018-12-31,"YPF","Millones de pesos","upstream",3108,207480,22483,72052,480263,0.0468139331991013
"2",2018-12-31,"YPF","Millones de pesos","gas_y_energia",91176,7862,16786,928,129885,0.129237402317435
"3",2018-12-31,"YPF","Millones de pesos","downstream",338042,1688,7818,12285,307312,0.0254399437705003
"4",2018-12-31,"YPF","Millones de pesos","adm_central",8363,13186,-6055,2304,82762,-0.0731615959015007
"5",2017-12-31,"YPF","Millones de pesos","upstream",739,115955,3877,45279,251525,0.0154139747540006
"6",2017-12-31,"YPF","Millones de pesos","gas_y_energia",56805,4075,3259,290,45395,0.0717920475823329
"7",2017-12-31,"YPF","Millones de pesos","downstream",195321,988,15813,6926,158800,0.0995780856423174
"8",2017-12-31,"YPF","Millones de pesos","adm_central",2534,7133,-4400,1017,53934,-0.0815811918270479
"9",2016-12-31,"YPF","Millones de pesos","upstream",18745,95398,26845,38125,236173,0.11366667654643
"10",2016-12-31,"YPF","Millones de pesos","gas_y_energia",26514,3212,2008,290,25866,0.0776308667749169
"11",2016-12-31,"YPF","Millones de pesos","downstream",162538,925,3093,5507,125536,0.0246383507519755
"12",2016-12-31,"YPF","Millones de pesos","adm_central",2303,7447,-1615,830,34739,-0.0464895362560811
"13",2015-12-31,"YPF","Millones de pesos","upstream",16044,64243,7535,23075,223035,0.0337839352567983
"14",2015-12-31,"YPF","Millones de pesos","downstream",138962,1535,8446,3168,113805,0.0742146654364922
"15",2015-12-31,"YPF","Millones de pesos","adm_central",1180,6182,-2331,442,26708,-0.0872772203085218
"16",2014-12-31,"YPF","Millones de pesos","upstream",8853,61844,12353,17180,126228,0.0978625978388313
"17",2014-12-31,"YPF","Millones de pesos","downstream",132254,1489,10978,2445,68509,0.160241720065977
"18",2014-12-31,"YPF","Millones de pesos","adm_central",835,5212,-3343,311,16356,-0.204389826363414
"19",2013-12-31,"YPF","Millones de pesos","upstream",3851,38846,6324,9591,70775,0.0893535853055457
"20",2013-12-31,"YPF","Millones de pesos","downstream",85624,1147,6721,1452,51336,0.130921770297647
"21",2013-12-31,"YPF","Millones de pesos","adm_central",638,2285,-1522,193,15161,-0.100389156388101
"22",2012-12-31,"YPF","Millones de pesos","upstream",6134,27060,5943,6901,43038,0.13808727171337
"23",2012-12-31,"YPF","Millones de pesos","quimica",2351,2328,913,136,4639,0.196809657253718
"24",2012-12-31,"YPF","Millones de pesos","downstream",57694,1910,3006,906,25204,0.119266783050309
"25",2012-12-31,"YPF","Millones de pesos","adm_central",995,1243,-2493,144,8031,-0.31042211430706
"26",2011-12-31,"YPF","Millones de pesos","upstream",3814,20129,4977,4607,30357,0.163949006818856
"27",2011-12-31,"YPF","Millones de pesos","quimica",2632,2188,1451,115,3974,0.365123301459487
"28",2011-12-31,"YPF","Millones de pesos","downstream",46774,1766,3649,614,20119,0.181370843481286
"29",2011-12-31,"YPF","Millones de pesos","adm_central",1307,651,-1383,130,2452,-0.564029363784666
"30",2010-12-31,"YPF","Millones de pesos","upstream",4611,17428,6210,4497,26245,0.236616498380644
"31",2010-12-31,"YPF","Millones de pesos","quimica",2445,1871,874,105,2779,0.314501619287513
"32",2010-12-31,"YPF","Millones de pesos","downstream",34209,1668,3313,551,14043,0.23591825108595
"33",2010-12-31,"YPF","Millones de pesos","adm_central",999,358,-952,120,4624,-0.205882352941176
