anio,cantidad_m3_raw,monto_usd_raw,expo_crudo_bbl_raw
2010,5314806.452,2520394662.39,33429069.621789597
2011,3454011.581,2182223056.31,21725042.042173795
2012,3825052.7534,2483812599.59,24058816.80833532
2013,2532964.1543,1567226455.26,15931837.93771614
2014,2675075.2629,1480184699.94,16825688.388588417
2015,2341263.7837,670634913.14,14726080.94671626
2016,2970450.782,736173995.8,18683541.3286236
2017,1724367.77,585050780.74,10845928.399745999
2018,3591816.1535,1510921721.865,22591805.242284298
2019,3807770.063,1444511749.468,23950112.1422574
2020,5015060.225,1043648268.6,31543725.803204995
2021,4365504.402,1877779061.94,27458149.587699596
2022,6658890.155,3869910008.28,41883087.296918996
2023,7428992.106,3507260063.279,46726874.548318796
2024,9161827.357,4327773705.444,57626061.7100586
2025,13268381.937,5389520549.303,83455468.7073426
2026,1588808.662,616672894.064,9993288.722247599
