anio,cantidad_miles_m3_raw,monto_usd_raw,expo_gas_mmbtu_raw,expo_gas_mmbtu_corrected,diff_mmbtu,diff_pct
2010,401183.718,170923990.398,14161785.245399999,14161785.245399999,0.0,0.0
2011,152493.24,90425573.81,5383011.3719999995,5383011.3719999995,0.0,0.0
2012,68988.859,48131961.2,2435306.7227,2435306.7227,0.0,0.0
2013,59844.656,49238954.93,2112516.3567999997,2112516.3567999997,0.0,0.0
2014,25786.150999999998,20850719.92,910251.1302999998,910251.1302999998,0.0,0.0
2015,22618.341,17556889.55,798427.4373,798427.4373,0.0,0.0
2016,27875.572,17490393.31,984007.6915999999,984007.6915999999,0.0,0.0
2017,68217.427,26405174.218,2408075.1731,2379077.2218782,-28997.951221799944,-1.20419626204899
2018,421745.346,91048818.192,14887610.7138,14887610.7138,0.0,0.0
2019,1722349.229,279877198.317,60798927.7837,60798927.7837,0.0,0.0
2020,1204541.636,161871135.339,42520319.7508,42520319.7508,0.0,0.0
2021,876194.826,227491232.3,30929677.3578,30929677.3578,0.0,0.0
2022,1934677.673,497789859.552,68294121.85689999,68294121.85689999,0.0,0.0
2023,1624869.325,480586038.3,57357887.1725,57357887.1725,0.0,0.0
2024,1526119.252,344248822.475,53872009.595599994,53872009.595599994,0.0,0.0
2025,30098761.54,348328339.73,1062486282.362,72635352.5336,-989850929.8284,-93.16364326397465
2026,356271.151,46708603.92,12576371.630299998,12576371.630299998,0.0,0.0
