anio,sector,unidad,variable,valor
1967.0,Memoria de YPF,Millones de pesos corrientes,KTA,2.42880984779e-08
1968.0,Memoria de YPF,Millones de pesos corrientes,KTA,2.86148344421e-08
1969.0,Memoria de YPF,Millones de pesos corrientes,KTA,3.10200810328e-08
1970.0,Memoria de YPF,Millones de pesos corrientes,KTA,3.0362564316900005e-08
1971.0,Memoria de YPF,Millones de pesos corrientes,KTA,5.75527200548e-06
1972.0,Memoria de YPF,Millones de pesos corrientes,KTA,4.7477068212299995e-06
1973.0,Memoria de YPF,Millones de pesos corrientes,KTA,1.073774605158e-05
1974.0,Memoria de YPF,Millones de pesos corrientes,KTA,1.148471672392e-05
1975.0,Memoria de YPF,Millones de pesos corrientes,KTA,3.598900656467e-05
1976.0,Memoria de YPF,Millones de pesos corrientes,KTA,4.351748253659999e-06
1977.0,Memoria de YPF,Millones de pesos corrientes,KTA,6.80299003513e-06
1978.0,Memoria de YPF,Millones de pesos corrientes,KTA,3.222077318447e-05
1979.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.0013661349561696699
1980.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.00711626779219
1981.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.00026902184066
1982.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.00118628873668
1983.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.0
1984.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.004377
1985.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.0
1986.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.0
1987.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.0
1988.0,Memoria de YPF,Millones de pesos corrientes,KTA,0.0
1989.0,Memoria de YPF,Millones de pesos corrientes,KTA,1980.42474171
1990.0,Memoria de YPF,Millones de pesos corrientes,KTA,6.459613505099999
1991.0,Memoria de YPF,Millones de pesos corrientes,KTA,6128.0
1992.0,Memoria de YPF,Millones de pesos corrientes,KTA,5390.0
1993.0,Memoria de YPF,Millones de pesos corrientes,KTA,5780.0
1994.0,Memoria de YPF,Millones de pesos corrientes,KTA,5687.0
1995.0,Memoria de YPF,Millones de pesos corrientes,KTA,7111.0
1996.0,Memoria de YPF,Millones de pesos corrientes,KTA,7542.0
1997.0,Memoria de YPF,Millones de pesos corrientes,KTA,10658.0
1998.0,Memoria de YPF,Millones de pesos corrientes,KTA,10775.0
1999.0,Memoria de YPF,Millones de pesos corrientes,KTA,9575.0
2000.0,Memoria de YPF,Millones de pesos corrientes,KTA,21244.0
2001.0,Memoria de YPF,Millones de pesos corrientes,KTA,22755.0
2002.0,Memoria de YPF,Millones de pesos corrientes,KTA,21411.0
2003.0,Memoria de YPF,Millones de pesos corrientes,KTA,34123.0
2004.0,Memoria de YPF,Millones de pesos corrientes,KTA,32056.0
2005.0,Memoria de YPF,Millones de pesos corrientes,KTA,25049.0
