anio,unidad,plusvalia,ppye,stock_seleccionado,tasa_ganancia
1993.0,Millones de pesos corrientes,,,,
1994.0,Millones de pesos corrientes,,,,
1995.0,Millones de pesos corrientes,,19011.0,S&P Capital IQ,
1995.0,Millones de pesos corrientes,,19011.0,S&P Capital IQ,
1996.0,Millones de pesos corrientes,,247.8423609997448,S&P Capital IQ,
1996.0,Millones de pesos corrientes,,247.8423609997448,S&P Capital IQ,
1997.0,Millones de pesos corrientes,,2449.0,Bolsar,
1997.0,Millones de pesos corrientes,,263.2319049997002,S&P Capital IQ,
1997.0,Millones de pesos corrientes,,263.2319049997002,S&P Capital IQ,
1998.0,Millones de pesos corrientes,1562.6994463354688,10305.0,Bolsar,0.15164477887777475
1998.0,Millones de pesos corrientes,1562.6994463354688,26154.697117000076,S&P Capital IQ,0.05974832892711048
1998.0,Millones de pesos corrientes,1562.6994463354688,26154.697117000076,S&P Capital IQ,0.05974832892711048
1999.0,Millones de pesos corrientes,3622.2844991833094,10049.395,Bolsar,0.3604480169386624
1999.0,Millones de pesos corrientes,3622.2844991833094,12585.986425000596,S&P Capital IQ,0.28780298793172565
1999.0,Millones de pesos corrientes,3622.2844991833094,12585.986425000596,S&P Capital IQ,0.28780298793172565
2000.0,Millones de pesos corrientes,5290.34161401429,18532.88,Bolsar,0.2854570694902406
2000.0,Millones de pesos corrientes,5290.34161401429,24403.54587799981,S&P Capital IQ,0.21678577533208473
2000.0,Millones de pesos corrientes,5290.34161401429,24403.54587799981,S&P Capital IQ,0.21678577533208473
2001.0,Millones de pesos corrientes,908.9284639498555,14081.453875,AFIP (combinada),0.06454791330627822
2001.0,Millones de pesos corrientes,908.9284639498555,14081.453875,AFIP (v8),0.06454791330627822
2001.0,Millones de pesos corrientes,908.9284639498555,20597.268,Bolsar,0.044128593362471935
2001.0,Millones de pesos corrientes,908.9284639498555,62062.81017199939,S&P Capital IQ,0.014645299841094417
2001.0,Millones de pesos corrientes,908.9284639498555,62062.81017199939,S&P Capital IQ,0.014645299841094417
2002.0,Millones de pesos corrientes,3955.6338672679535,33056.930125,AFIP (combinada),0.11966125869251308
2002.0,Millones de pesos corrientes,3955.6338672679535,33056.930125,AFIP (v8),0.11966125869251308
2002.0,Millones de pesos corrientes,3955.6338672679535,32456.907,Bolsar,0.12187340793957828
2002.0,Millones de pesos corrientes,3955.6338672679535,64831.62944600045,S&P Capital IQ,0.06101395107711552
2002.0,Millones de pesos corrientes,3955.6338672679535,64831.62944600045,S&P Capital IQ,0.06101395107711552
2003.0,Millones de pesos corrientes,8019.083510206768,33885.874375,AFIP (combinada),0.2366497444174854
2003.0,Millones de pesos corrientes,8019.083510206768,33885.874375,AFIP (v8),0.2366497444174854
2003.0,Millones de pesos corrientes,8019.083510206768,37498.028999999995,Bolsar,0.21385346707707673
2003.0,Millones de pesos corrientes,8019.083510206768,65706.46913700011,S&P Capital IQ,0.12204404856220047
2003.0,Millones de pesos corrientes,8019.083510206768,65706.46913700011,S&P Capital IQ,0.12204404856220047
2004.0,Millones de pesos corrientes,24163.760000185674,39646.484000000004,AFIP (combinada),0.6094805279627236
2004.0,Millones de pesos corrientes,24163.760000185674,39646.484000000004,AFIP (v8),0.6094805279627236
2004.0,Millones de pesos corrientes,24163.760000185674,38392.247,Bolsar,0.6293916581695693
2004.0,Millones de pesos corrientes,24163.760000185674,9973.48639,S&P Capital IQ,2.4227997166982322
2004.0,Millones de pesos corrientes,24163.760000185674,9973.48639,S&P Capital IQ,2.4227997166982322
2005.0,Millones de pesos corrientes,32154.19527055384,38559.969750000004,AFIP (combinada),0.8338750128442162
2005.0,Millones de pesos corrientes,32154.19527055384,38559.969750000004,AFIP (v8),0.8338750128442162
2005.0,Millones de pesos corrientes,32154.19527055384,42947.088,Bolsar,0.7486932587968208
2005.0,Millones de pesos corrientes,32154.19527055384,72952.86398200001,S&P Capital IQ,0.4407530220950255
2005.0,Millones de pesos corrientes,32154.19527055384,72952.86398200001,S&P Capital IQ,0.4407530220950255
2006.0,Millones de pesos corrientes,41412.07157738205,49775.24775,AFIP (combinada),0.8319812245913341
2006.0,Millones de pesos corrientes,41412.07157738205,49775.24775,AFIP (v8),0.8319812245913341
2006.0,Millones de pesos corrientes,41412.07157738205,43889.19,Bolsar,0.9435597143028168
2006.0,Millones de pesos corrientes,41412.07157738205,85613.686351,S&P Capital IQ,0.4837085440708668
