anio,variable,codigo_variable,unidad,valor,fuente
1996.0,MS,MS,Millones de pesos corrientes,776.4913616807945,MinTrabajo/MECON
1997.0,MS,MS,Millones de pesos corrientes,851.990883205553,MinTrabajo/MECON
1998.0,MS,MS,Millones de pesos corrientes,915.3001400076399,MinTrabajo/MECON
1999.0,MS,MS,Millones de pesos corrientes,845.4377271991366,MinTrabajo/MECON
2000.0,MS,MS,Millones de pesos corrientes,910.5731463628605,MinTrabajo/MECON
2001.0,MS,MS,Millones de pesos corrientes,961.869104235611,MinTrabajo/MECON
2002.0,MS,MS,Millones de pesos corrientes,1071.9582684073964,MinTrabajo/MECON
2003.0,MS,MS,Millones de pesos corrientes,1369.4350092553227,MinTrabajo/MECON
2004.0,MS,MS,Millones de pesos corrientes,1718.7353693706398,MinTrabajo/MECON
2005.0,MS,MS,Millones de pesos corrientes,2414.22994387732,MinTrabajo/MECON
2006.0,MS,MS,Millones de pesos corrientes,3297.0779891657075,MinTrabajo/MECON
2007.0,MS,MS,Millones de pesos corrientes,4627.081046307343,MinTrabajo/MECON
2008.0,MS,MS,Millones de pesos corrientes,7006.9954138276935,MinTrabajo/MECON
2009.0,MS,MS,Millones de pesos corrientes,8375.483492483741,MinTrabajo/MECON
2010.0,MS,MS,Millones de pesos corrientes,10934.974078009405,MinTrabajo/MECON
2011.0,MS,MS,Millones de pesos corrientes,15526.741180435263,MinTrabajo/MECON
2012.0,MS,MS,Millones de pesos corrientes,19291.45780190686,MinTrabajo/MECON
2013.0,MS,MS,Millones de pesos corrientes,25210.4416819125,MinTrabajo/MECON
2014.0,MS,MS,Millones de pesos corrientes,36967.364475585586,MinTrabajo/MECON
2015.0,MS,MS,Millones de pesos corrientes,49948.26959065372,MinTrabajo/MECON
2016.0,MS,MS,Millones de pesos corrientes,56885.45635461411,MinTrabajo/MECON
2017.0,MS,MS,Millones de pesos corrientes,66312.31923046391,MinTrabajo/MECON
2018.0,MS,MS,Millones de pesos corrientes,90880.60271643594,MinTrabajo/MECON
2019.0,MS,MS,Millones de pesos corrientes,146966.34318155138,MinTrabajo/MECON
2020.0,MS,MS,Millones de pesos corrientes,165830.2857856836,MinTrabajo/MECON
2021.0,MS,MS,Millones de pesos corrientes,250724.71058659372,MinTrabajo/MECON
2022.0,MS,MS,Millones de pesos corrientes,517717.07926635933,MinTrabajo/MECON
2023.0,MS,MS,Millones de pesos corrientes,1321740.8025481561,MinTrabajo/MECON
2024.0,MS,MS,Millones de pesos corrientes,4418287.269647062,MinTrabajo/MECON
1963.0,Pi_crudo,Pi_crudo,USD/barriles,2.466666938176836,MECON/IDEE/YPF
1964.0,Pi_crudo,Pi_crudo,USD/barriles,1.723294996349331,MECON/IDEE/YPF
1965.0,Pi_crudo,Pi_crudo,USD/barriles,2.4667463058776495,MECON/IDEE/YPF
1966.0,Pi_crudo,Pi_crudo,USD/barriles,3.48023784540049,MECON/IDEE/YPF
1967.0,Pi_crudo,Pi_crudo,USD/barriles,2.375274253553372,MECON/IDEE/YPF
1968.0,Pi_crudo,Pi_crudo,USD/barriles,2.820439441635664,MECON/IDEE/YPF
1969.0,Pi_crudo,Pi_crudo,USD/barriles,2.820439441635664,MECON/IDEE/YPF
1970.0,Pi_crudo,Pi_crudo,USD/barriles,2.604216350281408,MECON/IDEE/YPF
1971.0,Pi_crudo,Pi_crudo,USD/barriles,2.1495119081687815,MECON/IDEE/YPF
1972.0,Pi_crudo,Pi_crudo,USD/barriles,1.6614200769499825,MECON/IDEE/YPF
1973.0,Pi_crudo,Pi_crudo,USD/barriles,3.373716175395084,MECON/IDEE/YPF
1974.0,Pi_crudo,Pi_crudo,USD/barriles,7.361124360075042,MECON/IDEE/YPF
1975.0,Pi_crudo,Pi_crudo,USD/barriles,4.591560939934498,MECON/IDEE/YPF
1976.0,Pi_crudo,Pi_crudo,USD/barriles,4.771216890839137,MECON/IDEE/YPF
1977.0,Pi_crudo,Pi_crudo,USD/barriles,4.779166269197749,MECON/IDEE/YPF
1978.0,Pi_crudo,Pi_crudo,USD/barriles,8.025692390855035,MECON/IDEE/YPF
1979.0,Pi_crudo,Pi_crudo,USD/barriles,9.663264332729181,MECON/IDEE/YPF
1980.0,Pi_crudo,Pi_crudo,USD/barriles,12.71900537377977,MECON/IDEE/YPF
1981.0,Pi_crudo,Pi_crudo,USD/barriles,9.280104295844065,MECON/IDEE/YPF
1982.0,Pi_crudo,Pi_crudo,USD/barriles,5.8666412286559195,MECON/IDEE/YPF
1983.0,Pi_crudo,Pi_crudo,USD/barriles,10.197462558427931,MECON/IDEE/YPF
1984.0,Pi_crudo,Pi_crudo,USD/barriles,10.342141244554677,MECON/IDEE/YPF
1985.0,Pi_crudo,Pi_crudo,USD/barriles,11.195904480269643,MECON/IDEE/YPF
1986.0,Pi_crudo,Pi_crudo,USD/barriles,12.488473401380013,MECON/IDEE/YPF
1987.0,Pi_crudo,Pi_crudo,USD/barriles,10.316703233807116,MECON/IDEE/YPF
1988.0,Pi_crudo,Pi_crudo,USD/barriles,13.21345670768546,MECON/IDEE/YPF
1989.0,Pi_crudo,Pi_crudo,USD/barriles,2.339250747575955,MECON/IDEE/YPF
1990.0,Pi_crudo,Pi_crudo,USD/barriles,15.004229452157873,MECON/IDEE/YPF
1991.0,Pi_crudo,Pi_crudo,USD/barriles,16.480434698956476,MECON/IDEE/YPF
1993.0,Pi_crudo,Pi_crudo,USD/barriles,15.32512612417459,MECON/IDEE/YPF
1994.0,Pi_crudo,Pi_crudo,USD/barriles,14.297503511107932,MECON/IDEE/YPF
1995.0,Pi_crudo,Pi_crudo,USD/barriles,15.846356332342312,MECON/IDEE/YPF
1996.0,Pi_crudo,Pi_crudo,USD/barriles,19.890519012263244,MECON/IDEE/YPF
1997.0,Pi_crudo,Pi_crudo,USD/barriles,18.5480299002618,MECON/IDEE/YPF
1998.0,Pi_crudo,Pi_crudo,USD/barriles,12.160952771153296,MECON/IDEE/YPF
1999.0,Pi_crudo,Pi_crudo,USD/barriles,17.00178969667822,MECON/IDEE/YPF
2000.0,Pi_crudo,Pi_crudo,USD/barriles,28.146854075911264,MECON/IDEE/YPF
2001.0,Pi_crudo,Pi_crudo,USD/barriles,22.719092633178587,MECON/IDEE/YPF
2002.0,Pi_crudo,Pi_crudo,USD/barriles,19.682486484599405,MECON/IDEE/YPF
2003.0,Pi_crudo,Pi_crudo,USD/barriles,24.237501381866938,MECON/IDEE/YPF
2004.0,Pi_crudo,Pi_crudo,USD/barriles,28.35350209068651,MECON/IDEE/YPF
2005.0,Pi_crudo,Pi_crudo,USD/barriles,34.634829819708095,MECON/IDEE/YPF
2006.0,Pi_crudo,Pi_crudo,USD/barriles,39.976812063446644,MECON/IDEE/YPF
2007.0,Pi_crudo,Pi_crudo,USD/barriles,40.70764055560855,MECON/IDEE/YPF
2008.0,Pi_crudo,Pi_crudo,USD/barriles,44.0758716586113,MECON/IDEE/YPF
2009.0,Pi_crudo,Pi_crudo,USD/barriles,42.75057204654097,MECON/IDEE/YPF
2010.0,Pi_crudo,Pi_crudo,USD/barriles,50.0750584769521,MECON/IDEE/YPF
2011.0,Pi_crudo,Pi_crudo,USD/barriles,59.70086404045704,MECON/IDEE/YPF
2012.0,Pi_crudo,Pi_crudo,USD/barriles,70.09650602032922,MECON/IDEE/YPF
2013.0,Pi_crudo,Pi_crudo,USD/barriles,70.50673289558756,MECON/IDEE/YPF
2014.0,Pi_crudo,Pi_crudo,USD/barriles,72.9746844030547,MECON/IDEE/YPF
2015.0,Pi_crudo,Pi_crudo,USD/barriles,67.99899768540601,MECON/IDEE/YPF
2016.0,Pi_crudo,Pi_crudo,USD/barriles,58.10644420993779,MECON/IDEE/YPF
2017.0,Pi_crudo,Pi_crudo,USD/barriles,53.103430588677966,MECON/IDEE/YPF
2018.0,Pi_crudo,Pi_crudo,USD/barriles,63.543576328606115,MECON/IDEE/YPF
2019.0,Pi_crudo,Pi_crudo,USD/barriles,54.628943544960244,MECON/IDEE/YPF
2020.0,Pi_crudo,Pi_crudo,USD/barriles,41.31467005901155,MECON/IDEE/YPF
2021.0,Pi_crudo,Pi_crudo,USD/barriles,56.084874596460544,MECON/IDEE/YPF
2022.0,Pi_crudo,Pi_crudo,USD/barriles,66.14804903940454,MECON/IDEE/YPF
2023.0,Pi_crudo,Pi_crudo,USD/barriles,64.1528736133494,MECON/IDEE/YPF
2024.0,Pi_crudo,Pi_crudo,USD/barriles,70.63757168856138,MECON/IDEE/YPF
2025.0,Pi_crudo,Pi_crudo,USD/barriles,63.06461383766098,MECON/IDEE/YPF
1970.0,Pi_gas,Pi_gas,ars/MMBTU,4.107648725212464e-12,MECON/Regalias/IDEE
1971.0,Pi_gas,Pi_gas,ars/MMBTU,5.343118680248707e-12,MECON/Regalias/IDEE
1972.0,Pi_gas,Pi_gas,ars/MMBTU,5.8660276504133084e-12,MECON/Regalias/IDEE
1973.0,Pi_gas,Pi_gas,ars/MMBTU,7.076814104869961e-12,MECON/Regalias/IDEE
1974.0,Pi_gas,Pi_gas,ars/MMBTU,7.58637731630426e-12,MECON/Regalias/IDEE
1975.0,Pi_gas,Pi_gas,ars/MMBTU,9.534994213356604e-12,MECON/Regalias/IDEE
1976.0,Pi_gas,Pi_gas,ars/MMBTU,9.633282055916879e-11,MECON/Regalias/IDEE
1977.0,Pi_gas,Pi_gas,ars/MMBTU,1.1403411450540214e-09,MECON/Regalias/IDEE
1978.0,Pi_gas,Pi_gas,ars/MMBTU,5.240930316793441e-09,MECON/Regalias/IDEE
1979.0,Pi_gas,Pi_gas,ars/MMBTU,1.0822136669311824e-08,MECON/Regalias/IDEE
1980.0,Pi_gas,Pi_gas,ars/MMBTU,1.937811247396485e-08,MECON/Regalias/IDEE
1981.0,Pi_gas,Pi_gas,ars/MMBTU,4.517716473111681e-08,MECON/Regalias/IDEE
