"anio","unidad","variable","precio_crudo_mdoint","regalias","mecon","ypf","idee","mecon_ccnn"
1963,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",2.46666693817684,NA,NA,2.02784551687143,NA,NA
1964,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",1.72329499634933,NA,NA,1.41671985727302,NA,NA
1965,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",2.46674630587765,NA,NA,2.0279107650141,NA,NA
1966,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",3.48023784540049,NA,NA,2.32589975062048,3.48023784540049,NA
1967,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",2.37527425355337,NA,NA,2.00343910244522,2.37527425355337,NA
1968,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",2.82043944163566,NA,NA,2.50651850855979,2.82043944163566,NA
1969,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",2.82043944163566,NA,NA,2.53148516550863,2.82043944163566,NA
1970,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",2.60421635028141,NA,NA,2.0648597703425,2.60421635028141,NA
1971,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",2.14951190816878,NA,NA,1.15446467009345,2.14951190816878,NA
1972,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",1.66142007694998,NA,NA,1.36585252047582,1.66142007694998,NA
1973,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",3.37371617539508,NA,NA,2.8110420755091,3.37371617539508,NA
1974,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",7.36112436007504,NA,NA,3.24281110431497,7.36112436007504,NA
1975,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",4.5915609399345,NA,NA,1.27430506626708,4.5915609399345,NA
1976,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",4.77121689083914,NA,NA,5.75223057074267,4.77121689083914,NA
1977,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",4.77916626919775,NA,NA,4.2407710852804,4.77916626919775,NA
1978,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",8.02569239085503,NA,NA,7.22857250984757,8.02569239085503,NA
1979,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",9.66326433272918,NA,NA,7.81952438129921,9.66326433272918,NA
1980,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",12.7190053737798,NA,NA,11.3363955254847,12.7190053737798,NA
1981,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",9.28010429584407,NA,NA,5.16012703253989,9.28010429584407,NA
1982,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",5.86664122865592,NA,NA,2.18989974358953,5.86664122865592,NA
1983,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",10.1974625584279,NA,NA,4.51457763552754,10.1974625584279,NA
1984,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",10.3421412445547,NA,NA,0.00357983282280474,10.3421412445547,NA
1985,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",11.1959044802696,NA,NA,8.75074255053252,11.1959044802696,NA
1986,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",12.48847340138,NA,NA,6.76893298248319,12.48847340138,NA
1987,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",10.3167032338071,NA,NA,4.24691964623486,10.3167032338071,NA
1988,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",13.2134567076855,NA,NA,NA,13.2134567076855,NA
1989,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",2.33925074757596,NA,NA,2.33925074757596,NA,NA
1990,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",15.0042294521579,NA,NA,15.0042294521579,NA,NA
1991,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",16.4804346989565,0,NA,16.4804346989565,NA,NA
1992,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",13.9796879947349,0,NA,NA,NA,NA
1993,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",15.3251261241746,0,15.3251261241746,NA,NA,15.3263245488871
1994,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",14.2975035111079,0,14.2975035111079,NA,NA,14.2986215765255
1995,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",15.8463563323423,0,15.8463563323423,NA,NA,15.8475955183105
1996,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",19.8905190122632,0,19.8905190122632,NA,NA,19.8920744517404
1997,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",18.5480299002618,0,18.5480299002618,NA,NA,18.5494803569282
1998,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",12.1609527711533,0,12.1609527711533,NA,NA,12.161903757565
1999,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",17.0017896966782,0,17.0017896966782,NA,NA,17.0031192370308
2000,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",28.1468540759113,0,28.1468540759113,NA,NA,28.1490551606091
2001,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",22.7190926331786,0,22.7190926331786,NA,NA,23.3597668311385
2002,"USD/barriles","Precio del mercado interno del petróleo crudo según distintas fuentes",19.6824864845994,0,19.6824864845994,NA,NA,65.8913044784871
